Algorithm,World,Trial,Total_Time,Path_Length,Deviation_From_Straight,Avg_Velocity,Path_Efficiency,Navigation_Metric,Collision,Recovery_Count,My_Recovery_Count,Avg_Computation_Time,Path_Smoothness,Min_Clearance,Max_Path_Deviation,Control_Effort,Path_Curvature,Avg_Jerk,Path_Overlap
lfh,0,1,150.02,0.21,0.022,0.0,44.874,0.0,0,0,73,0.0,711.936,-1,0.007,18.168,383206104.247,1906981.696,4687
lfh,1,1,247.01,0.0,0.0,0.0,70263.247,0.0,0,0,0,0.0,3.992,-1,0.0,0.001,106690.087,0.007,0
lfh,2,1,0.09,0.0,0.0,0.01,9416.377,0.0,0,0,0,0.0,3.141,-1,0.0,0.343,0.0,20.391,0
lfh,3,1,0.03,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0
lfh,4,1,12.5,10.03,1.055,0.8,0.948,0.0,0,0,0,0.0,3.106,-1,2.354,215.341,96.466,2828860.026,1
lfh,5,1,17.13,12.63,1.343,0.74,0.744,0.0,0,0,0,0.0,5.647,-1,2.93,478.648,187.887,8322768.869,0
lfh,6,1,18.18,13.86,1.481,0.76,0.675,0.0,0,0,0,0.0,77.333,-1,3.603,456.983,456105.151,6713112.379,41
lfh,7,1,3.27,3.25,0.623,0.99,1.606,0.0,0,0,0,0.0,0.063,-1,0.053,166.123,1.335,1858093.353,0
lfh,8,1,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0
lfh,9,1,16.17,11.34,1.078,0.7,0.928,0.0,0,0,0,0.0,10.542,-1,2.695,229.37,19319.233,2977411.408,3
lfh,10,1,0.02,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0
lfh,11,1,0.07,0.0,0.001,0.11,1106.165,0.0,0,0,0,0.0,0.0,-1,0.0,903.121,8.786,34547179.004,0
lfh,12,1,0.04,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0
lfh,13,1,5.75,0.76,0.081,0.13,12.344,0.0,1,0,0,0.0,15.96,-1,0.414,175.78,454777.492,2600229.669,62
lfh,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0
lfh,15,1,21.59,8.24,0.843,0.38,1.186,0.0,1,0,0,0.0,212.673,-1,4.172,386.568,93398372.077,5536035.123,192
lfh,16,1,0.04,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0
lfh,17,1,18.46,10.83,1.138,0.59,0.879,0.0,0,0,0,0.0,4.8,-1,2.326,253.076,139.678,4130738.337,1
lfh,18,1,57.05,19.66,2.832,0.34,0.353,0.0,0,0,0,0.0,7.357,-1,4.72,253.271,222.574,3837410.727,0
lfh,19,1,7.05,1.65,0.2,0.23,4.988,0.0,1,0,0,0.0,73.153,-1,1.069,356.946,1831716.685,5423640.305,92
lfh,20,1,37.15,18.59,2.218,0.5,0.451,0.0,0,0,0,0.0,145.572,-1,7.278,500.17,1395547.242,7873103.392,65
lfh,21,1,35.77,18.64,2.099,0.52,0.476,0.0,0,0,0,0.0,245.685,-1,8.277,558.842,33285975.771,9532326.309,173
lfh,22,1,20.37,7.49,0.843,0.37,1.187,0.0,1,0,2,0.0,204.105,-1,2.241,254.707,4044599.299,4268629.869,196
lfh,23,1,0.01,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0
lfh,24,1,16.17,0.0,0.203,0.13,4.929,0.0,0,0,0,0.0,77.088,-1,0.0,17.688,1018590.716,260879.879,0
lfh,25,1,46.08,3.61,0.457,0.08,2.188,0.0,1,0,0,0.0,25.967,-1,3.359,203.341,9401138.134,2640594.804,452
lfh,26,1,0.03,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0
lfh,27,1,20.39,13.9,1.23,0.68,0.813,0.0,0,0,0,0.0,103.029,-1,4.269,384.234,2756433.056,6423239.212,67
lfh,28,1,17.96,5.24,0.498,0.29,2.006,0.0,1,0,0,0.0,235.764,-1,0.877,422.283,3628191.73,6503248.673,133
