Algorithm,World,Trial,Total_Time,Path_Length,Deviation_From_Straight,Avg_Velocity,Path_Efficiency,Navigation_Metric,Collision,Recovery_Count,My_Recovery_Count,Avg_Computation_Time,Path_Smoothness,Min_Clearance,Max_Path_Deviation,Control_Effort,Path_Curvature,Avg_Jerk,Path_Overlap
dwa,0,1,31.79,6.83,0.683,0.21,1.465,0.0,1,0,3,0.0,1001.069,-1,1.298,988.977,206071478.35,127887353.96,985
dwa,1,1,35.27,9.78,0.978,0.28,1.022,0.1819,0,0,3,0.0,1285.76,-1,1.588,2815.691,950654963.973,440887835.285,940
dwa,2,1,21.87,9.14,0.914,0.42,1.094,0.2941,0,0,1,0.0,371.2,-1,0.706,2322.981,121037666.275,290508151.334,426
dwa,3,1,12.24,8.04,0.804,0.66,1.244,0.4717,0,0,0,0.0,0.633,-1,0.274,1131.48,252210.041,146006678.752,93
dwa,4,1,32.23,10.49,1.049,0.33,0.953,0.1963,0,0,1,0.0,633.214,-1,1.076,1423.785,66885486.964,75070940.628,712
dwa,5,1,9.21,8.02,0.802,0.87,1.246,0.5,0,0,0,0.0,0.154,-1,0.104,263.218,403510.68,25369479.44,9
dwa,6,1,51.02,9.36,0.936,0.18,1.069,0.1307,0,0,10,0.0,1654.264,-1,1.277,532.746,2404182654.956,36259249.979,1595
dwa,7,1,10.94,8.37,0.838,0.77,1.194,0.5,0,0,0,0.0,19.988,-1,1.051,727.831,453742.274,70300417.809,22
dwa,8,1,16.82,8.67,0.867,0.52,1.153,0.3548,0,0,0,0.0,180.77,-1,1.238,461.923,6220758.313,41034463.884,199
dwa,9,1,10.19,8.08,0.808,0.79,1.238,0.5,0,0,0,0.0,6.832,-1,0.331,493.579,5581346.119,17153705.173,14
dwa,10,1,17.75,8.1,0.81,0.46,1.235,0.3844,0,0,0,0.0,32.442,-1,0.518,473.991,1133453055.615,14887246.36,162
dwa,11,1,28.32,8.57,0.857,0.3,1.167,0.2353,0,0,5,0.0,1031.142,-1,0.959,399.905,229445260.066,33733943.786,694
dwa,12,1,44.87,9.91,0.991,0.22,1.009,0.1509,0,0,6,0.0,1502.141,-1,1.643,389.629,203709653.535,15521356.628,1160
dwa,13,1,28.9,5.22,0.522,0.18,1.915,0.0,1,0,3,0.0,717.756,-1,0.347,847.624,191226872.798,31817151.364,788
dwa,14,1,39.62,9.93,0.993,0.25,1.007,0.1749,0,0,4,0.0,1255.607,-1,1.349,689.882,489347286.139,22273177.429,1001
dwa,15,1,36.84,9.28,0.928,0.25,1.077,0.1751,0,0,4,0.0,1283.883,-1,1.549,334.994,238274554.965,17653638.842,929
dwa,16,1,27.93,9.47,0.947,0.34,1.056,0.2625,0,0,0,0.0,258.275,-1,1.562,984.297,6273298.161,35986771.565,344
dwa,17,1,19.75,9.17,0.917,0.46,1.09,0.3146,0,0,0,0.0,114.94,-1,1.572,738.371,3474292.932,39935306.681,233
dwa,18,1,14.84,8.29,0.829,0.56,1.206,0.427,0,0,0,0.0,40.816,-1,0.837,636.554,1855832.887,34863150.24,133
dwa,19,1,29.46,9.86,0.986,0.33,1.015,0.2537,0,0,1,0.0,661.228,-1,1.769,901.234,158397909.667,45800981.667,522
dwa,20,1,14.08,8.25,0.825,0.59,1.212,0.4455,0,0,0,0.0,45.081,-1,0.747,245.29,875062.182,7628952.538,101
dwa,21,1,27.99,8.91,0.891,0.32,1.123,0.2298,0,0,4,0.0,894.816,-1,0.761,666.4,46645316.131,23465123.962,628
dwa,22,1,19.3,8.19,0.819,0.42,1.222,0.3533,0,0,0,0.0,138.25,-1,0.561,1093.772,10153260.528,41916927.538,260
dwa,23,1,27.47,8.76,0.876,0.32,1.142,0.2574,0,0,1,0.0,638.561,-1,0.581,475.703,94504273.601,16096068.506,530
dwa,24,1,25.53,8.98,0.898,0.35,1.114,0.2856,0,0,0,0.0,213.647,-1,0.767,895.198,22101035.277,35655930.611,370
dwa,25,1,10.48,8.08,0.808,0.77,1.238,0.5,0,0,0,0.0,0.758,-1,0.46,97.574,291155.839,3998237.141,11
dwa,26,1,23.64,9.25,0.925,0.39,1.081,0.2677,0,0,1,0.0,529.935,-1,0.731,846.472,51515827.894,26544179.91,443
dwa,27,1,20.21,8.39,0.839,0.42,1.192,0.3171,0,0,1,0.0,578.594,-1,0.483,459.018,63330165.646,39981253.575,365
dwa,28,1,11.51,8.14,0.814,0.71,1.229,0.5,0,0,0,0.0,7.311,-1,0.639,395.863,5842416.716,12020130.347,9
dwa,29,1,16.72,8.72,0.872,0.52,1.147,0.3893,0,0,0,0.0,93.7,-1,1.165,1287.898,2050870.367,46424288.932,123
dwa,30,1,26.35,7.68,0.768,0.29,1.302,0.0,1,0,1,0.0,503.45,-1,1.802,939.952,74490531.976,33505657.84,525
dwa,31,1,14.99,8.49,0.849,0.57,1.178,0.404,0,0,0,0.0,139.212,-1,1.181,688.312,748739.244,24729907.97,127
dwa,32,1,11.72,8.08,0.808,0.69,1.237,0.5,0,0,0,0.0,7.147,-1,0.333,188.83,2267129.785,3071399.503,13
dwa,33,1,33.97,6.94,0.694,0.2,1.441,0.0,1,0,1,0.0,1042.812,-1,1.433,961.466,18252517916.163,46591117.409,868
dwa,34,1,17.33,8.34,0.834,0.48,1.199,0.3567,0,0,0,0.0,213.905,-1,0.711,906.534,1377736091.631,44358171.754,198
dwa,35,1,50.75,10.5,1.05,0.21,0.952,0.125,0,0,8,0.0,1705.557,-1,1.309,280.536,466603281.991,10344830.419,1475
dwa,36,1,10.86,8.04,0.804,0.74,1.244,0.5,0,0,0,0.0,6.766,-1,0.141,376.466,1390640.767,11193942.674,13
dwa,37,1,48.48,9.5,0.95,0.2,1.052,0.1371,0,0,6,0.0,1596.707,-1,1.105,636.753,1809017441.932,22569921.293,1313
dwa,38,1,45.06,9.39,0.939,0.21,1.065,0.159,0,0,5,0.0,1139.936,-1,1.448,353.093,167528099.837,12831848.388,1054
dwa,39,1,17.24,8.05,0.805,0.47,1.242,0.3656,0,0,0,0.0,71.98,-1,0.124,384.416,2075993.868,11793021.86,215
dwa,40,1,10.89,8.01,0.801,0.74,1.248,0.5,0,0,0,0.0,0.018,-1,0.004,211.735,137266.71,5163473.792,11
dwa,41,1,10.84,8.02,0.802,0.74,1.247,0.5,0,0,0,0.0,0.192,-1,0.108,309.064,5729026.504,9874927.453,12
dwa,42,1,10.47,8.02,0.802,0.77,1.247,0.5,0,0,0,0.0,0.058,-1,0.056,82.305,5296981.067,2795229.201,11
dwa,43,1,26.3,9.11,0.911,0.35,1.097,0.2353,0,0,0,0.0,255.352,-1,0.619,540.264,12793229.079,31452818.067,435
dwa,44,1,25.32,8.65,0.866,0.34,1.155,0.2735,0,0,1,0.0,284.438,-1,0.659,439.582,20766524.018,14814255.409,437
dwa,45,1,25.05,9.37,0.937,0.37,1.068,0.2629,0,0,1,0.0,610.133,-1,1.744,862.038,77831803.191,30415200.486,441
dwa,46,1,16.66,8.41,0.841,0.5,1.19,0.3533,0,0,0,0.0,122.977,-1,1.011,960.66,14480802.338,58930148.084,172
dwa,47,1,29.0,8.55,0.855,0.29,1.169,0.2044,0,0,6,0.0,1080.931,-1,0.705,372.429,869457207.242,25485268.826,714
dwa,48,1,28.5,8.64,0.865,0.3,1.157,0.241,0,0,0,0.0,287.653,-1,1.078,428.466,79847001.528,15391621.924,493
dwa,49,1,41.45,9.13,0.913,0.22,1.095,0.1648,0,0,4,0.0,1236.998,-1,0.828,528.796,350492214.663,18111398.523,1056
dwa,50,1,22.02,8.91,0.891,0.4,1.123,0.3144,0,0,0,0.0,152.278,-1,0.407,1030.424,23203898.935,41508269.428,329
dwa,51,1,21.95,8.81,0.881,0.4,1.135,0.2846,0,0,0,0.0,318.782,-1,0.924,723.206,80792807.165,37602369.577,326
dwa,52,1,18.87,8.33,0.833,0.44,1.201,0.3239,0,0,0,0.0,209.492,-1,0.807,320.647,267267043.735,13733334.494,247
dwa,53,1,28.43,9.09,0.909,0.32,1.1,0.2168,0,0,4,0.0,747.514,-1,1.334,297.535,942824316.53,9328980.228,630
dwa,54,1,10.67,8.1,0.81,0.76,1.235,0.5,0,0,0,0.0,1.005,-1,0.534,327.026,5072978.137,16001444.697,12
dwa,55,1,70.77,10.68,1.068,0.15,0.937,0.125,0,0,14,0.0,2719.402,-1,1.124,517.82,1995663935.92,18133226.858,2216
dwa,56,1,29.2,8.62,0.862,0.3,1.161,0.1996,0,0,0,0.0,472.175,-1,1.007,670.494,11410609.652,34462989.339,546
dwa,57,1,18.16,8.59,0.86,0.47,1.163,0.3263,0,0,0,0.0,246.286,-1,1.339,992.822,1447498402.986,48991021.838,220
dwa,58,1,96.29,14.76,1.476,0.15,0.677,0.0,1,0,8,0.0,3746.513,-1,1.16,1010.319,1182444267.561,37326782.763,2923
dwa,59,1,34.15,8.58,0.858,0.25,1.165,0.1971,0,0,3,0.0,818.647,-1,0.843,252.741,81357656.02,6896865.931,802
dwa,60,1,37.3,9.4,0.94,0.25,1.063,0.1693,0,0,7,0.0,1241.849,-1,0.565,969.661,10391984350.771,79114742.008,992
dwa,61,1,10.99,8.01,0.801,0.73,1.248,0.5,0,0,0,0.0,0.075,-1,0.064,240.263,5366424.985,7471685.327,13
dwa,62,1,29.72,9.17,0.917,0.31,1.09,0.2466,0,0,1,0.0,628.242,-1,0.68,540.866,42668473.747,14794442.378,508
dwa,63,1,31.75,9.58,0.958,0.3,1.044,0.1955,0,0,0,0.0,393.02,-1,0.775,758.372,10994243.413,24270616.938,613
dwa,64,1,23.94,8.94,0.894,0.37,1.119,0.2653,0,0,0,0.0,71.808,-1,1.688,447.755,334302.447,16947748.954,313
dwa,65,1,15.31,8.26,0.826,0.54,1.211,0.4623,0,0,0,0.0,138.966,-1,0.69,824.467,36834313.982,26146726.13,122
dwa,66,1,27.86,9.22,0.922,0.33,1.085,0.2374,0,0,0,0.0,407.327,-1,0.638,674.379,65883483.834,19975172.367,517
dwa,67,1,10.88,8.0,0.8,0.74,1.249,0.5,0,0,0,0.0,0.006,-1,0.005,49.386,162175.522,1128089.686,9
dwa,68,1,21.47,8.7,0.87,0.41,1.149,0.3075,0,0,0,0.0,91.078,-1,0.86,879.69,478053.398,29330408.257,288
dwa,69,1,55.55,7.5,0.75,0.14,1.333,0.0,1,0,7,0.0,1721.439,-1,0.718,771.593,770518770.79,26785774.854,1559
dwa,70,1,23.96,9.61,0.961,0.4,1.04,0.2819,0,0,1,0.0,395.354,-1,0.948,629.665,184952365.951,19752621.386,330
dwa,71,1,18.13,8.2,0.82,0.45,1.22,0.3346,0,0,0,0.0,88.562,-1,0.278,413.805,2572291.438,11145720.18,197
dwa,72,1,11.32,8.0,0.8,0.71,1.249,0.5,0,0,0,0.0,0.14,-1,0.09,165.721,3282429.634,3943891.66,9
dwa,73,1,32.94,10.67,1.067,0.32,0.937,0.2233,0,0,0,0.0,384.431,-1,1.062,996.782,7446183.831,33553043.307,555
dwa,74,1,21.12,8.48,0.848,0.4,1.18,0.3291,0,0,0,0.0,158.825,-1,0.883,576.211,12647727.642,15117051.887,315
dwa,75,1,11.29,8.0,0.8,0.71,1.25,0.5,0,0,0,0.0,0.012,-1,0.019,232.062,306136.102,6685689.739,11
dwa,76,1,18.97,8.62,0.862,0.45,1.16,0.3377,0,0,0,0.0,83.602,-1,1.282,287.923,5009249.051,9406334.163,194
dwa,77,1,11.8,8.19,0.819,0.69,1.22,0.5,0,0,0,0.0,19.785,-1,0.75,839.027,533132.271,20789638.128,22
dwa,78,1,40.04,9.24,0.924,0.23,1.082,0.2057,0,0,1,0.0,450.526,-1,1.489,382.111,31889629.007,12702927.571,779
dwa,79,1,11.15,8.15,0.815,0.73,1.228,0.5,0,0,0,0.0,1.154,-1,0.634,305.011,114876.242,10708221.664,11
dwa,80,1,29.39,9.3,0.93,0.32,1.075,0.239,0,0,1,0.0,436.094,-1,1.496,452.863,116888223.505,14032643.902,463
dwa,81,1,20.42,8.18,0.818,0.4,1.222,0.3333,0,0,0,0.0,163.78,-1,0.668,376.239,16732807.466,13028395.486,236
dwa,82,1,13.77,8.45,0.845,0.61,1.183,0.5,0,0,0,0.0,44.808,-1,1.186,775.825,4155678.346,43019086.415,81
dwa,83,1,64.23,10.51,1.051,0.16,0.952,0.125,0,0,9,0.0,2012.597,-1,1.054,472.439,1032792391.778,21515333.624,1833
dwa,84,1,14.08,8.1,0.81,0.58,1.234,0.4581,0,0,0,0.0,7.271,-1,0.417,707.57,35959.684,21862179.191,48
dwa,85,1,36.17,9.99,0.999,0.28,1.001,0.203,0,0,1,0.0,620.742,-1,1.395,709.365,254727731.655,25197759.532,650
dwa,87,1,14.42,8.19,0.819,0.57,1.221,0.4236,0,0,0,0.0,45.849,-1,0.642,577.902,4336360.324,17858178.998,131
dwa,88,1,26.46,9.09,0.909,0.34,1.1,0.2335,0,0,2,0.0,803.894,-1,0.814,371.631,459962732.43,15303332.197,513
dwa,89,1,22.59,8.61,0.862,0.38,1.161,0.2823,0,0,1,0.0,464.371,-1,0.395,238.909,1406566419.227,13218968.719,400
dwa,90,1,17.43,8.35,0.835,0.48,1.197,0.3608,0,0,0,0.0,119.026,-1,0.908,574.995,48488147.578,52471739.346,198
dwa,91,1,90.45,8.79,0.879,0.1,1.137,0.0,1,0,15,0.0,3281.793,-1,0.777,825.993,6675514195.245,30296583.948,2961
dwa,92,1,23.86,8.19,0.819,0.34,1.221,0.2678,0,0,0,0.0,164.906,-1,0.428,526.034,13467672.77,17019797.081,333
dwa,93,1,11.16,8.01,0.801,0.72,1.249,0.5,0,0,0,0.0,0.024,-1,0.006,44.787,3625058.924,1038875.756,12
dwa,94,1,10.7,8.02,0.802,0.75,1.247,0.5,0,0,0,0.0,0.015,-1,0.003,219.433,24813.612,7015051.511,11
dwa,95,1,18.09,8.09,0.809,0.45,1.236,0.3472,0,0,0,0.0,32.262,-1,0.334,461.76,4497686.808,15528710.626,144
dwa,96,1,13.24,3.43,0.343,0.26,2.915,0.0,1,0,0,0.0,112.871,-1,0.164,1201.317,2763859.424,40260097.356,237
dwa,97,1,20.46,8.89,0.889,0.43,1.125,0.2882,0,0,0,0.0,233.075,-1,0.617,1128.607,31267617.934,95966897.053,323
dwa,98,1,72.17,10.23,1.023,0.14,0.978,0.125,0,0,13,0.0,1632.693,-1,0.633,397.96,2673245210.613,12702920.791,1813
dwa,99,1,40.51,10.54,1.054,0.26,0.949,0.1772,0,0,4,0.0,1010.576,-1,1.472,310.791,128372504.63,9468952.442,825
dwa,100,1,33.29,9.39,0.939,0.28,1.065,0.2043,0,0,4,0.0,982.279,-1,1.181,417.952,140479545.404,12613311.428,647
