Algorithm,World,Trial,Total_Time,Path_Length,Deviation_From_Straight,Avg_Velocity,Path_Efficiency,Navigation_Metric,Collision,Recovery_Count,My_Recovery_Count,Avg_Computation_Time,Path_Smoothness,Min_Clearance,Max_Path_Deviation,Control_Effort,Path_Curvature,Avg_Jerk,Path_Overlap
fastdwa,0,1,24.68,9.66,0.966,0.39,1.035,0.0,0,0,0,0.0,592.015,-1,0.739,1933.405,24457247.529,234786129.601,553
fastdwa,1,1,25.82,9.36,0.936,0.36,1.068,0.25,0,0,0,0.0,287.417,-1,0.895,1461.339,267814666.85,49555464.336,456
fastdwa,2,1,61.69,9.96,0.996,0.16,1.004,0.0,1,0,7,0.0,2320.549,-1,2.053,1005.584,1032152709.857,30664226.999,1856
fastdwa,3,1,22.69,9.58,0.958,0.42,1.044,0.25,0,0,0,0.0,582.18,-1,0.837,1285.08,776922068.071,47451276.206,404
fastdwa,4,1,58.33,24.99,2.499,0.43,0.4,0.0,1,0,0,0.0,1041.172,-1,2.98,973.603,261698305.055,31967325.312,890
fastdwa,5,1,14.87,8.52,0.852,0.57,1.173,0.0,0,0,0,0.0,53.698,-1,1.292,540.114,1603027.94,16326725.197,141
fastdwa,6,1,14.22,8.34,0.834,0.59,1.199,0.25,0,0,0,0.0,60.677,-1,0.942,707.569,11912841.448,24815612.276,99
fastdwa,7,1,9.23,8.03,0.803,0.87,1.245,0.0,0,0,0,0.0,0.224,-1,0.218,659.139,3844216.69,22624225.993,5
fastdwa,8,1,7.16,4.39,0.439,0.61,2.278,0.0,1,0,0,0.0,140.263,-1,1.109,2125.578,79510754.036,192019091.721,71
fastdwa,9,1,46.87,12.32,1.232,0.26,0.812,0.0,1,0,1,0.0,1363.156,-1,0.89,1024.718,578038516.556,67476150.241,1248
fastdwa,10,1,48.97,25.75,2.575,0.53,0.388,0.0,0,0,0,0.0,339.915,-1,6.929,724.021,141798425.538,25621885.227,407
fastdwa,11,1,21.11,8.64,0.864,0.41,1.157,0.25,0,0,1,0.0,579.023,-1,0.383,729.893,407819344.435,48734864.786,377
fastdwa,12,1,38.47,9.71,0.971,0.25,1.03,0.1746,0,0,3,0.0,1418.719,-1,0.662,390.601,308190479.76,9205493.004,960
fastdwa,13,1,51.29,27.11,2.711,0.53,0.369,0.0,0,0,0,0.0,496.331,-1,6.375,1236.489,1332136590.879,41930000.125,556
fastdwa,14,1,34.31,11.93,1.193,0.35,0.838,0.1998,0,0,0,0.0,435.355,-1,2.009,1236.187,315716675.214,43209259.374,575
fastdwa,15,1,22.68,8.89,0.889,0.39,1.125,0.0,0,0,0,0.0,356.654,-1,1.012,956.818,25940496.332,33935589.568,400
fastdwa,16,1,74.98,29.0,2.9,0.39,0.345,0.0,0,0,0,0.0,977.613,-1,7.189,612.36,1085117808.717,19690859.832,1266
fastdwa,17,1,18.91,8.41,0.841,0.44,1.189,0.0,0,0,1,0.0,437.49,-1,0.773,1108.095,26877736.516,34472945.556,309
fastdwa,18,1,9.8,8.06,0.806,0.82,1.24,0.0,0,0,0,0.0,19.381,-1,0.152,1073.055,319409.571,92181983.344,15
fastdwa,19,1,25.85,9.71,0.971,0.38,1.03,0.0,0,0,1,0.0,396.725,-1,1.336,1023.874,12864397.004,36517023.914,395
fastdwa,20,1,9.43,8.11,0.811,0.86,1.233,0.0,0,0,0,0.0,25.413,-1,0.181,1769.87,407943.218,67507458.901,14
fastdwa,21,1,45.17,12.13,1.213,0.27,0.824,0.0,1,0,1,0.0,990.78,-1,0.911,1355.098,462522854.289,79599730.069,1128
fastdwa,22,1,30.18,10.79,1.079,0.36,0.927,0.0,0,0,1,0.0,509.048,-1,2.267,903.8,26115773.447,31821947.408,473
fastdwa,23,1,20.92,9.53,0.953,0.46,1.049,0.25,0,0,0,0.0,245.73,-1,0.544,1353.99,60328826.356,42648990.027,298
fastdwa,24,1,32.08,9.67,0.967,0.3,1.035,0.2368,0,0,1,0.0,497.605,-1,0.997,1078.615,87614514.998,35100351.329,562
fastdwa,25,1,9.51,8.03,0.803,0.84,1.246,0.25,0,0,0,0.0,6.612,-1,0.176,1257.858,2001937.313,105358836.827,12
fastdwa,26,1,16.58,8.65,0.865,0.52,1.156,0.0,0,0,0,0.0,342.818,-1,0.751,1719.894,14296219.223,176153920.994,197
fastdwa,27,1,25.97,9.3,0.93,0.36,1.075,0.2469,0,0,1,0.0,912.965,-1,0.493,2169.003,74304797.305,211520568.141,588
fastdwa,28,1,11.75,8.08,0.808,0.69,1.238,0.25,0,0,0,0.0,3.054,-1,0.346,774.722,2888247.17,24309838.508,37
fastdwa,29,1,15.93,9.12,0.912,0.57,1.096,0.25,0,0,0,0.0,208.014,-1,1.669,882.834,37760003.063,30414333.42,132
fastdwa,30,1,30.35,9.76,0.976,0.32,1.025,0.0,0,0,0,0.0,325.958,-1,1.318,702.713,22296261.397,28287621.263,540
fastdwa,31,1,12.82,8.8,0.88,0.69,1.136,0.0,0,0,0,0.0,4.946,-1,1.373,512.876,23886306.695,15824136.111,41
fastdwa,32,1,47.14,11.12,1.112,0.24,0.9,0.0,1,0,1,0.0,451.031,-1,2.241,1035.014,127994682.887,30621022.251,1096
fastdwa,33,1,23.55,5.64,0.564,0.24,1.772,0.0,1,0,0,0.0,507.558,-1,1.136,864.306,237091998.751,29006011.239,548
fastdwa,34,1,41.11,10.47,1.047,0.25,0.955,0.1566,0,0,1,0.0,974.988,-1,1.064,1059.907,215589363.38,33026326.021,954
fastdwa,35,1,40.66,13.89,1.389,0.34,0.72,0.0,0,0,0,0.0,779.755,-1,2.441,1162.371,83116539.646,49091948.577,814
fastdwa,36,1,12.05,8.16,0.816,0.68,1.225,0.25,0,0,0,0.0,14.154,-1,0.698,964.588,18025118.239,27089177.549,61
fastdwa,37,1,29.76,9.21,0.921,0.31,1.086,0.0,0,0,3,0.0,803.477,-1,1.554,418.51,104462736.286,13434720.232,574
fastdwa,39,1,98.29,14.65,1.465,0.15,0.683,0.0,0,0,12,0.0,3735.807,-1,1.099,712.022,5923289170.43,23312366.243,3391
fastdwa,40,1,24.19,8.75,0.876,0.36,1.142,0.0,1,0,1,0.0,782.038,-1,0.509,719.724,2066959081.372,26676171.518,504
fastdwa,41,1,11.03,8.06,0.806,0.73,1.24,0.25,0,0,0,0.0,7.086,-1,0.445,816.737,139975.122,28085970.526,27
fastdwa,42,1,12.44,8.19,0.82,0.66,1.22,0.25,0,0,0,0.0,39.614,-1,0.739,828.386,4505571.251,22263892.791,75
fastdwa,43,1,28.52,10.27,1.027,0.36,0.974,0.2167,0,0,1,0.0,909.134,-1,0.479,1457.37,167052033.105,48119996.948,604
fastdwa,44,1,70.17,10.89,1.089,0.16,0.918,0.0,1,0,6,0.0,2231.872,-1,1.538,1186.094,660401291.282,43169658.597,2273
fastdwa,45,1,25.68,9.89,0.989,0.38,1.011,0.0,0,0,1,0.0,525.867,-1,0.345,1552.008,15706032.274,52615669.475,487
fastdwa,46,1,15.56,8.14,0.814,0.52,1.228,0.25,0,0,0,0.0,213.425,-1,0.541,469.838,16668359.81,11893461.228,165
fastdwa,47,1,35.22,10.06,1.006,0.29,0.994,0.0,0,0,2,0.0,1370.403,-1,1.87,641.005,189569753.786,30217037.455,916
fastdwa,48,1,59.51,15.14,1.514,0.25,0.66,0.0,0,0,4,0.0,1649.19,-1,1.879,793.59,315044002.511,28735167.129,1318
fastdwa,49,1,42.23,11.76,1.176,0.28,0.851,0.0,0,0,6,0.0,1632.16,-1,2.417,696.573,2902016191.434,19307956.633,984
fastdwa,50,1,14.03,8.39,0.839,0.6,1.192,0.25,0,0,0,0.0,10.329,-1,1.112,1175.632,22094647.688,41844330.199,82
fastdwa,51,1,20.38,8.96,0.896,0.44,1.116,0.25,0,0,0,0.0,202.496,-1,1.171,1219.335,24176560.602,41228482.89,307
fastdwa,52,1,14.72,8.3,0.83,0.56,1.205,0.25,0,0,0,0.0,139.588,-1,0.73,1356.05,14531477.944,53230876.328,156
fastdwa,53,1,10.4,8.65,0.865,0.83,1.155,0.0,0,0,0,0.0,7.998,-1,1.591,628.025,20055006.169,57063551.648,5
fastdwa,54,1,22.56,7.18,0.718,0.32,1.392,0.0,1,0,2,0.0,998.579,-1,1.434,851.128,159590595.795,23051931.772,532
fastdwa,55,1,32.36,10.11,1.011,0.31,0.989,0.2155,0,0,4,0.0,1178.321,-1,0.569,1465.185,864056278.083,50768104.304,737
fastdwa,56,1,70.19,11.69,1.169,0.17,0.856,0.0,0,0,13,0.0,3174.434,-1,1.231,717.587,1069856198.822,23328905.122,2174
fastdwa,57,1,25.95,9.23,0.923,0.36,1.084,0.226,0,0,0,0.0,922.922,-1,1.102,1146.9,116219481.777,36794139.894,539
fastdwa,60,1,23.82,9.39,0.939,0.39,1.064,0.2479,0,0,0,0.0,387.444,-1,0.734,1110.119,750981510.631,46638938.513,476
fastdwa,61,1,9.1,8.02,0.802,0.88,1.247,0.25,0,0,0,0.0,0.095,-1,0.1,378.357,2642103.72,9451955.377,7
fastdwa,62,1,71.28,12.35,1.235,0.17,0.81,0.0,0,0,8,0.0,2035.446,-1,0.845,757.119,822630312.046,25950902.249,1893
fastdwa,63,1,37.74,11.5,1.15,0.3,0.869,0.0,0,0,2,0.0,876.912,-1,2.133,914.961,1365556621.947,27113153.471,809
fastdwa,65,1,20.34,8.77,0.877,0.43,1.141,0.25,0,0,0,0.0,465.05,-1,0.455,905.679,92401305.589,32699098.775,372
fastdwa,66,1,26.49,10.11,1.011,0.38,0.99,0.2319,0,0,1,0.0,486.718,-1,1.262,1172.353,312935842.389,43120940.376,444
fastdwa,67,1,13.25,8.29,0.829,0.63,1.207,0.0,0,0,0,0.0,76.783,-1,0.956,765.152,977133.271,22774227.786,124
fastdwa,68,1,16.74,8.43,0.843,0.5,1.186,0.25,0,0,0,0.0,184.348,-1,0.779,680.999,160740421.842,29155994.764,174
fastdwa,69,1,40.31,9.54,0.954,0.24,1.048,0.0,0,0,3,0.0,1006.96,-1,1.124,499.057,798790552.978,15794747.227,862
fastdwa,70,1,42.45,23.87,2.387,0.56,0.419,0.0,0,0,0,0.0,128.902,-1,7.483,1377.805,1972043022.977,51021590.737,313
fastdwa,71,1,33.85,10.51,1.051,0.31,0.952,0.0,1,0,1,0.0,474.658,-1,1.564,766.954,53395684.854,23463564.008,550
fastdwa,72,1,15.52,8.12,0.813,0.52,1.231,0.25,0,0,0,0.0,75.344,-1,0.29,1261.616,42934747.534,44112307.437,167
fastdwa,73,1,10.34,5.55,0.555,0.54,1.8,0.0,1,0,0,0.0,175.222,-1,1.391,2233.454,186502705.187,84432610.18,83
fastdwa,74,1,26.84,9.85,0.985,0.37,1.015,0.0,0,0,0,0.0,416.926,-1,1.034,1733.39,106299744.341,112023804.662,561
fastdwa,75,1,14.05,8.18,0.818,0.58,1.223,0.25,0,0,0,0.0,109.252,-1,0.685,942.59,56590442.659,32875505.645,143
fastdwa,76,1,32.85,10.13,1.013,0.31,0.987,0.0,0,0,2,0.0,778.709,-1,0.458,601.14,635947606.922,21415820.888,732
fastdwa,77,1,9.44,8.02,0.802,0.85,1.247,0.25,0,0,0,0.0,0.29,-1,0.154,86.055,3407361.904,3135507.522,4
fastdwa,78,1,128.53,33.26,3.327,0.26,0.301,0.0,0,0,8,0.0,3097.602,-1,4.808,758.063,829675567.798,25553363.348,2866
fastdwa,79,1,51.13,14.21,1.421,0.28,0.704,0.0,0,0,2,0.0,1767.541,-1,2.022,1026.523,2020593447.012,47067197.999,1259
fastdwa,80,1,27.29,10.41,1.041,0.38,0.961,0.0,0,0,1,0.0,769.341,-1,0.711,1226.188,262668018.925,42097757.047,455
fastdwa,81,1,44.89,10.26,1.026,0.23,0.975,0.1446,0,0,3,0.0,1456.625,-1,1.011,792.079,1260894882.809,26075757.045,1024
fastdwa,82,1,22.9,9.18,0.918,0.4,1.09,0.25,0,0,0,0.0,522.729,-1,0.73,1396.918,275593173.599,134712472.885,440
