Algorithm,World,Trial,Total_Time,Path_Length,Deviation_From_Straight,Avg_Velocity,Path_Efficiency,Navigation_Metric,Collision,Recovery_Count,My_Recovery_Count,Avg_Computation_Time,Path_Smoothness,Min_Clearance,Max_Path_Deviation,Control_Effort,Path_Curvature,Avg_Jerk,Path_Overlap
teb,0,1,8.72,9.09,0.909,1.04,1.1,0.5,0,0,0,0.0,32.114,-1,1.285,2548.961,6899678.894,266466027.894,47
teb,1,1,10.04,9.03,0.903,0.9,1.108,0.5,0,0,0,0.0,30.258,-1,1.183,1768.555,182023.431,108319785.185,45
teb,2,1,13.06,8.95,0.895,0.69,1.117,0.5,0,0,0,0.0,166.55,-1,0.428,975.343,21640417.787,29873818.693,132
teb,3,1,6.77,8.19,0.819,1.21,1.221,0.5,0,0,0,0.0,2.602,-1,0.57,1172.973,31519235.69,40956129.023,5
teb,4,1,15.03,9.58,0.958,0.64,1.044,0.4647,0,0,0,0.0,119.362,-1,1.2,991.568,19794226.456,23797244.758,120
teb,5,1,6.6,8.08,0.808,1.22,1.237,0.5,0,0,0,0.0,1.422,-1,0.399,196.206,455902.453,13931484.2,5
teb,6,1,7.15,8.31,0.831,1.16,1.203,0.5,0,0,0,0.0,8.906,-1,0.965,930.744,4542951.62,26097167.793,7
teb,7,1,9.71,8.79,0.879,0.91,1.138,0.5,0,0,0,0.0,87.007,-1,1.09,1174.631,1002649.154,41294681.012,38
teb,8,1,13.07,9.17,0.917,0.7,1.09,0.4749,0,0,0,0.0,137.951,-1,1.229,1057.986,611741.911,35721262.758,161
teb,9,1,6.8,8.11,0.811,1.19,1.232,0.5,0,0,0,0.0,2.154,-1,0.431,330.174,11118088.717,8248465.03,6
teb,10,1,10.21,8.41,0.841,0.82,1.189,0.5,0,0,0,0.0,14.968,-1,0.647,1040.991,3676134.652,25045231.852,30
teb,11,1,6.64,8.13,0.813,1.22,1.23,0.5,0,0,0,0.0,1.383,-1,0.597,254.698,1551741.747,8200970.235,7
teb,12,1,14.57,10.21,1.021,0.7,0.979,0.4858,0,0,0,0.0,87.753,-1,1.311,1146.43,5121500.376,36863208.343,126
teb,13,1,13.62,8.86,0.886,0.65,1.129,0.5,0,0,0,0.0,83.514,-1,0.313,611.726,496771.43,14822776.145,126
teb,14,1,11.94,9.09,0.909,0.76,1.1,0.5,0,0,0,0.0,165.199,-1,1.426,874.678,15393595.013,23549517.725,123
teb,15,1,13.33,9.67,0.967,0.73,1.034,0.491,0,0,0,0.0,48.237,-1,1.822,989.977,5488371.88,40041211.075,111
teb,16,1,18.45,10.28,1.028,0.56,0.973,0.3945,0,0,0,0.0,214.383,-1,1.514,997.982,3790223.358,31176546.737,251
teb,17,1,12.75,9.4,0.94,0.74,1.064,0.4938,0,0,0,0.0,55.124,-1,1.401,1458.986,897546.197,41829175.317,67
teb,18,1,7.44,8.21,0.821,1.1,1.218,0.5,0,0,0,0.0,7.359,-1,0.673,594.687,49463.188,21843158.426,15
teb,20,1,11.09,8.77,0.877,0.79,1.14,0.5,0,0,0,0.0,119.989,-1,0.64,1256.794,132091.942,151654090.917,125
teb,21,1,7.69,8.45,0.845,1.1,1.184,0.5,0,0,0,0.0,4.562,-1,0.956,1181.955,2174714.781,32115911.269,4
teb,22,1,16.09,9.19,0.919,0.57,1.088,0.4389,0,0,0,0.0,261.72,-1,0.985,776.288,100029971.517,26328115.205,213
teb,23,1,10.8,8.83,0.883,0.82,1.133,0.5,0,0,0,0.0,56.859,-1,0.534,1142.832,988216.389,31734170.602,92
teb,24,1,17.5,9.93,0.993,0.57,1.008,0.4507,0,0,0,0.0,169.276,-1,1.157,1099.039,49727979.842,30287175.216,176
teb,25,1,7.73,8.27,0.827,1.07,1.209,0.5,0,0,0,0.0,10.197,-1,0.631,1247.624,2345613.813,35684402.396,6
teb,26,1,9.16,8.48,0.848,0.93,1.179,0.5,0,0,0,0.0,46.226,-1,0.65,933.621,2323926.4,20701699.994,37
teb,27,1,6.71,8.14,0.814,1.21,1.229,0.5,0,0,0,0.0,2.91,-1,0.466,945.994,910850.883,28779838.168,5
teb,28,1,13.1,9.23,0.923,0.7,1.084,0.5,0,0,0,0.0,132.757,-1,1.022,952.083,7288325.145,28808162.472,113
teb,29,1,11.97,9.06,0.906,0.76,1.104,0.5,0,0,0,0.0,92.047,-1,0.913,1385.543,11477480.948,94425470.441,101
teb,30,1,17.16,9.93,0.993,0.58,1.007,0.4139,0,0,1,0.0,424.657,-1,1.413,580.091,27257923.82,16046583.507,227
teb,31,1,9.16,8.63,0.863,0.94,1.158,0.5,0,0,0,0.0,26.947,-1,1.169,1686.517,7848259.659,116346577.038,37
teb,32,1,7.05,8.13,0.814,1.15,1.229,0.5,0,0,0,0.0,3.281,-1,0.298,112.551,8808454.893,2844872.571,4
teb,33,1,12.9,9.9,0.99,0.77,1.01,0.5,0,0,0,0.0,95.576,-1,1.466,1158.437,37560761.532,39232950.22,104
teb,34,1,13.11,9.07,0.907,0.69,1.102,0.4785,0,0,0,0.0,117.927,-1,0.775,654.719,1779158.815,48511551.693,141
teb,35,1,24.76,9.32,0.932,0.38,1.073,0.2601,0,0,0,0.0,758.374,-1,1.305,647.617,853496900.408,25138178.424,555
teb,36,1,6.77,8.18,0.818,1.21,1.223,0.5,0,0,0,0.0,8.548,-1,0.486,3332.337,25788452.111,367249132.216,4
teb,37,1,4.76,3.43,0.343,0.72,2.912,0.0,1,0,0,0.0,24.412,-1,0.333,1273.537,37523.686,38497618.449,39
teb,38,1,12.74,8.95,0.895,0.7,1.117,0.5,0,0,0,0.0,144.64,-1,1.279,494.084,2059809.57,10203912.957,111
teb,39,1,8.9,8.49,0.849,0.95,1.178,0.5,0,0,0,0.0,14.835,-1,0.547,1237.343,366326.839,40743027.04,24
teb,40,1,6.56,8.14,0.814,1.24,1.228,0.5,0,0,0,0.0,2.74,-1,0.388,1081.788,5488090.497,34931887.705,4
teb,41,1,7.74,8.32,0.832,1.07,1.203,0.5,0,0,0,0.0,19.047,-1,0.433,878.887,7215263.745,29468120.752,13
teb,42,1,6.72,8.12,0.812,1.21,1.232,0.5,0,0,0,0.0,2.065,-1,0.488,539.099,198350.146,14536156.433,5
teb,43,1,17.67,9.46,0.946,0.54,1.057,0.3733,0,0,0,0.0,307.601,-1,1.179,772.228,40264831.653,20043524.215,269
teb,44,1,8.79,8.72,0.872,0.99,1.147,0.5,0,0,0,0.0,17.041,-1,1.512,1876.547,148429.359,76195393.008,12
teb,45,1,13.04,9.56,0.956,0.73,1.046,0.5,0,0,0,0.0,82.611,-1,1.896,578.807,38641137.889,18978952.68,97
teb,46,1,7.9,8.42,0.842,1.07,1.188,0.5,0,0,0,0.0,3.671,-1,1.147,517.641,18320141.747,11331607.2,9
teb,47,1,7.71,8.25,0.825,1.07,1.212,0.5,0,0,0,0.0,31.471,-1,0.682,2598.371,67369.256,300630510.313,34
teb,48,1,11.24,8.7,0.87,0.77,1.149,0.5,0,0,0,0.0,24.563,-1,1.095,668.08,13551855.0,16291157.118,22
teb,49,1,10.76,8.94,0.894,0.83,1.119,0.5,0,0,0,0.0,49.429,-1,0.774,731.041,6453111.741,20313400.734,57
teb,50,1,20.32,10.57,1.057,0.52,0.946,0.3493,0,0,1,0.0,652.258,-1,1.544,960.268,95913214.315,28954572.539,405
teb,51,1,11.04,8.83,0.883,0.8,1.133,0.5,0,0,0,0.0,113.771,-1,0.786,1406.995,2688156.11,78331896.169,106
teb,52,1,13.24,9.44,0.944,0.71,1.059,0.4496,0,0,1,0.0,281.644,-1,0.946,2272.274,4100046.414,220338108.994,144
teb,53,1,14.91,9.23,0.923,0.62,1.083,0.4167,0,0,1,0.0,295.518,-1,1.123,1319.385,8407577.82,40423428.462,191
teb,54,1,11.0,9.07,0.907,0.82,1.102,0.5,0,0,0,0.0,50.616,-1,1.04,931.442,3461830.246,24994036.748,87
teb,55,1,14.15,9.22,0.922,0.65,1.084,0.5,0,0,0,0.0,125.173,-1,1.099,1048.58,9335457.239,26463286.489,125
teb,56,1,11.66,9.22,0.922,0.79,1.085,0.3942,0,0,0,0.0,69.89,-1,1.245,1660.958,8324257.262,114734922.067,72
teb,57,1,11.1,9.11,0.911,0.82,1.097,0.5,0,0,0,0.0,79.365,-1,1.473,596.492,6408080.889,20807130.155,90
teb,58,1,128.79,15.0,1.501,0.12,0.666,0.125,0,0,18,0.0,7440.885,-1,1.319,435.809,20536758475.127,12007990.457,3986
teb,59,1,12.46,5.55,0.555,0.45,1.803,0.0,1,0,0,0.0,368.745,-1,0.519,1156.228,27004909.082,34108115.139,219
teb,60,1,14.76,9.85,0.985,0.67,1.015,0.4331,0,0,0,0.0,132.324,-1,1.595,726.357,7933213.142,16289529.961,169
teb,61,1,6.69,8.05,0.805,1.2,1.242,0.5,0,0,0,0.0,1.619,-1,0.298,218.155,25403.538,4980014.534,6
teb,62,1,6.5,3.82,0.382,0.59,2.621,0.0,1,0,0,0.0,56.476,-1,0.542,1139.4,968397.483,38039906.163,68
teb,63,1,7.19,8.27,0.827,1.15,1.21,0.5,0,0,0,0.0,7.921,-1,0.62,1092.07,2617111.92,34825363.939,6
teb,64,1,9.74,9.06,0.906,0.93,1.103,0.5,0,0,0,0.0,19.484,-1,1.863,1605.233,7411167.149,54742909.123,34
teb,65,1,8.93,8.53,0.853,0.96,1.172,0.5,0,0,0,0.0,13.292,-1,0.832,1033.382,11667599.017,41315955.527,12
teb,67,1,7.1,8.22,0.822,1.16,1.217,0.5,0,0,0,0.0,3.601,-1,0.427,736.252,1436671.686,21326686.17,4
teb,68,1,7.97,8.31,0.832,1.04,1.203,0.5,0,0,0,0.0,5.323,-1,0.583,1100.798,1008314.519,38425598.107,8
teb,69,1,16.32,9.24,0.924,0.57,1.082,0.4501,0,0,0,0.0,147.968,-1,1.195,1190.602,36546142.952,48627701.754,149
teb,70,1,18.26,9.72,0.972,0.53,1.029,0.3567,0,0,0,0.0,331.237,-1,1.354,861.78,156823714.682,23084142.821,286
teb,71,1,11.11,8.72,0.872,0.78,1.146,0.5,0,0,0,0.0,151.864,-1,0.347,838.134,7545439.292,29605463.896,128
teb,72,1,15.31,8.77,0.877,0.57,1.14,0.4042,0,0,1,0.0,445.974,-1,0.424,812.943,91081203.814,31755546.084,276
teb,73,1,19.36,9.44,0.944,0.49,1.059,0.3924,0,0,1,0.0,240.362,-1,0.914,1516.105,8504298.636,47110090.053,213
teb,74,1,10.13,8.56,0.856,0.85,1.168,0.5,0,0,0,0.0,62.279,-1,0.632,1238.058,328330.332,26147335.257,57
teb,75,1,6.71,8.08,0.808,1.2,1.238,0.5,0,0,0,0.0,2.185,-1,0.294,1148.548,1102025.302,37026794.939,4
teb,76,1,9.64,9.03,0.903,0.94,1.107,0.5,0,0,0,0.0,33.888,-1,1.546,1026.175,5469356.726,28922828.954,18
teb,77,1,14.55,9.37,0.937,0.64,1.067,0.4146,0,0,0,0.0,113.449,-1,0.746,1002.767,7573738.021,34681984.429,182
teb,78,1,10.42,8.93,0.893,0.86,1.12,0.5,0,0,0,0.0,13.155,-1,1.645,776.674,262405.151,21764534.143,28
teb,79,1,10.54,8.57,0.857,0.81,1.166,0.5,0,0,0,0.0,50.916,-1,0.663,864.841,866285.158,21291031.102,72
teb,80,1,21.79,10.29,1.029,0.47,0.972,0.3195,0,0,0,0.0,304.592,-1,1.477,1289.984,3993574.056,40114185.074,289
teb,81,1,16.41,8.99,0.899,0.55,1.112,0.4198,0,0,0,0.0,86.77,-1,0.807,1145.876,288464.347,36741358.302,179
teb,82,1,6.85,8.42,0.842,1.23,1.188,0.5,0,0,0,0.0,2.179,-1,1.13,780.064,559704.381,27873637.864,6
teb,83,1,28.41,9.43,0.943,0.33,1.061,0.2648,0,0,6,0.0,1552.399,-1,0.878,645.948,694900851.013,22127057.409,773
teb,84,1,7.67,8.23,0.823,1.07,1.215,0.5,0,0,0,0.0,15.741,-1,0.47,1561.198,20009768.201,47709678.335,11
teb,85,1,25.05,10.35,1.035,0.41,0.966,0.2926,0,0,1,0.0,441.505,-1,1.293,393.668,9671998.891,10914149.09,412
teb,86,1,15.75,9.29,0.929,0.59,1.076,0.4059,0,0,1,0.0,397.757,-1,0.717,1049.505,20846846.209,30329809.31,227
teb,87,1,6.45,8.13,0.813,1.26,1.23,0.5,0,0,0,0.0,1.077,-1,0.595,365.45,1874621.558,12296039.159,5
teb,88,1,7.99,8.33,0.833,1.04,1.201,0.5,0,0,0,0.0,13.91,-1,0.773,2322.081,682031.738,255000868.798,16
teb,89,1,10.01,8.65,0.865,0.86,1.156,0.5,0,0,0,0.0,60.573,-1,0.517,965.891,24097238.269,24048229.152,36
teb,90,1,8.19,8.42,0.842,1.03,1.188,0.5,0,0,0,0.0,18.493,-1,0.716,1767.744,958701.586,175439047.779,37
teb,91,1,22.54,11.23,1.123,0.5,0.891,0.3252,0,0,0,0.0,127.862,-1,1.868,980.839,31724759.491,25406539.122,273
teb,92,1,11.32,8.63,0.863,0.76,1.159,0.5,0,0,0,0.0,63.42,-1,0.587,886.915,8754749.877,25023863.613,80
teb,93,1,6.51,8.12,0.812,1.25,1.231,0.5,0,0,0,0.0,1.819,-1,0.486,734.693,19603698.174,27436949.022,5
teb,94,1,6.59,8.06,0.806,1.22,1.241,0.5,0,0,0,0.0,1.609,-1,0.201,904.181,1023862.484,75378931.113,7
teb,95,1,11.99,8.55,0.855,0.71,1.17,0.5,0,0,1,0.0,107.267,-1,0.374,438.621,3401084.832,15477732.789,133
teb,96,1,17.01,9.46,0.946,0.56,1.057,0.4205,0,0,0,0.0,170.043,-1,1.394,841.963,4890845.213,25043341.217,205
teb,97,1,13.19,8.96,0.896,0.68,1.116,0.4295,0,0,0,0.0,321.282,-1,0.587,1553.841,13243091.414,65184032.275,205
teb,98,1,36.83,11.1,1.11,0.3,0.901,0.205,0,0,3,0.0,719.258,-1,0.729,670.963,122987787.435,17468558.099,683
