Algorithm,World,Trial,Total_Time,Path_Length,Deviation_From_Straight,Avg_Velocity,Path_Efficiency,Navigation_Metric,Collision,Recovery_Count,My_Recovery_Count,Avg_Computation_Time,Path_Smoothness,Min_Clearance,Max_Path_Deviation,Control_Effort,Path_Curvature,Avg_Jerk,Path_Overlap
applr,0,1,12.67,8.91,0.892,0.7,1.122,0.25,0,0,0,0.0,165.199,-1,1.053,3078.635,39965005.171,384208162.311,163
applr,1,1,6.96,5.94,0.789,0.85,1.267,0.25,0,0,0,0.0,114.196,-1,1.101,2507.86,136610053.938,180009868.389,92
applr,2,1,15.18,7.73,0.916,0.51,1.092,0.2328,0,0,0,0.0,279.032,-1,0.465,2320.814,64025902.768,238740172.15,340
applr,3,1,5.33,4.17,0.754,0.78,1.326,0.0,0,0,0,0.0,157.987,-1,0.877,2462.831,10062427.445,159964134.85,88
applr,4,1,108.5,24.37,2.437,0.22,0.41,0.0,0,0,6,0.0,4279.682,-1,3.178,1882.537,7935150195.417,206596792.422,3461
applr,5,1,8.55,6.0,0.847,0.7,1.18,0.0,0,0,0,0.0,39.844,-1,1.638,1340.467,23412681.788,132397313.256,121
applr,6,1,11.93,7.97,0.797,0.67,1.254,0.0,1,0,0,0.0,205.043,-1,0.951,1727.346,2845682.547,80954226.183,158
applr,7,1,11.37,5.49,0.906,0.48,1.104,0.25,0,0,0,0.0,99.913,-1,1.261,1197.409,8907280.666,41781088.667,203
applr,8,1,4.58,1.25,0.197,0.27,5.067,0.0,1,0,0,0.0,53.773,-1,0.276,758.963,69779.977,28684086.043,81
applr,9,1,9.57,7.28,0.949,0.76,1.054,0.0,0,0,0,0.0,30.105,-1,2.255,762.279,5783271.187,22276246.576,77
applr,10,1,11.08,8.36,0.837,0.75,1.195,0.25,0,0,0,0.0,1.816,-1,1.136,360.185,30662.855,8080851.202,40
applr,11,1,11.92,6.35,0.906,0.53,1.104,0.0,0,0,0,0.0,226.508,-1,0.632,1459.277,19424405.867,84508809.62,174
applr,12,1,17.94,9.53,0.953,0.53,1.049,0.25,0,0,0,0.0,163.484,-1,1.457,1140.352,29224397.002,31211785.651,207
applr,13,1,38.95,12.38,1.484,0.32,0.674,0.0,0,0,1,0.0,977.39,-1,2.862,690.688,48209791928.153,18095979.186,772
applr,14,1,55.41,16.24,1.624,0.29,0.616,0.1382,0,0,3,0.0,1233.699,-1,3.183,984.016,106720383.317,30022321.406,1326
applr,15,1,12.37,7.94,1.1,0.64,0.909,0.0,0,0,0,0.0,25.009,-1,2.731,379.273,97679.846,6336632.785,80
applr,16,1,71.91,23.48,2.348,0.33,0.426,0.0,1,0,6,0.0,1491.682,-1,2.93,876.308,832013609.475,22364433.108,1245
applr,17,1,22.88,4.35,0.484,0.19,2.067,0.0,1,0,0,0.0,452.66,-1,0.549,680.951,720341034.112,14576507.754,648
applr,19,1,16.65,5.98,0.833,0.36,1.2,0.25,0,0,0,0.0,106.812,-1,1.54,606.724,1206891.107,13600875.474,271
applr,20,1,3.05,3.15,0.614,1.03,1.628,0.25,0,0,0,0.0,0.094,-1,0.074,508.236,488.113,8873088.344,4
applr,21,1,75.74,9.82,1.222,0.13,0.818,0.0,1,0,1,0.0,356.968,-1,2.153,355.044,88581343.987,7683075.246,2340
applr,22,1,4.93,2.17,0.228,0.44,4.379,0.0,1,0,0,0.0,53.017,-1,1.239,801.477,27757233.466,18960140.482,28
applr,23,1,38.01,21.36,2.672,0.56,0.374,0.0,0,0,0,0.0,92.117,-1,9.525,335.349,4687395.597,6544819.318,346
applr,24,1,39.0,16.24,1.624,0.42,0.616,0.0,0,0,1,0.0,558.084,-1,5.156,535.404,44662530.543,12496105.401,576
applr,25,1,6.42,8.04,0.804,1.25,1.243,0.25,0,0,0,0.0,0.349,-1,0.346,162.999,2137343.917,3083464.106,2
applr,26,1,5.67,4.36,0.717,0.77,1.394,0.25,0,0,0,0.0,20.493,-1,0.57,969.066,9691.836,21440852.684,14
applr,27,1,4.98,3.68,0.814,0.74,1.229,0.25,0,0,0,0.0,53.125,-1,1.525,1318.171,6492271.153,32080896.492,52
applr,28,1,0.79,0.18,0.022,0.22,45.227,0.0,1,0,0,0.0,24.984,-1,0.149,1465.447,33479446.343,27915033.307,8
applr,29,1,39.61,8.08,0.957,0.2,1.045,0.0,1,0,2,0.0,770.327,-1,6.03,446.04,489125838.399,8582769.04,916
applr,30,1,54.17,18.27,1.872,0.34,0.534,0.0,1,0,4,0.0,893.278,-1,3.86,439.268,866402801.679,9340649.866,850
applr,31,1,8.66,7.83,0.831,0.9,1.203,0.25,0,0,0,0.0,27.324,-1,0.993,756.568,536822335.071,14779143.881,30
applr,32,1,21.53,8.16,1.015,0.38,0.986,0.0,0,0,0,0.0,396.357,-1,1.442,765.771,3810761682.075,17203839.608,341
applr,33,1,32.96,5.03,0.503,0.15,1.99,0.0,1,0,3,0.0,737.457,-1,1.311,482.351,489230825.651,11162462.88,785
applr,34,1,31.08,10.73,1.187,0.35,0.843,0.0,0,0,1,0.0,328.843,-1,2.617,656.263,168756752.969,12794555.467,481
applr,35,1,38.78,26.01,2.601,0.67,0.384,0.0,0,0,0,0.0,89.769,-1,7.999,245.709,126903637.249,3847511.761,189
applr,36,1,60.59,29.42,2.942,0.49,0.34,0.0,0,0,0,0.0,596.981,-1,7.952,533.103,60275587.386,9936533.916,980
applr,37,1,40.23,27.05,2.705,0.67,0.37,0.0,0,0,1,0.0,294.361,-1,7.604,528.161,48453770.158,9949128.18,323
applr,38,1,102.23,20.76,2.076,0.2,0.482,0.0,1,0,7,0.0,1282.789,-1,2.535,397.004,1253296921.766,7688649.633,2051
applr,39,1,4.74,1.08,0.125,0.23,8.031,0.0,1,0,0,0.0,45.965,-1,0.667,581.175,900416.164,13219379.033,76
applr,40,1,1.79,1.41,0.417,0.79,2.396,0.0,0,0,0,0.0,12.797,-1,0.181,783.987,125168.822,19002860.203,3
applr,41,1,137.06,27.49,2.749,0.2,0.364,0.0,1,0,4,0.0,2248.872,-1,4.537,453.19,187534910.464,9132120.973,3811
applr,42,1,15.85,4.13,0.449,0.26,2.229,0.0,1,0,0,0.0,89.433,-1,2.339,297.437,779682.291,5259661.762,205
applr,43,1,12.6,6.96,0.829,0.55,1.207,0.0,0,0,0,0.0,65.904,-1,0.797,540.637,46542.389,9558995.572,74
applr,44,1,57.12,32.26,3.226,0.56,0.31,0.0,0,0,1,0.0,513.23,-1,8.422,639.559,807400635.044,12696017.51,538
applr,45,1,17.91,9.08,0.908,0.51,1.101,0.0,0,0,0,0.0,338.425,-1,0.912,640.82,92957646.385,13459951.163,230
applr,46,1,9.68,8.29,0.829,0.86,1.206,0.0,0,0,0,0.0,1.385,-1,1.08,430.945,429140.946,7268785.9,17
applr,47,1,31.32,12.07,1.207,0.39,0.829,0.2029,0,0,0,0.0,791.317,-1,0.66,1079.859,343902232.169,23915913.332,664
applr,48,1,2.68,0.2,0.025,0.08,39.992,0.0,1,0,0,0.0,82.01,-1,0.058,453.258,950196305.585,9596321.225,74
applr,49,1,9.56,5.72,0.749,0.6,1.336,0.0,0,0,0,0.0,7.626,-1,0.296,86.317,2079939.757,1626314.853,25
applr,50,1,11.96,8.44,0.844,0.71,1.185,0.25,0,0,0,0.0,20.67,-1,1.019,502.499,994296.495,8696197.115,40
applr,51,1,38.27,15.45,1.879,0.4,0.532,0.0,1,0,0,0.0,279.621,-1,3.68,616.031,12599688.217,10955967.111,441
applr,52,1,11.56,7.96,0.903,0.69,1.108,0.0,0,0,0,0.0,47.872,-1,1.73,476.839,175917.744,9810748.347,73
applr,53,1,8.24,4.32,0.432,0.52,2.312,0.0,1,0,0,0.0,15.303,-1,1.253,351.38,348454.668,6418370.064,32
applr,54,1,68.73,40.29,4.361,0.59,0.229,0.0,0,0,0,0.0,91.614,-1,5.716,337.823,13620247.498,5885843.161,347
applr,55,1,114.65,23.82,2.382,0.21,0.42,0.0,1,0,0,0.0,747.937,-1,5.787,533.612,237554215.412,10311354.022,3130
applr,56,1,21.49,10.08,1.095,0.47,0.913,0.0,0,0,1,0.0,635.326,-1,2.234,628.834,137072744.674,13441600.651,373
applr,57,1,12.74,9.64,0.964,0.76,1.037,0.0,0,0,0,0.0,219.967,-1,1.296,698.734,5524820.746,14817637.467,152
applr,58,1,75.7,15.59,1.559,0.21,0.641,0.0,1,0,3,0.0,1115.76,-1,4.753,393.083,321182856.095,7907407.297,1569
