🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_dwa_w22.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_22.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.17 (m)
Time: 0.23 (s), x: -2.25 (m), y: 3.24 (m)
Time: 0.34 (s), x: -2.24 (m), y: 3.32 (m)
Time: 0.44 (s), x: -2.24 (m), y: 3.42 (m)
Time: 0.54 (s), x: -2.24 (m), y: 3.51 (m)
Time: 0.65 (s), x: -2.23 (m), y: 3.61 (m)
Time: 0.75 (s), x: -2.23 (m), y: 3.71 (m)
Time: 0.85 (s), x: -2.22 (m), y: 3.81 (m)
Time: 0.96 (s), x: -2.22 (m), y: 3.92 (m)
Time: 1.07 (s), x: -2.21 (m), y: 4.02 (m)
Time: 1.17 (s), x: -2.20 (m), y: 4.13 (m)
Time: 1.28 (s), x: -2.18 (m), y: 4.22 (m)
Time: 1.38 (s), x: -2.17 (m), y: 4.33 (m)
Time: 1.49 (s), x: -2.15 (m), y: 4.43 (m)
Time: 1.59 (s), x: -2.14 (m), y: 4.53 (m)
Time: 1.70 (s), x: -2.12 (m), y: 4.63 (m)
Time: 1.80 (s), x: -2.10 (m), y: 4.73 (m)
Time: 1.91 (s), x: -2.08 (m), y: 4.82 (m)
Time: 2.01 (s), x: -2.06 (m), y: 4.91 (m)
Time: 2.12 (s), x: -2.05 (m), y: 4.98 (m)
Time: 2.22 (s), x: -2.03 (m), y: 5.05 (m)
Time: 2.32 (s), x: -2.01 (m), y: 5.12 (m)
Time: 2.42 (s), x: -1.99 (m), y: 5.19 (m)
Time: 2.52 (s), x: -1.98 (m), y: 5.25 (m)
Time: 2.62 (s), x: -1.96 (m), y: 5.31 (m)
Time: 2.73 (s), x: -1.94 (m), y: 5.37 (m)
Time: 2.83 (s), x: -1.93 (m), y: 5.43 (m)
Time: 2.94 (s), x: -1.91 (m), y: 5.48 (m)
Time: 3.04 (s), x: -1.90 (m), y: 5.54 (m)
Time: 3.14 (s), x: -1.88 (m), y: 5.60 (m)
Time: 3.25 (s), x: -1.87 (m), y: 5.65 (m)
Time: 3.35 (s), x: -1.86 (m), y: 5.69 (m)
Time: 3.46 (s), x: -1.85 (m), y: 5.73 (m)
Time: 3.56 (s), x: -1.84 (m), y: 5.76 (m)
Time: 3.66 (s), x: -1.83 (m), y: 5.80 (m)
Time: 3.76 (s), x: -1.82 (m), y: 5.83 (m)
Time: 3.86 (s), x: -1.82 (m), y: 5.86 (m)
Time: 3.96 (s), x: -1.81 (m), y: 5.90 (m)
Time: 4.07 (s), x: -1.80 (m), y: 5.93 (m)
Time: 4.17 (s), x: -1.79 (m), y: 5.95 (m)
Time: 4.28 (s), x: -1.79 (m), y: 5.98 (m)
Time: 4.38 (s), x: -1.78 (m), y: 6.01 (m)
Time: 4.48 (s), x: -1.78 (m), y: 6.03 (m)
Time: 4.58 (s), x: -1.77 (m), y: 6.05 (m)
Time: 4.69 (s), x: -1.77 (m), y: 6.07 (m)
Time: 4.79 (s), x: -1.76 (m), y: 6.10 (m)
Time: 4.89 (s), x: -1.76 (m), y: 6.12 (m)
Time: 5.00 (s), x: -1.75 (m), y: 6.13 (m)
Time: 5.10 (s), x: -1.75 (m), y: 6.15 (m)
Time: 5.20 (s), x: -1.74 (m), y: 6.17 (m)
Time: 5.30 (s), x: -1.74 (m), y: 6.18 (m)
Time: 5.40 (s), x: -1.74 (m), y: 6.20 (m)
Time: 5.50 (s), x: -1.73 (m), y: 6.21 (m)
Time: 5.61 (s), x: -1.73 (m), y: 6.23 (m)
Time: 5.71 (s), x: -1.73 (m), y: 6.24 (m)
Time: 5.82 (s), x: -1.73 (m), y: 6.25 (m)
Time: 5.92 (s), x: -1.72 (m), y: 6.26 (m)
Time: 6.02 (s), x: -1.72 (m), y: 6.27 (m)
Time: 6.12 (s), x: -1.72 (m), y: 6.28 (m)
Time: 6.22 (s), x: -1.71 (m), y: 6.29 (m)
Time: 6.33 (s), x: -1.71 (m), y: 6.30 (m)
Time: 6.43 (s), x: -1.71 (m), y: 6.31 (m)
Time: 6.54 (s), x: -1.70 (m), y: 6.32 (m)
Time: 6.64 (s), x: -1.69 (m), y: 6.34 (m)
Time: 6.74 (s), x: -1.69 (m), y: 6.35 (m)
Time: 6.84 (s), x: -1.68 (m), y: 6.37 (m)
Time: 6.95 (s), x: -1.68 (m), y: 6.38 (m)
Time: 7.06 (s), x: -1.68 (m), y: 6.39 (m)
Time: 7.16 (s), x: -1.68 (m), y: 6.40 (m)
Time: 7.26 (s), x: -1.68 (m), y: 6.40 (m)
Time: 7.36 (s), x: -1.68 (m), y: 6.40 (m)
Time: 7.47 (s), x: -1.68 (m), y: 6.41 (m)
Time: 7.57 (s), x: -1.68 (m), y: 6.42 (m)
