🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_eband_w89.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_89.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.15 (m)
Time: 0.22 (s), x: -2.25 (m), y: 3.20 (m)
Time: 0.32 (s), x: -2.25 (m), y: 3.25 (m)
Time: 0.42 (s), x: -2.25 (m), y: 3.30 (m)
Time: 0.53 (s), x: -2.25 (m), y: 3.35 (m)
Time: 0.64 (s), x: -2.25 (m), y: 3.40 (m)
Time: 0.74 (s), x: -2.25 (m), y: 3.45 (m)
Time: 0.85 (s), x: -2.26 (m), y: 3.50 (m)
Time: 0.95 (s), x: -2.26 (m), y: 3.55 (m)
Time: 1.06 (s), x: -2.26 (m), y: 3.59 (m)
Time: 1.16 (s), x: -2.26 (m), y: 3.64 (m)
Time: 1.26 (s), x: -2.28 (m), y: 3.69 (m)
Time: 1.37 (s), x: -2.29 (m), y: 3.74 (m)
Time: 1.47 (s), x: -2.29 (m), y: 3.80 (m)
Time: 1.57 (s), x: -2.30 (m), y: 3.84 (m)
Time: 1.68 (s), x: -2.30 (m), y: 3.89 (m)
Time: 1.78 (s), x: -2.31 (m), y: 3.94 (m)
Time: 1.88 (s), x: -2.31 (m), y: 3.99 (m)
Time: 1.99 (s), x: -2.31 (m), y: 4.04 (m)
Time: 2.09 (s), x: -2.31 (m), y: 4.09 (m)
Time: 2.20 (s), x: -2.31 (m), y: 4.13 (m)
Time: 2.30 (s), x: -2.30 (m), y: 4.17 (m)
Time: 2.40 (s), x: -2.30 (m), y: 4.22 (m)
Time: 2.51 (s), x: -2.30 (m), y: 4.26 (m)
Time: 2.61 (s), x: -2.31 (m), y: 4.31 (m)
Time: 2.72 (s), x: -2.32 (m), y: 4.36 (m)
Time: 2.82 (s), x: -2.33 (m), y: 4.41 (m)
Time: 2.92 (s), x: -2.34 (m), y: 4.45 (m)
Time: 3.03 (s), x: -2.34 (m), y: 4.50 (m)
Time: 3.13 (s), x: -2.35 (m), y: 4.54 (m)
Time: 3.24 (s), x: -2.35 (m), y: 4.59 (m)
Time: 3.34 (s), x: -2.36 (m), y: 4.65 (m)
Time: 3.44 (s), x: -2.38 (m), y: 4.71 (m)
Time: 3.55 (s), x: -2.39 (m), y: 4.76 (m)
Time: 3.65 (s), x: -2.39 (m), y: 4.80 (m)
Time: 3.76 (s), x: -2.40 (m), y: 4.85 (m)
Time: 3.86 (s), x: -2.41 (m), y: 4.90 (m)
Time: 3.97 (s), x: -2.43 (m), y: 4.95 (m)
Time: 4.07 (s), x: -2.44 (m), y: 4.99 (m)
Time: 4.18 (s), x: -2.44 (m), y: 5.04 (m)
Time: 4.28 (s), x: -2.45 (m), y: 5.09 (m)
Time: 4.38 (s), x: -2.45 (m), y: 5.14 (m)
Time: 4.49 (s), x: -2.45 (m), y: 5.19 (m)
Time: 4.60 (s), x: -2.46 (m), y: 5.23 (m)
Time: 4.70 (s), x: -2.47 (m), y: 5.29 (m)
Time: 4.81 (s), x: -2.47 (m), y: 5.34 (m)
Time: 4.91 (s), x: -2.48 (m), y: 5.39 (m)
Time: 5.02 (s), x: -2.48 (m), y: 5.43 (m)
Time: 5.12 (s), x: -2.49 (m), y: 5.48 (m)
Time: 5.22 (s), x: -2.50 (m), y: 5.52 (m)
Time: 5.32 (s), x: -2.51 (m), y: 5.57 (m)
Time: 5.43 (s), x: -2.51 (m), y: 5.62 (m)
Time: 5.53 (s), x: -2.52 (m), y: 5.67 (m)
Time: 5.64 (s), x: -2.52 (m), y: 5.71 (m)
Time: 5.75 (s), x: -2.53 (m), y: 5.76 (m)
Time: 5.85 (s), x: -2.53 (m), y: 5.81 (m)
Time: 5.96 (s), x: -2.53 (m), y: 5.86 (m)
Time: 6.07 (s), x: -2.53 (m), y: 5.92 (m)
Time: 6.17 (s), x: -2.53 (m), y: 5.98 (m)
Time: 6.28 (s), x: -2.53 (m), y: 6.02 (m)
Time: 6.38 (s), x: -2.54 (m), y: 6.07 (m)
Time: 6.49 (s), x: -2.55 (m), y: 6.12 (m)
Time: 6.59 (s), x: -2.56 (m), y: 6.17 (m)
Time: 6.70 (s), x: -2.58 (m), y: 6.24 (m)
Time: 6.80 (s), x: -2.60 (m), y: 6.31 (m)
Time: 6.91 (s), x: -2.62 (m), y: 6.36 (m)
Time: 7.02 (s), x: -2.64 (m), y: 6.41 (m)
Time: 7.12 (s), x: -2.65 (m), y: 6.46 (m)
Time: 7.23 (s), x: -2.66 (m), y: 6.51 (m)
Time: 7.33 (s), x: -2.66 (m), y: 6.56 (m)
Time: 7.44 (s), x: -2.67 (m), y: 6.60 (m)
Time: 7.54 (s), x: -2.67 (m), y: 6.64 (m)
Time: 7.65 (s), x: -2.68 (m), y: 6.69 (m)
Time: 7.75 (s), x: -2.67 (m), y: 6.74 (m)
Time: 7.86 (s), x: -2.65 (m), y: 6.79 (m)
Time: 7.96 (s), x: -2.62 (m), y: 6.83 (m)
Time: 8.07 (s), x: -2.60 (m), y: 6.86 (m)
Time: 8.18 (s), x: -2.57 (m), y: 6.90 (m)
Time: 8.28 (s), x: -2.55 (m), y: 6.95 (m)
Time: 8.39 (s), x: -2.52 (m), y: 6.99 (m)
Time: 8.49 (s), x: -2.49 (m), y: 7.03 (m)
Time: 8.60 (s), x: -2.46 (m), y: 7.07 (m)
Time: 8.71 (s), x: -2.43 (m), y: 7.11 (m)
Time: 8.81 (s), x: -2.40 (m), y: 7.15 (m)
Time: 8.92 (s), x: -2.38 (m), y: 7.19 (m)
Time: 9.02 (s), x: -2.35 (m), y: 7.23 (m)
Time: 9.13 (s), x: -2.32 (m), y: 7.27 (m)
Time: 9.23 (s), x: -2.29 (m), y: 7.30 (m)
Time: 9.34 (s), x: -2.26 (m), y: 7.34 (m)
Time: 9.45 (s), x: -2.23 (m), y: 7.38 (m)
Time: 9.55 (s), x: -2.20 (m), y: 7.41 (m)
Time: 9.66 (s), x: -2.16 (m), y: 7.46 (m)
Time: 9.77 (s), x: -2.11 (m), y: 7.51 (m)
Time: 9.87 (s), x: -2.07 (m), y: 7.55 (m)
Time: 9.97 (s), x: -2.04 (m), y: 7.57 (m)
Time: 10.07 (s), x: -2.03 (m), y: 7.57 (m)
Time: 10.17 (s), x: -2.01 (m), y: 7.58 (m)
Time: 10.28 (s), x: -2.00 (m), y: 7.60 (m)
Time: 10.38 (s), x: -1.97 (m), y: 7.65 (m)
Time: 10.48 (s), x: -1.95 (m), y: 7.70 (m)
Time: 10.59 (s), x: -1.93 (m), y: 7.75 (m)
Time: 10.70 (s), x: -1.92 (m), y: 7.80 (m)
Time: 10.80 (s), x: -1.91 (m), y: 7.85 (m)
Time: 10.91 (s), x: -1.91 (m), y: 7.90 (m)
Time: 11.02 (s), x: -1.91 (m), y: 7.94 (m)
Time: 11.12 (s), x: -1.92 (m), y: 7.99 (m)
Time: 11.23 (s), x: -1.92 (m), y: 8.04 (m)
Time: 11.33 (s), x: -1.92 (m), y: 8.09 (m)
Time: 11.44 (s), x: -1.92 (m), y: 8.14 (m)
Time: 11.55 (s), x: -1.93 (m), y: 8.19 (m)
Time: 11.65 (s), x: -1.93 (m), y: 8.24 (m)
Time: 11.76 (s), x: -1.93 (m), y: 8.29 (m)
Time: 11.86 (s), x: -1.93 (m), y: 8.34 (m)
Time: 11.97 (s), x: -1.94 (m), y: 8.39 (m)
Time: 12.07 (s), x: -1.94 (m), y: 8.43 (m)
Time: 12.18 (s), x: -1.94 (m), y: 8.48 (m)
Time: 12.28 (s), x: -1.95 (m), y: 8.53 (m)
Time: 12.39 (s), x: -1.95 (m), y: 8.58 (m)
Time: 12.49 (s), x: -1.95 (m), y: 8.63 (m)
Time: 12.60 (s), x: -1.96 (m), y: 8.68 (m)
Time: 12.70 (s), x: -1.96 (m), y: 8.73 (m)
Time: 12.80 (s), x: -1.96 (m), y: 8.77 (m)
Time: 12.91 (s), x: -1.97 (m), y: 8.82 (m)
Time: 13.01 (s), x: -1.97 (m), y: 8.87 (m)
Time: 13.11 (s), x: -1.97 (m), y: 8.92 (m)
Time: 13.21 (s), x: -1.98 (m), y: 8.97 (m)
Time: 13.31 (s), x: -1.98 (m), y: 9.01 (m)
Time: 13.42 (s), x: -1.98 (m), y: 9.06 (m)
Time: 13.52 (s), x: -1.98 (m), y: 9.11 (m)
Time: 13.62 (s), x: -1.99 (m), y: 9.16 (m)
Time: 13.73 (s), x: -1.99 (m), y: 9.20 (m)
Time: 13.83 (s), x: -1.99 (m), y: 9.25 (m)
Time: 13.93 (s), x: -1.99 (m), y: 9.30 (m)
Time: 14.04 (s), x: -2.00 (m), y: 9.35 (m)
Time: 14.14 (s), x: -2.00 (m), y: 9.40 (m)
Time: 14.24 (s), x: -2.00 (m), y: 9.45 (m)
Time: 14.35 (s), x: -2.01 (m), y: 9.49 (m)
Time: 14.45 (s), x: -2.01 (m), y: 9.54 (m)
Time: 14.55 (s), x: -2.01 (m), y: 9.59 (m)
Time: 14.65 (s), x: -2.02 (m), y: 9.63 (m)
Time: 14.76 (s), x: -2.02 (m), y: 9.68 (m)
Time: 14.86 (s), x: -2.02 (m), y: 9.73 (m)
Time: 14.96 (s), x: -2.02 (m), y: 9.78 (m)
Time: 15.07 (s), x: -2.03 (m), y: 9.83 (m)
Time: 15.18 (s), x: -2.03 (m), y: 9.88 (m)
Time: 15.28 (s), x: -2.04 (m), y: 9.92 (m)
Time: 15.38 (s), x: -2.04 (m), y: 9.97 (m)
Time: 15.49 (s), x: -2.04 (m), y: 10.02 (m)
Time: 15.60 (s), x: -2.05 (m), y: 10.07 (m)
Time: 15.71 (s), x: -2.05 (m), y: 10.12 (m)
Time: 15.81 (s), x: -2.06 (m), y: 10.17 (m)
Time: 15.92 (s), x: -2.06 (m), y: 10.22 (m)
Time: 16.02 (s), x: -2.06 (m), y: 10.27 (m)
Time: 16.13 (s), x: -2.07 (m), y: 10.32 (m)
Time: 16.24 (s), x: -2.07 (m), y: 10.37 (m)
Time: 16.35 (s), x: -2.07 (m), y: 10.42 (m)
Time: 16.46 (s), x: -2.08 (m), y: 10.47 (m)
Time: 16.56 (s), x: -2.08 (m), y: 10.52 (m)
Time: 16.67 (s), x: -2.08 (m), y: 10.57 (m)
Time: 16.78 (s), x: -2.09 (m), y: 10.61 (m)
Time: 16.88 (s), x: -2.09 (m), y: 10.66 (m)
Time: 16.98 (s), x: -2.09 (m), y: 10.71 (m)
Time: 17.08 (s), x: -2.10 (m), y: 10.76 (m)
Time: 17.19 (s), x: -2.10 (m), y: 10.81 (m)
Time: 17.29 (s), x: -2.10 (m), y: 10.85 (m)
Time: 17.40 (s), x: -2.11 (m), y: 10.90 (m)
Time: 17.51 (s), x: -2.11 (m), y: 10.95 (m)
Time: 17.61 (s), x: -2.11 (m), y: 11.00 (m)
Time: 17.72 (s), x: -2.12 (m), y: 11.05 (m)
Time: 17.83 (s), x: -2.12 (m), y: 11.10 (m)
Time: 17.93 (s), x: -2.12 (m), y: 11.15 (m)
Time: 18.04 (s), x: -2.13 (m), y: 11.20 (m)
Time: 18.15 (s), x: -2.13 (m), y: 11.25 (m)
Time: 18.26 (s), x: -2.14 (m), y: 11.30 (m)
Time: 18.37 (s), x: -2.14 (m), y: 11.36 (m)
Time: 18.48 (s), x: -2.14 (m), y: 11.41 (m)
Time: 18.58 (s), x: -2.15 (m), y: 11.45 (m)
Time: 18.69 (s), x: -2.15 (m), y: 11.50 (m)
Time: 18.79 (s), x: -2.15 (m), y: 11.55 (m)
Time: 18.89 (s), x: -2.16 (m), y: 11.60 (m)
