🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_fastdwa_w91.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_91.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.00 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.00 (m), y: 3.21 (m)
Time: 0.22 (s), x: -2.00 (m), y: 3.30 (m)
Time: 0.33 (s), x: -2.00 (m), y: 3.40 (m)
Time: 0.43 (s), x: -1.99 (m), y: 3.50 (m)
Time: 0.54 (s), x: -1.98 (m), y: 3.59 (m)
Time: 0.64 (s), x: -1.97 (m), y: 3.66 (m)
Time: 0.75 (s), x: -1.96 (m), y: 3.74 (m)
Time: 0.85 (s), x: -1.94 (m), y: 3.82 (m)
Time: 0.95 (s), x: -1.93 (m), y: 3.90 (m)
Time: 1.06 (s), x: -1.92 (m), y: 3.97 (m)
Time: 1.16 (s), x: -1.91 (m), y: 4.03 (m)
Time: 1.26 (s), x: -1.89 (m), y: 4.09 (m)
Time: 1.37 (s), x: -1.88 (m), y: 4.16 (m)
Time: 1.47 (s), x: -1.87 (m), y: 4.22 (m)
Time: 1.58 (s), x: -1.86 (m), y: 4.28 (m)
Time: 1.68 (s), x: -1.85 (m), y: 4.33 (m)
Time: 1.78 (s), x: -1.84 (m), y: 4.39 (m)
Time: 1.89 (s), x: -1.82 (m), y: 4.43 (m)
Time: 1.99 (s), x: -1.81 (m), y: 4.48 (m)
Time: 2.10 (s), x: -1.81 (m), y: 4.52 (m)
Time: 2.20 (s), x: -1.80 (m), y: 4.56 (m)
Time: 2.31 (s), x: -1.79 (m), y: 4.59 (m)
Time: 2.41 (s), x: -1.78 (m), y: 4.63 (m)
Time: 2.52 (s), x: -1.77 (m), y: 4.67 (m)
Time: 2.62 (s), x: -1.77 (m), y: 4.71 (m)
Time: 2.73 (s), x: -1.76 (m), y: 4.75 (m)
Time: 2.83 (s), x: -1.75 (m), y: 4.78 (m)
Time: 2.94 (s), x: -1.74 (m), y: 4.81 (m)
Time: 3.04 (s), x: -1.74 (m), y: 4.84 (m)
Time: 3.15 (s), x: -1.73 (m), y: 4.86 (m)
Time: 3.26 (s), x: -1.72 (m), y: 4.89 (m)
Time: 3.37 (s), x: -1.72 (m), y: 4.91 (m)
Time: 3.47 (s), x: -1.71 (m), y: 4.93 (m)
Time: 3.58 (s), x: -1.71 (m), y: 4.95 (m)
Time: 3.69 (s), x: -1.70 (m), y: 4.98 (m)
Time: 3.79 (s), x: -1.70 (m), y: 5.00 (m)
Time: 3.89 (s), x: -1.69 (m), y: 5.01 (m)
Time: 4.00 (s), x: -1.69 (m), y: 5.03 (m)
Time: 4.10 (s), x: -1.68 (m), y: 5.05 (m)
Time: 4.21 (s), x: -1.68 (m), y: 5.07 (m)
Time: 4.32 (s), x: -1.67 (m), y: 5.08 (m)
Time: 4.42 (s), x: -1.67 (m), y: 5.10 (m)
Time: 4.52 (s), x: -1.66 (m), y: 5.12 (m)
Time: 4.63 (s), x: -1.66 (m), y: 5.13 (m)
Time: 4.74 (s), x: -1.66 (m), y: 5.14 (m)
Time: 4.84 (s), x: -1.66 (m), y: 5.15 (m)
Time: 4.95 (s), x: -1.65 (m), y: 5.15 (m)
Time: 5.06 (s), x: -1.65 (m), y: 5.16 (m)
Time: 5.16 (s), x: -1.65 (m), y: 5.17 (m)
Time: 5.26 (s), x: -1.65 (m), y: 5.18 (m)
Time: 5.37 (s), x: -1.64 (m), y: 5.20 (m)
Time: 5.48 (s), x: -1.64 (m), y: 5.21 (m)
Time: 5.59 (s), x: -1.64 (m), y: 5.22 (m)
Time: 5.70 (s), x: -1.63 (m), y: 5.23 (m)
Time: 5.80 (s), x: -1.63 (m), y: 5.24 (m)
Time: 5.91 (s), x: -1.62 (m), y: 5.25 (m)
Time: 6.02 (s), x: -1.62 (m), y: 5.26 (m)
Time: 6.12 (s), x: -1.62 (m), y: 5.27 (m)
Time: 6.23 (s), x: -1.61 (m), y: 5.28 (m)
Time: 6.34 (s), x: -1.61 (m), y: 5.29 (m)
Time: 6.44 (s), x: -1.61 (m), y: 5.30 (m)
Time: 6.54 (s), x: -1.60 (m), y: 5.31 (m)
Time: 6.65 (s), x: -1.60 (m), y: 5.32 (m)
Time: 6.75 (s), x: -1.60 (m), y: 5.33 (m)
Time: 6.86 (s), x: -1.59 (m), y: 5.34 (m)
Time: 6.96 (s), x: -1.59 (m), y: 5.36 (m)
Time: 7.06 (s), x: -1.58 (m), y: 5.37 (m)
Time: 7.17 (s), x: -1.58 (m), y: 5.39 (m)
Time: 7.28 (s), x: -1.56 (m), y: 5.42 (m)
Time: 7.38 (s), x: -1.55 (m), y: 5.45 (m)
Time: 7.49 (s), x: -1.53 (m), y: 5.49 (m)
Time: 7.59 (s), x: -1.51 (m), y: 5.53 (m)
Time: 7.70 (s), x: -1.50 (m), y: 5.57 (m)
Time: 7.81 (s), x: -1.50 (m), y: 5.59 (m)
Time: 7.91 (s), x: -1.49 (m), y: 5.62 (m)
Time: 8.01 (s), x: -1.49 (m), y: 5.65 (m)
Time: 8.12 (s), x: -1.49 (m), y: 5.69 (m)
Time: 8.23 (s), x: -1.49 (m), y: 5.72 (m)
Time: 8.33 (s), x: -1.49 (m), y: 5.74 (m)
Time: 8.44 (s), x: -1.49 (m), y: 5.76 (m)
Time: 8.55 (s), x: -1.49 (m), y: 5.77 (m)
Time: 8.65 (s), x: -1.49 (m), y: 5.77 (m)
Time: 8.76 (s), x: -1.48 (m), y: 5.76 (m)
Time: 8.87 (s), x: -1.48 (m), y: 5.75 (m)
Time: 8.97 (s), x: -1.48 (m), y: 5.75 (m)
Time: 9.07 (s), x: -1.47 (m), y: 5.74 (m)
Time: 9.18 (s), x: -1.47 (m), y: 5.73 (m)
Time: 9.29 (s), x: -1.47 (m), y: 5.72 (m)
Time: 9.39 (s), x: -1.46 (m), y: 5.71 (m)
Time: 9.49 (s), x: -1.46 (m), y: 5.71 (m)
Time: 9.59 (s), x: -1.46 (m), y: 5.71 (m)
