🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_teb_w72.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_72.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.11 (s), x: -2.25 (m), y: 3.20 (m)
Time: 0.22 (s), x: -2.25 (m), y: 3.34 (m)
Time: 0.32 (s), x: -2.25 (m), y: 3.49 (m)
Time: 0.42 (s), x: -2.25 (m), y: 3.64 (m)
Time: 0.52 (s), x: -2.25 (m), y: 3.79 (m)
Time: 0.63 (s), x: -2.25 (m), y: 3.95 (m)
Time: 0.73 (s), x: -2.25 (m), y: 4.11 (m)
Time: 0.83 (s), x: -2.25 (m), y: 4.26 (m)
Time: 0.94 (s), x: -2.25 (m), y: 4.42 (m)
Time: 1.04 (s), x: -2.28 (m), y: 4.56 (m)
Time: 1.14 (s), x: -2.31 (m), y: 4.71 (m)
Time: 1.24 (s), x: -2.34 (m), y: 4.85 (m)
Time: 1.35 (s), x: -2.37 (m), y: 5.01 (m)
Time: 1.45 (s), x: -2.40 (m), y: 5.16 (m)
Time: 1.56 (s), x: -2.43 (m), y: 5.32 (m)
Time: 1.66 (s), x: -2.44 (m), y: 5.46 (m)
Time: 1.77 (s), x: -2.43 (m), y: 5.63 (m)
Time: 1.87 (s), x: -2.42 (m), y: 5.78 (m)
Time: 1.97 (s), x: -2.40 (m), y: 5.94 (m)
Time: 2.08 (s), x: -2.40 (m), y: 6.09 (m)
Time: 2.18 (s), x: -2.40 (m), y: 6.24 (m)
Time: 2.29 (s), x: -2.41 (m), y: 6.39 (m)
Time: 2.39 (s), x: -2.43 (m), y: 6.56 (m)
Time: 2.50 (s), x: -2.45 (m), y: 6.71 (m)
Time: 2.60 (s), x: -2.47 (m), y: 6.86 (m)
Time: 2.70 (s), x: -2.50 (m), y: 7.01 (m)
Time: 2.80 (s), x: -2.51 (m), y: 7.15 (m)
Time: 2.91 (s), x: -2.51 (m), y: 7.31 (m)
Time: 3.01 (s), x: -2.48 (m), y: 7.44 (m)
Time: 3.11 (s), x: -2.45 (m), y: 7.54 (m)
Time: 3.22 (s), x: -2.40 (m), y: 7.66 (m)
Time: 3.33 (s), x: -2.36 (m), y: 7.79 (m)
Time: 3.43 (s), x: -2.31 (m), y: 7.94 (m)
Time: 3.54 (s), x: -2.26 (m), y: 8.08 (m)
Time: 3.64 (s), x: -2.22 (m), y: 8.23 (m)
Time: 3.74 (s), x: -2.19 (m), y: 8.39 (m)
Time: 3.84 (s), x: -2.19 (m), y: 8.54 (m)
Time: 3.95 (s), x: -2.21 (m), y: 8.69 (m)
Time: 4.05 (s), x: -2.23 (m), y: 8.79 (m)
Time: 4.15 (s), x: -2.25 (m), y: 8.87 (m)
Time: 4.26 (s), x: -2.24 (m), y: 8.91 (m)
Time: 4.37 (s), x: -2.23 (m), y: 8.93 (m)
Time: 4.47 (s), x: -2.23 (m), y: 8.96 (m)
Time: 4.57 (s), x: -2.23 (m), y: 8.99 (m)
Time: 4.68 (s), x: -2.25 (m), y: 9.00 (m)
Time: 4.78 (s), x: -2.27 (m), y: 9.01 (m)
Time: 4.89 (s), x: -2.28 (m), y: 9.02 (m)
Time: 4.99 (s), x: -2.28 (m), y: 9.02 (m)
Time: 5.09 (s), x: -2.28 (m), y: 9.02 (m)
Time: 5.20 (s), x: -2.28 (m), y: 9.02 (m)
Time: 5.30 (s), x: -2.28 (m), y: 9.02 (m)
Time: 5.40 (s), x: -2.28 (m), y: 9.02 (m)
Time: 5.51 (s), x: -2.29 (m), y: 9.02 (m)
Time: 5.61 (s), x: -2.29 (m), y: 9.02 (m)
Time: 5.72 (s), x: -2.28 (m), y: 9.03 (m)
Time: 5.83 (s), x: -2.29 (m), y: 9.03 (m)
Time: 5.93 (s), x: -2.29 (m), y: 9.03 (m)
Time: 6.04 (s), x: -2.28 (m), y: 9.03 (m)
Time: 6.14 (s), x: -2.26 (m), y: 9.04 (m)
Time: 6.25 (s), x: -2.26 (m), y: 9.04 (m)
Time: 6.35 (s), x: -2.26 (m), y: 9.04 (m)
Time: 6.46 (s), x: -2.26 (m), y: 9.04 (m)
Time: 6.56 (s), x: -2.25 (m), y: 9.04 (m)
Time: 6.66 (s), x: -2.23 (m), y: 9.03 (m)
Time: 6.76 (s), x: -2.22 (m), y: 9.03 (m)
Time: 6.87 (s), x: -2.22 (m), y: 9.03 (m)
Time: 6.97 (s), x: -2.22 (m), y: 9.03 (m)
Time: 7.07 (s), x: -2.22 (m), y: 9.03 (m)
Time: 7.18 (s), x: -2.20 (m), y: 9.02 (m)
Time: 7.29 (s), x: -2.19 (m), y: 9.01 (m)
Time: 7.40 (s), x: -2.19 (m), y: 9.01 (m)
Time: 7.50 (s), x: -2.19 (m), y: 9.01 (m)
Time: 7.61 (s), x: -2.20 (m), y: 9.01 (m)
Time: 7.71 (s), x: -2.20 (m), y: 9.00 (m)
Time: 7.82 (s), x: -2.20 (m), y: 8.99 (m)
Time: 7.92 (s), x: -2.19 (m), y: 8.98 (m)
Time: 8.03 (s), x: -2.19 (m), y: 8.98 (m)
Time: 8.13 (s), x: -2.19 (m), y: 8.98 (m)
Time: 8.24 (s), x: -2.19 (m), y: 8.98 (m)
Time: 8.34 (s), x: -2.18 (m), y: 8.97 (m)
Time: 8.45 (s), x: -2.18 (m), y: 8.95 (m)
Time: 8.55 (s), x: -2.17 (m), y: 8.94 (m)
Time: 8.66 (s), x: -2.17 (m), y: 8.93 (m)
Time: 8.77 (s), x: -2.17 (m), y: 8.93 (m)
Time: 8.88 (s), x: -2.17 (m), y: 8.93 (m)
Time: 8.98 (s), x: -2.18 (m), y: 8.94 (m)
Time: 9.09 (s), x: -2.19 (m), y: 8.94 (m)
Time: 9.20 (s), x: -2.20 (m), y: 8.95 (m)
Time: 9.30 (s), x: -2.21 (m), y: 8.96 (m)
Time: 9.40 (s), x: -2.24 (m), y: 8.97 (m)
Time: 9.51 (s), x: -2.26 (m), y: 8.99 (m)
Time: 9.61 (s), x: -2.27 (m), y: 8.99 (m)
Time: 9.72 (s), x: -2.27 (m), y: 8.99 (m)
Time: 9.83 (s), x: -2.27 (m), y: 8.99 (m)
Time: 9.93 (s), x: -2.27 (m), y: 9.00 (m)
Time: 10.04 (s), x: -2.29 (m), y: 9.01 (m)
Time: 10.14 (s), x: -2.30 (m), y: 9.01 (m)
Time: 10.25 (s), x: -2.30 (m), y: 9.00 (m)
Time: 10.36 (s), x: -2.30 (m), y: 9.00 (m)
Time: 10.46 (s), x: -2.31 (m), y: 9.01 (m)
Time: 10.56 (s), x: -2.34 (m), y: 9.04 (m)
Time: 10.67 (s), x: -2.38 (m), y: 9.08 (m)
Time: 10.78 (s), x: -2.42 (m), y: 9.13 (m)
Time: 10.88 (s), x: -2.47 (m), y: 9.20 (m)
Time: 10.99 (s), x: -2.52 (m), y: 9.29 (m)
Time: 11.09 (s), x: -2.58 (m), y: 9.40 (m)
Time: 11.20 (s), x: -2.63 (m), y: 9.52 (m)
Time: 11.30 (s), x: -2.69 (m), y: 9.66 (m)
Time: 11.41 (s), x: -2.75 (m), y: 9.81 (m)
Time: 11.52 (s), x: -2.79 (m), y: 9.96 (m)
Time: 11.62 (s), x: -2.80 (m), y: 10.11 (m)
Time: 11.73 (s), x: -2.80 (m), y: 10.26 (m)
Time: 11.83 (s), x: -2.77 (m), y: 10.42 (m)
Time: 11.94 (s), x: -2.73 (m), y: 10.57 (m)
Time: 12.05 (s), x: -2.69 (m), y: 10.72 (m)
Time: 12.15 (s), x: -2.66 (m), y: 10.88 (m)
Time: 12.26 (s), x: -2.63 (m), y: 11.03 (m)
Time: 12.37 (s), x: -2.62 (m), y: 11.19 (m)
Time: 12.48 (s), x: -2.64 (m), y: 11.36 (m)
Time: 12.58 (s), x: -2.66 (m), y: 11.51 (m)
Time: 12.69 (s), x: -2.69 (m), y: 11.67 (m)
Time: 12.80 (s), x: -2.71 (m), y: 11.83 (m)
Time: 12.91 (s), x: -2.73 (m), y: 11.99 (m)
Time: 13.01 (s), x: -2.75 (m), y: 12.15 (m)
>>>>>>>>>>>>>>>>>> Test finished! <<<<<<<<<<<<<<<<<<
Navigation succeeded with time 13.0140 (s)
Navigation metric: 0.4042
