🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_dwa_w140.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_140.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.11 (s), x: -2.24 (m), y: 3.17 (m)
Time: 0.22 (s), x: -2.24 (m), y: 3.24 (m)
Time: 0.32 (s), x: -2.24 (m), y: 3.32 (m)
Time: 0.42 (s), x: -2.23 (m), y: 3.41 (m)
Time: 0.52 (s), x: -2.23 (m), y: 3.51 (m)
Time: 0.63 (s), x: -2.22 (m), y: 3.61 (m)
Time: 0.73 (s), x: -2.21 (m), y: 3.68 (m)
Time: 0.83 (s), x: -2.21 (m), y: 3.75 (m)
Time: 0.94 (s), x: -2.20 (m), y: 3.83 (m)
Time: 1.04 (s), x: -2.19 (m), y: 3.91 (m)
Time: 1.15 (s), x: -2.19 (m), y: 3.98 (m)
Time: 1.25 (s), x: -2.18 (m), y: 4.04 (m)
Time: 1.36 (s), x: -2.17 (m), y: 4.10 (m)
Time: 1.47 (s), x: -2.16 (m), y: 4.16 (m)
Time: 1.58 (s), x: -2.16 (m), y: 4.21 (m)
Time: 1.68 (s), x: -2.15 (m), y: 4.26 (m)
Time: 1.78 (s), x: -2.14 (m), y: 4.31 (m)
Time: 1.88 (s), x: -2.14 (m), y: 4.35 (m)
Time: 1.98 (s), x: -2.13 (m), y: 4.39 (m)
Time: 2.09 (s), x: -2.12 (m), y: 4.43 (m)
Time: 2.19 (s), x: -2.11 (m), y: 4.47 (m)
Time: 2.30 (s), x: -2.10 (m), y: 4.50 (m)
Time: 2.40 (s), x: -2.10 (m), y: 4.54 (m)
Time: 2.50 (s), x: -2.09 (m), y: 4.57 (m)
Time: 2.60 (s), x: -2.09 (m), y: 4.60 (m)
Time: 2.71 (s), x: -2.08 (m), y: 4.62 (m)
Time: 2.81 (s), x: -2.07 (m), y: 4.65 (m)
Time: 2.91 (s), x: -2.07 (m), y: 4.67 (m)
Time: 3.02 (s), x: -2.06 (m), y: 4.70 (m)
Time: 3.12 (s), x: -2.06 (m), y: 4.72 (m)
Time: 3.23 (s), x: -2.05 (m), y: 4.74 (m)
Time: 3.33 (s), x: -2.04 (m), y: 4.76 (m)
Time: 3.43 (s), x: -2.04 (m), y: 4.79 (m)
Time: 3.53 (s), x: -2.03 (m), y: 4.81 (m)
Time: 3.63 (s), x: -2.03 (m), y: 4.83 (m)
Time: 3.74 (s), x: -2.02 (m), y: 4.84 (m)
Time: 3.84 (s), x: -2.02 (m), y: 4.84 (m)
Time: 3.94 (s), x: -2.02 (m), y: 4.85 (m)
Time: 4.04 (s), x: -2.02 (m), y: 4.86 (m)
Time: 4.15 (s), x: -2.01 (m), y: 4.87 (m)
Time: 4.25 (s), x: -2.01 (m), y: 4.88 (m)
Time: 4.36 (s), x: -2.01 (m), y: 4.89 (m)
Time: 4.47 (s), x: -2.01 (m), y: 4.90 (m)
Time: 4.57 (s), x: -2.01 (m), y: 4.90 (m)
Time: 4.67 (s), x: -2.01 (m), y: 4.91 (m)
Time: 4.78 (s), x: -2.01 (m), y: 4.92 (m)
Time: 4.88 (s), x: -2.00 (m), y: 4.93 (m)
Time: 4.98 (s), x: -2.00 (m), y: 4.95 (m)
