🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_dwa_w300.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with DynaBARN/world_0.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: 10.95 (m), y: 0.09 (m)
Time: 0.12 (s), x: 10.93 (m), y: 0.10 (m)
Time: 0.22 (s), x: 10.92 (m), y: 0.11 (m)
Time: 0.32 (s), x: 10.90 (m), y: 0.11 (m)
Time: 0.43 (s), x: 10.88 (m), y: 0.11 (m)
Time: 0.53 (s), x: 10.86 (m), y: 0.11 (m)
Time: 0.64 (s), x: 10.85 (m), y: 0.11 (m)
Time: 0.74 (s), x: 10.83 (m), y: 0.11 (m)
Time: 0.84 (s), x: 10.81 (m), y: 0.10 (m)
Time: 0.95 (s), x: 10.79 (m), y: 0.09 (m)
Time: 1.05 (s), x: 10.78 (m), y: 0.08 (m)
Time: 1.16 (s), x: 10.77 (m), y: 0.06 (m)
Time: 1.26 (s), x: 10.76 (m), y: 0.05 (m)
Time: 1.36 (s), x: 10.75 (m), y: 0.03 (m)
Time: 1.47 (s), x: 10.75 (m), y: 0.01 (m)
Time: 1.57 (s), x: 10.74 (m), y: -0.00 (m)
Time: 1.67 (s), x: 10.74 (m), y: -0.02 (m)
Time: 1.78 (s), x: 10.74 (m), y: -0.04 (m)
Time: 1.88 (s), x: 10.75 (m), y: -0.06 (m)
Time: 1.99 (s), x: 10.76 (m), y: -0.08 (m)
Time: 2.09 (s), x: 10.77 (m), y: -0.09 (m)
Time: 2.19 (s), x: 10.78 (m), y: -0.11 (m)
Time: 2.30 (s), x: 10.79 (m), y: -0.12 (m)
Time: 2.40 (s), x: 10.81 (m), y: -0.13 (m)
Time: 2.51 (s), x: 10.82 (m), y: -0.14 (m)
Time: 2.61 (s), x: 10.84 (m), y: -0.14 (m)
Time: 2.71 (s), x: 10.86 (m), y: -0.15 (m)
Time: 2.82 (s), x: 10.88 (m), y: -0.15 (m)
Time: 2.92 (s), x: 10.89 (m), y: -0.14 (m)
Time: 3.03 (s), x: 10.91 (m), y: -0.14 (m)
Time: 3.13 (s), x: 10.93 (m), y: -0.13 (m)
Time: 3.23 (s), x: 10.95 (m), y: -0.13 (m)
Time: 3.34 (s), x: 10.96 (m), y: -0.11 (m)
Time: 3.44 (s), x: 10.97 (m), y: -0.10 (m)
Time: 3.55 (s), x: 10.98 (m), y: -0.09 (m)
Time: 3.65 (s), x: 10.99 (m), y: -0.07 (m)
Time: 3.75 (s), x: 11.00 (m), y: -0.05 (m)
Time: 3.86 (s), x: 11.00 (m), y: -0.04 (m)
Time: 3.96 (s), x: 11.00 (m), y: -0.02 (m)
Time: 4.06 (s), x: 11.00 (m), y: -0.00 (m)
Time: 4.17 (s), x: 11.00 (m), y: 0.01 (m)
Time: 4.28 (s), x: 11.00 (m), y: 0.02 (m)
Time: 4.38 (s), x: 11.00 (m), y: 0.03 (m)
Time: 4.49 (s), x: 11.00 (m), y: 0.03 (m)
Time: 4.59 (s), x: 11.00 (m), y: 0.03 (m)
Time: 4.70 (s), x: 11.00 (m), y: 0.03 (m)
Time: 4.81 (s), x: 11.00 (m), y: 0.03 (m)
Time: 4.91 (s), x: 11.00 (m), y: 0.03 (m)
Time: 5.01 (s), x: 11.00 (m), y: 0.03 (m)
Time: 5.12 (s), x: 11.00 (m), y: 0.03 (m)
Time: 5.22 (s), x: 11.00 (m), y: 0.03 (m)
Time: 5.33 (s), x: 11.00 (m), y: 0.03 (m)
Time: 5.44 (s), x: 11.00 (m), y: 0.03 (m)
Time: 5.54 (s), x: 11.00 (m), y: 0.03 (m)
Time: 5.65 (s), x: 11.00 (m), y: 0.03 (m)
Time: 5.75 (s), x: 11.00 (m), y: 0.03 (m)
Time: 5.86 (s), x: 11.00 (m), y: 0.03 (m)
Time: 5.96 (s), x: 11.00 (m), y: 0.03 (m)
Time: 6.07 (s), x: 11.00 (m), y: 0.03 (m)
Time: 6.17 (s), x: 11.00 (m), y: 0.03 (m)
Time: 6.28 (s), x: 11.00 (m), y: 0.03 (m)
Time: 6.39 (s), x: 11.00 (m), y: 0.03 (m)
Time: 6.49 (s), x: 11.00 (m), y: 0.03 (m)
Time: 6.60 (s), x: 11.00 (m), y: 0.03 (m)
Time: 6.70 (s), x: 11.00 (m), y: 0.03 (m)
Time: 6.81 (s), x: 11.00 (m), y: 0.03 (m)
Time: 6.91 (s), x: 11.00 (m), y: 0.03 (m)
Time: 7.01 (s), x: 11.00 (m), y: 0.03 (m)
Time: 7.12 (s), x: 11.00 (m), y: 0.03 (m)
Time: 7.22 (s), x: 11.00 (m), y: 0.03 (m)
Time: 7.33 (s), x: 11.00 (m), y: 0.03 (m)
Time: 7.44 (s), x: 11.00 (m), y: 0.03 (m)
Time: 7.55 (s), x: 11.00 (m), y: 0.03 (m)
Time: 7.66 (s), x: 11.00 (m), y: 0.03 (m)
Time: 7.76 (s), x: 11.00 (m), y: 0.03 (m)
Time: 7.87 (s), x: 11.00 (m), y: 0.03 (m)
Time: 7.97 (s), x: 11.00 (m), y: 0.03 (m)
Time: 8.08 (s), x: 11.00 (m), y: 0.03 (m)
Time: 8.19 (s), x: 11.00 (m), y: 0.03 (m)
Time: 8.29 (s), x: 11.00 (m), y: 0.03 (m)
Time: 8.40 (s), x: 11.00 (m), y: 0.03 (m)
Time: 8.50 (s), x: 11.00 (m), y: 0.03 (m)
Time: 8.61 (s), x: 11.00 (m), y: 0.03 (m)
Time: 8.71 (s), x: 11.00 (m), y: 0.03 (m)
Time: 8.82 (s), x: 11.00 (m), y: 0.03 (m)
Time: 8.92 (s), x: 11.00 (m), y: 0.03 (m)
Time: 9.02 (s), x: 11.00 (m), y: 0.03 (m)
Time: 9.13 (s), x: 11.00 (m), y: 0.03 (m)
Time: 9.24 (s), x: 11.00 (m), y: 0.03 (m)
Time: 9.34 (s), x: 11.00 (m), y: 0.03 (m)
Time: 9.45 (s), x: 11.00 (m), y: 0.03 (m)
Time: 9.55 (s), x: 11.00 (m), y: 0.03 (m)
Time: 9.66 (s), x: 11.00 (m), y: 0.03 (m)
Time: 9.76 (s), x: 11.00 (m), y: 0.03 (m)
Time: 9.87 (s), x: 11.00 (m), y: 0.03 (m)
Time: 9.98 (s), x: 11.00 (m), y: 0.03 (m)
Time: 10.08 (s), x: 11.00 (m), y: 0.03 (m)
Time: 10.19 (s), x: 11.00 (m), y: 0.03 (m)
Time: 10.29 (s), x: 11.00 (m), y: 0.03 (m)
Time: 10.40 (s), x: 11.00 (m), y: 0.03 (m)
Time: 10.50 (s), x: 11.00 (m), y: 0.03 (m)
Time: 10.60 (s), x: 11.00 (m), y: 0.03 (m)
Time: 10.71 (s), x: 11.00 (m), y: 0.03 (m)
Time: 10.81 (s), x: 11.00 (m), y: 0.03 (m)
Time: 10.92 (s), x: 11.00 (m), y: 0.03 (m)
Time: 11.02 (s), x: 11.00 (m), y: 0.03 (m)
Time: 11.13 (s), x: 11.00 (m), y: 0.03 (m)
Time: 11.24 (s), x: 11.00 (m), y: 0.03 (m)
Time: 11.34 (s), x: 11.00 (m), y: 0.03 (m)
Time: 11.44 (s), x: 11.00 (m), y: 0.03 (m)
Time: 11.55 (s), x: 11.00 (m), y: 0.03 (m)
Time: 11.66 (s), x: 11.00 (m), y: 0.03 (m)
Time: 11.77 (s), x: 11.00 (m), y: 0.03 (m)
Time: 11.88 (s), x: 11.00 (m), y: 0.03 (m)
Time: 11.98 (s), x: 11.00 (m), y: 0.03 (m)
Time: 12.09 (s), x: 11.00 (m), y: 0.03 (m)
Time: 12.19 (s), x: 11.00 (m), y: 0.03 (m)
Time: 12.30 (s), x: 11.00 (m), y: 0.03 (m)
Time: 12.40 (s), x: 11.00 (m), y: 0.03 (m)
