🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_eband_w204.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_204.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.11 (s), x: -2.25 (m), y: 3.15 (m)
Time: 0.22 (s), x: -2.26 (m), y: 3.20 (m)
Time: 0.32 (s), x: -2.27 (m), y: 3.25 (m)
Time: 0.43 (s), x: -2.28 (m), y: 3.30 (m)
Time: 0.53 (s), x: -2.28 (m), y: 3.34 (m)
Time: 0.63 (s), x: -2.30 (m), y: 3.39 (m)
Time: 0.73 (s), x: -2.31 (m), y: 3.43 (m)
Time: 0.83 (s), x: -2.32 (m), y: 3.48 (m)
Time: 0.94 (s), x: -2.33 (m), y: 3.52 (m)
Time: 1.04 (s), x: -2.34 (m), y: 3.57 (m)
Time: 1.14 (s), x: -2.36 (m), y: 3.62 (m)
Time: 1.24 (s), x: -2.37 (m), y: 3.67 (m)
Time: 1.34 (s), x: -2.38 (m), y: 3.72 (m)
Time: 1.45 (s), x: -2.39 (m), y: 3.78 (m)
Time: 1.55 (s), x: -2.40 (m), y: 3.82 (m)
Time: 1.65 (s), x: -2.40 (m), y: 3.86 (m)
Time: 1.75 (s), x: -2.41 (m), y: 3.91 (m)
Time: 1.85 (s), x: -2.42 (m), y: 3.96 (m)
Time: 1.96 (s), x: -2.43 (m), y: 4.02 (m)
Time: 2.07 (s), x: -2.44 (m), y: 4.07 (m)
Time: 2.17 (s), x: -2.44 (m), y: 4.13 (m)
Time: 2.27 (s), x: -2.45 (m), y: 4.19 (m)
Time: 2.38 (s), x: -2.46 (m), y: 4.24 (m)
Time: 2.48 (s), x: -2.47 (m), y: 4.29 (m)
Time: 2.58 (s), x: -2.47 (m), y: 4.33 (m)
Time: 2.68 (s), x: -2.48 (m), y: 4.38 (m)
Time: 2.78 (s), x: -2.49 (m), y: 4.42 (m)
Time: 2.89 (s), x: -2.50 (m), y: 4.47 (m)
Time: 2.99 (s), x: -2.52 (m), y: 4.52 (m)
Time: 3.09 (s), x: -2.53 (m), y: 4.57 (m)
Time: 3.19 (s), x: -2.54 (m), y: 4.61 (m)
Time: 3.29 (s), x: -2.56 (m), y: 4.67 (m)
Time: 3.40 (s), x: -2.58 (m), y: 4.71 (m)
Time: 3.50 (s), x: -2.58 (m), y: 4.76 (m)
Time: 3.60 (s), x: -2.59 (m), y: 4.81 (m)
Time: 3.70 (s), x: -2.60 (m), y: 4.86 (m)
Time: 3.81 (s), x: -2.61 (m), y: 4.91 (m)
Time: 3.91 (s), x: -2.62 (m), y: 4.96 (m)
Time: 4.01 (s), x: -2.63 (m), y: 5.01 (m)
Time: 4.12 (s), x: -2.64 (m), y: 5.05 (m)
Time: 4.22 (s), x: -2.66 (m), y: 5.09 (m)
