🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_eband_w226.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_226.world <<<<<<<<<<<<<<<<<<
[WARN] [1749835471.244211, 61.107000]: Inbound TCP/IP connection failed: timed out
Time: 0.01 (s), x: -2.25 (m), y: 3.10 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.15 (m)
Time: 0.23 (s), x: -2.25 (m), y: 3.20 (m)
Time: 0.34 (s), x: -2.24 (m), y: 3.25 (m)
Time: 0.44 (s), x: -2.22 (m), y: 3.30 (m)
Time: 0.54 (s), x: -2.21 (m), y: 3.35 (m)
Time: 0.65 (s), x: -2.20 (m), y: 3.39 (m)
Time: 0.76 (s), x: -2.19 (m), y: 3.44 (m)
Time: 0.87 (s), x: -2.17 (m), y: 3.49 (m)
Time: 0.98 (s), x: -2.16 (m), y: 3.54 (m)
Time: 1.09 (s), x: -2.14 (m), y: 3.59 (m)
Time: 1.19 (s), x: -2.12 (m), y: 3.64 (m)
Time: 1.30 (s), x: -2.11 (m), y: 3.68 (m)
Time: 1.40 (s), x: -2.10 (m), y: 3.72 (m)
Time: 1.50 (s), x: -2.08 (m), y: 3.77 (m)
Time: 1.61 (s), x: -2.06 (m), y: 3.82 (m)
Time: 1.72 (s), x: -2.05 (m), y: 3.87 (m)
Time: 1.83 (s), x: -2.03 (m), y: 3.92 (m)
Time: 1.93 (s), x: -2.01 (m), y: 3.96 (m)
Time: 2.03 (s), x: -2.00 (m), y: 4.01 (m)
Time: 2.14 (s), x: -1.98 (m), y: 4.06 (m)
Time: 2.25 (s), x: -1.97 (m), y: 4.11 (m)
Time: 2.35 (s), x: -1.95 (m), y: 4.15 (m)
Time: 2.46 (s), x: -1.93 (m), y: 4.20 (m)
Time: 2.56 (s), x: -1.91 (m), y: 4.24 (m)
Time: 2.67 (s), x: -1.90 (m), y: 4.29 (m)
Time: 2.78 (s), x: -1.88 (m), y: 4.33 (m)
Time: 2.89 (s), x: -1.86 (m), y: 4.38 (m)
Time: 3.00 (s), x: -1.84 (m), y: 4.43 (m)
Time: 3.10 (s), x: -1.82 (m), y: 4.47 (m)
Time: 3.21 (s), x: -1.80 (m), y: 4.52 (m)
Time: 3.32 (s), x: -1.79 (m), y: 4.56 (m)
