🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_eband_w300.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with DynaBARN/world_0.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: 10.93 (m), y: 0.08 (m)
Time: 0.11 (s), x: 10.90 (m), y: 0.08 (m)
Time: 0.22 (s), x: 10.88 (m), y: 0.07 (m)
Time: 0.32 (s), x: 10.85 (m), y: 0.06 (m)
Time: 0.43 (s), x: 10.83 (m), y: 0.04 (m)
Time: 0.53 (s), x: 10.81 (m), y: 0.02 (m)
Time: 0.63 (s), x: 10.79 (m), y: -0.00 (m)
Time: 0.74 (s), x: 10.79 (m), y: -0.03 (m)
Time: 0.84 (s), x: 10.79 (m), y: -0.06 (m)
Time: 0.94 (s), x: 10.79 (m), y: -0.09 (m)
Time: 1.04 (s), x: 10.80 (m), y: -0.12 (m)
Time: 1.15 (s), x: 10.82 (m), y: -0.14 (m)
Time: 1.25 (s), x: 10.84 (m), y: -0.16 (m)
Time: 1.35 (s), x: 10.86 (m), y: -0.17 (m)
Time: 1.46 (s), x: 10.89 (m), y: -0.18 (m)
Time: 1.56 (s), x: 10.92 (m), y: -0.18 (m)
Time: 1.66 (s), x: 10.95 (m), y: -0.18 (m)
Time: 1.77 (s), x: 10.97 (m), y: -0.17 (m)
Time: 1.87 (s), x: 11.00 (m), y: -0.16 (m)
Time: 1.98 (s), x: 11.02 (m), y: -0.14 (m)
Time: 2.08 (s), x: 11.03 (m), y: -0.12 (m)
Time: 2.18 (s), x: 11.04 (m), y: -0.09 (m)
Time: 2.29 (s), x: 11.05 (m), y: -0.06 (m)
Time: 2.39 (s), x: 11.04 (m), y: -0.03 (m)
Time: 2.50 (s), x: 11.04 (m), y: -0.00 (m)
Time: 2.60 (s), x: 11.04 (m), y: 0.00 (m)
Time: 2.70 (s), x: 11.04 (m), y: 0.00 (m)
Time: 2.81 (s), x: 11.04 (m), y: 0.00 (m)
Time: 2.91 (s), x: 11.04 (m), y: 0.00 (m)
Time: 3.02 (s), x: 11.04 (m), y: 0.00 (m)
Time: 3.12 (s), x: 11.04 (m), y: 0.00 (m)
Time: 3.22 (s), x: 11.04 (m), y: 0.00 (m)
Time: 3.33 (s), x: 11.04 (m), y: 0.00 (m)
Time: 3.43 (s), x: 11.04 (m), y: 0.00 (m)
Time: 3.54 (s), x: 11.04 (m), y: 0.00 (m)
Time: 3.64 (s), x: 11.04 (m), y: 0.00 (m)
Time: 3.74 (s), x: 11.04 (m), y: 0.00 (m)
Time: 3.85 (s), x: 11.04 (m), y: 0.00 (m)
Time: 3.95 (s), x: 11.04 (m), y: 0.00 (m)
Time: 4.05 (s), x: 11.04 (m), y: 0.00 (m)
Time: 4.16 (s), x: 11.04 (m), y: 0.00 (m)
Time: 4.26 (s), x: 11.04 (m), y: 0.00 (m)
Time: 4.37 (s), x: 11.04 (m), y: 0.00 (m)
Time: 4.47 (s), x: 11.04 (m), y: 0.00 (m)
Time: 4.57 (s), x: 11.04 (m), y: 0.00 (m)
Time: 4.68 (s), x: 11.04 (m), y: 0.00 (m)
Time: 4.78 (s), x: 11.04 (m), y: 0.00 (m)
Time: 4.88 (s), x: 11.04 (m), y: 0.00 (m)
Time: 4.99 (s), x: 11.04 (m), y: 0.00 (m)
Time: 5.09 (s), x: 11.04 (m), y: 0.00 (m)
Time: 5.19 (s), x: 11.04 (m), y: 0.00 (m)
Time: 5.30 (s), x: 11.04 (m), y: 0.00 (m)
Time: 5.40 (s), x: 11.04 (m), y: 0.00 (m)
Time: 5.50 (s), x: 11.04 (m), y: 0.00 (m)
Time: 5.61 (s), x: 11.04 (m), y: 0.00 (m)
Time: 5.71 (s), x: 11.04 (m), y: 0.00 (m)
Time: 5.82 (s), x: 11.04 (m), y: 0.00 (m)
Time: 5.92 (s), x: 11.04 (m), y: 0.00 (m)
Time: 6.03 (s), x: 11.04 (m), y: 0.00 (m)
Time: 6.13 (s), x: 11.04 (m), y: 0.00 (m)
Time: 6.23 (s), x: 11.04 (m), y: 0.00 (m)
Time: 6.34 (s), x: 11.04 (m), y: 0.00 (m)
Time: 6.44 (s), x: 11.04 (m), y: 0.00 (m)
Time: 6.55 (s), x: 11.04 (m), y: 0.00 (m)
Time: 6.65 (s), x: 11.04 (m), y: 0.00 (m)
Time: 6.75 (s), x: 11.04 (m), y: 0.00 (m)
Time: 6.86 (s), x: 11.04 (m), y: 0.00 (m)
Time: 6.96 (s), x: 11.04 (m), y: 0.00 (m)
Time: 7.06 (s), x: 11.04 (m), y: 0.00 (m)
Time: 7.16 (s), x: 11.04 (m), y: 0.00 (m)
Time: 7.27 (s), x: 11.04 (m), y: 0.00 (m)
Time: 7.37 (s), x: 11.04 (m), y: 0.00 (m)
Time: 7.47 (s), x: 11.04 (m), y: 0.00 (m)
Time: 7.58 (s), x: 11.04 (m), y: 0.00 (m)
Time: 7.68 (s), x: 11.04 (m), y: 0.00 (m)
Time: 7.79 (s), x: 11.04 (m), y: 0.00 (m)
Time: 7.89 (s), x: 11.04 (m), y: 0.00 (m)
Time: 7.99 (s), x: 11.04 (m), y: 0.00 (m)
Time: 8.09 (s), x: 11.04 (m), y: 0.00 (m)
Time: 8.20 (s), x: 11.04 (m), y: 0.00 (m)
Time: 8.30 (s), x: 11.04 (m), y: 0.00 (m)
Time: 8.40 (s), x: 11.04 (m), y: 0.00 (m)
Time: 8.51 (s), x: 11.04 (m), y: 0.00 (m)
Time: 8.61 (s), x: 11.04 (m), y: 0.00 (m)
Time: 8.71 (s), x: 11.04 (m), y: 0.00 (m)
Time: 8.81 (s), x: 11.04 (m), y: 0.00 (m)
Time: 8.92 (s), x: 11.04 (m), y: 0.00 (m)
Time: 9.02 (s), x: 11.04 (m), y: 0.00 (m)
Time: 9.12 (s), x: 11.04 (m), y: 0.00 (m)
Time: 9.23 (s), x: 11.04 (m), y: 0.00 (m)
Time: 9.33 (s), x: 11.04 (m), y: 0.00 (m)
Time: 9.43 (s), x: 11.04 (m), y: 0.00 (m)
Time: 9.54 (s), x: 11.04 (m), y: 0.00 (m)
Time: 9.64 (s), x: 11.04 (m), y: 0.00 (m)
Time: 9.74 (s), x: 11.04 (m), y: 0.00 (m)
Time: 9.85 (s), x: 11.04 (m), y: 0.00 (m)
Time: 9.95 (s), x: 11.04 (m), y: 0.00 (m)
Time: 10.05 (s), x: 11.04 (m), y: 0.00 (m)
Time: 10.16 (s), x: 11.04 (m), y: 0.00 (m)
Time: 10.26 (s), x: 11.04 (m), y: 0.00 (m)
Time: 10.36 (s), x: 11.04 (m), y: 0.00 (m)
Time: 10.47 (s), x: 11.04 (m), y: 0.00 (m)
Time: 10.57 (s), x: 11.04 (m), y: 0.00 (m)
Time: 10.67 (s), x: 11.04 (m), y: 0.00 (m)
Time: 10.77 (s), x: 11.04 (m), y: 0.00 (m)
Time: 10.88 (s), x: 11.04 (m), y: 0.00 (m)
Time: 10.98 (s), x: 11.04 (m), y: 0.00 (m)
Time: 11.08 (s), x: 11.04 (m), y: 0.00 (m)
Time: 11.19 (s), x: 11.04 (m), y: 0.00 (m)
Time: 11.29 (s), x: 11.04 (m), y: 0.00 (m)
Time: 11.39 (s), x: 11.04 (m), y: 0.00 (m)
Time: 11.50 (s), x: 11.04 (m), y: 0.00 (m)
Time: 11.60 (s), x: 11.04 (m), y: 0.00 (m)
Time: 11.70 (s), x: 11.04 (m), y: 0.00 (m)
Time: 11.81 (s), x: 11.04 (m), y: 0.00 (m)
Time: 11.91 (s), x: 11.04 (m), y: 0.00 (m)
Time: 12.01 (s), x: 11.04 (m), y: 0.00 (m)
Time: 12.11 (s), x: 11.04 (m), y: 0.00 (m)
Time: 12.22 (s), x: 11.04 (m), y: 0.00 (m)
Time: 12.32 (s), x: 11.04 (m), y: 0.00 (m)
Time: 12.42 (s), x: 11.04 (m), y: 0.00 (m)
Time: 12.53 (s), x: 11.04 (m), y: 0.01 (m)
Time: 12.63 (s), x: 11.03 (m), y: 0.01 (m)
Time: 12.73 (s), x: 11.02 (m), y: 0.02 (m)
Time: 12.83 (s), x: 11.01 (m), y: 0.03 (m)
Time: 12.94 (s), x: 10.99 (m), y: 0.04 (m)
Time: 13.04 (s), x: 10.97 (m), y: 0.04 (m)
Time: 13.14 (s), x: 10.95 (m), y: 0.04 (m)
Time: 13.25 (s), x: 10.93 (m), y: 0.04 (m)
Time: 13.35 (s), x: 10.91 (m), y: 0.03 (m)
Time: 13.45 (s), x: 10.89 (m), y: 0.01 (m)
Time: 13.56 (s), x: 10.87 (m), y: -0.01 (m)
Time: 13.66 (s), x: 10.86 (m), y: -0.04 (m)
Time: 13.76 (s), x: 10.85 (m), y: -0.06 (m)
Time: 13.87 (s), x: 10.85 (m), y: -0.09 (m)
Time: 13.97 (s), x: 10.85 (m), y: -0.12 (m)
Time: 14.07 (s), x: 10.86 (m), y: -0.15 (m)
Time: 14.17 (s), x: 10.88 (m), y: -0.17 (m)
Time: 14.28 (s), x: 10.90 (m), y: -0.19 (m)
Time: 14.38 (s), x: 10.93 (m), y: -0.20 (m)
