🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_fastdwa_w103.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_103.world <<<<<<<<<<<<<<<<<<
[WARN] [1749765584.756191, 0.000000]: wait_for_service(/gazebo/get_model_state): failed to contact, will keep trying
[INFO] [1749765610.446985, 0.142000]: wait_for_service(/gazebo/get_model_state): finally were able to contact [rosrpc://turan-TULPAR-T5-V20-3:46159]
Time: 0.00 (s), x: -1.99 (m), y: 3.10 (m)
Time: 0.10 (s), x: -1.99 (m), y: 3.13 (m)
Time: 0.21 (s), x: -1.99 (m), y: 3.16 (m)
Time: 0.32 (s), x: -1.99 (m), y: 3.18 (m)
Time: 0.42 (s), x: -1.99 (m), y: 3.21 (m)
Time: 0.52 (s), x: -2.00 (m), y: 3.25 (m)
Time: 0.62 (s), x: -2.01 (m), y: 3.30 (m)
Time: 0.72 (s), x: -2.02 (m), y: 3.34 (m)
Time: 0.82 (s), x: -2.03 (m), y: 3.38 (m)
Time: 0.92 (s), x: -2.04 (m), y: 3.42 (m)
Time: 1.02 (s), x: -2.05 (m), y: 3.45 (m)
Time: 1.12 (s), x: -2.06 (m), y: 3.49 (m)
Time: 1.22 (s), x: -2.07 (m), y: 3.51 (m)
Time: 1.32 (s), x: -2.08 (m), y: 3.55 (m)
Time: 1.42 (s), x: -2.11 (m), y: 3.60 (m)
Time: 1.52 (s), x: -2.14 (m), y: 3.66 (m)
Time: 1.63 (s), x: -2.17 (m), y: 3.75 (m)
Time: 1.73 (s), x: -2.21 (m), y: 3.82 (m)
Time: 1.83 (s), x: -2.25 (m), y: 3.90 (m)
Time: 1.93 (s), x: -2.32 (m), y: 3.98 (m)
Time: 2.03 (s), x: -2.39 (m), y: 4.04 (m)
Time: 2.13 (s), x: -2.48 (m), y: 4.09 (m)
Time: 2.23 (s), x: -2.58 (m), y: 4.12 (m)
Time: 2.33 (s), x: -2.68 (m), y: 4.14 (m)
Time: 2.44 (s), x: -2.78 (m), y: 4.14 (m)
Time: 2.54 (s), x: -2.87 (m), y: 4.12 (m)
Time: 2.64 (s), x: -2.97 (m), y: 4.10 (m)
Time: 2.74 (s), x: -3.06 (m), y: 4.06 (m)
Time: 2.84 (s), x: -3.14 (m), y: 4.02 (m)
Time: 2.94 (s), x: -3.22 (m), y: 3.97 (m)
Time: 3.04 (s), x: -3.30 (m), y: 3.91 (m)
Time: 3.14 (s), x: -3.36 (m), y: 3.85 (m)
Time: 3.24 (s), x: -3.43 (m), y: 3.78 (m)
Time: 3.35 (s), x: -3.48 (m), y: 3.71 (m)
Time: 3.45 (s), x: -3.54 (m), y: 3.62 (m)
Time: 3.55 (s), x: -3.59 (m), y: 3.54 (m)
Time: 3.65 (s), x: -3.63 (m), y: 3.45 (m)
Time: 3.75 (s), x: -3.66 (m), y: 3.38 (m)
Time: 3.85 (s), x: -3.68 (m), y: 3.34 (m)
Time: 3.95 (s), x: -3.69 (m), y: 3.28 (m)
Time: 4.05 (s), x: -3.71 (m), y: 3.22 (m)
Time: 4.15 (s), x: -3.73 (m), y: 3.14 (m)
Time: 4.26 (s), x: -3.75 (m), y: 3.05 (m)
Time: 4.36 (s), x: -3.77 (m), y: 2.96 (m)
Time: 4.46 (s), x: -3.78 (m), y: 2.88 (m)
Time: 4.56 (s), x: -3.79 (m), y: 2.78 (m)
Time: 4.66 (s), x: -3.80 (m), y: 2.68 (m)
Time: 4.76 (s), x: -3.81 (m), y: 2.58 (m)
Time: 4.86 (s), x: -3.81 (m), y: 2.48 (m)
Time: 4.96 (s), x: -3.82 (m), y: 2.37 (m)
Time: 5.06 (s), x: -3.83 (m), y: 2.30 (m)
Time: 5.16 (s), x: -3.84 (m), y: 2.26 (m)
Time: 5.26 (s), x: -3.84 (m), y: 2.23 (m)
Time: 5.37 (s), x: -3.84 (m), y: 2.20 (m)
Time: 5.47 (s), x: -3.84 (m), y: 2.16 (m)
Time: 5.57 (s), x: -3.83 (m), y: 2.14 (m)
Time: 5.67 (s), x: -3.84 (m), y: 2.11 (m)
Time: 5.77 (s), x: -3.85 (m), y: 2.10 (m)
Time: 5.87 (s), x: -3.88 (m), y: 2.10 (m)
Time: 5.97 (s), x: -3.89 (m), y: 2.09 (m)
Time: 6.07 (s), x: -3.90 (m), y: 2.08 (m)
