🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_fastdwa_w109.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_109.world <<<<<<<<<<<<<<<<<<
Time: 0.02 (s), x: -2.01 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.02 (m), y: 3.17 (m)
Time: 0.22 (s), x: -2.03 (m), y: 3.25 (m)
Time: 0.33 (s), x: -2.04 (m), y: 3.31 (m)
Time: 0.43 (s), x: -2.05 (m), y: 3.34 (m)
Time: 0.54 (s), x: -2.05 (m), y: 3.37 (m)
Time: 0.64 (s), x: -2.05 (m), y: 3.40 (m)
Time: 0.74 (s), x: -2.07 (m), y: 3.45 (m)
Time: 0.85 (s), x: -2.10 (m), y: 3.52 (m)
Time: 0.95 (s), x: -2.13 (m), y: 3.60 (m)
Time: 1.05 (s), x: -2.16 (m), y: 3.68 (m)
Time: 1.15 (s), x: -2.20 (m), y: 3.76 (m)
Time: 1.25 (s), x: -2.25 (m), y: 3.84 (m)
Time: 1.36 (s), x: -2.31 (m), y: 3.92 (m)
Time: 1.46 (s), x: -2.39 (m), y: 3.98 (m)
Time: 1.57 (s), x: -2.50 (m), y: 4.03 (m)
Time: 1.67 (s), x: -2.60 (m), y: 4.05 (m)
Time: 1.78 (s), x: -2.70 (m), y: 4.05 (m)
Time: 1.88 (s), x: -2.80 (m), y: 4.04 (m)
Time: 1.98 (s), x: -2.90 (m), y: 4.02 (m)
Time: 2.08 (s), x: -3.00 (m), y: 3.99 (m)
Time: 2.18 (s), x: -3.09 (m), y: 3.95 (m)
Time: 2.29 (s), x: -3.18 (m), y: 3.90 (m)
Time: 2.39 (s), x: -3.25 (m), y: 3.84 (m)
Time: 2.49 (s), x: -3.32 (m), y: 3.79 (m)
Time: 2.60 (s), x: -3.38 (m), y: 3.73 (m)
Time: 2.70 (s), x: -3.45 (m), y: 3.65 (m)
Time: 2.81 (s), x: -3.51 (m), y: 3.57 (m)
Time: 2.91 (s), x: -3.56 (m), y: 3.49 (m)
Time: 3.01 (s), x: -3.60 (m), y: 3.40 (m)
Time: 3.11 (s), x: -3.64 (m), y: 3.32 (m)
Time: 3.22 (s), x: -3.66 (m), y: 3.24 (m)
Time: 3.32 (s), x: -3.69 (m), y: 3.18 (m)
Time: 3.43 (s), x: -3.71 (m), y: 3.10 (m)
Time: 3.53 (s), x: -3.72 (m), y: 3.01 (m)
Time: 3.63 (s), x: -3.74 (m), y: 2.93 (m)
Time: 3.74 (s), x: -3.76 (m), y: 2.84 (m)
Time: 3.84 (s), x: -3.77 (m), y: 2.75 (m)
Time: 3.94 (s), x: -3.79 (m), y: 2.65 (m)
Time: 4.05 (s), x: -3.80 (m), y: 2.54 (m)
Time: 4.15 (s), x: -3.82 (m), y: 2.44 (m)
Time: 4.25 (s), x: -3.83 (m), y: 2.33 (m)
Time: 4.36 (s), x: -3.84 (m), y: 2.24 (m)
Time: 4.46 (s), x: -3.85 (m), y: 2.19 (m)
Time: 4.56 (s), x: -3.85 (m), y: 2.14 (m)
Time: 4.66 (s), x: -3.85 (m), y: 2.08 (m)
Time: 4.76 (s), x: -3.84 (m), y: 2.02 (m)
Time: 4.86 (s), x: -3.83 (m), y: 1.97 (m)
Time: 4.96 (s), x: -3.83 (m), y: 1.94 (m)
Time: 5.06 (s), x: -3.83 (m), y: 1.92 (m)
Time: 5.17 (s), x: -3.83 (m), y: 1.90 (m)
Time: 5.27 (s), x: -3.84 (m), y: 1.88 (m)
Time: 5.37 (s), x: -3.85 (m), y: 1.85 (m)
Time: 5.47 (s), x: -3.85 (m), y: 1.81 (m)
Time: 5.57 (s), x: -3.85 (m), y: 1.78 (m)
Time: 5.67 (s), x: -3.84 (m), y: 1.76 (m)
Time: 5.77 (s), x: -3.81 (m), y: 1.73 (m)
Time: 5.87 (s), x: -3.76 (m), y: 1.70 (m)
Time: 5.97 (s), x: -3.69 (m), y: 1.69 (m)
Time: 6.08 (s), x: -3.60 (m), y: 1.68 (m)
Time: 6.18 (s), x: -3.51 (m), y: 1.67 (m)
Time: 6.28 (s), x: -3.41 (m), y: 1.68 (m)
Time: 6.38 (s), x: -3.31 (m), y: 1.71 (m)
Time: 6.48 (s), x: -3.23 (m), y: 1.76 (m)
Time: 6.58 (s), x: -3.15 (m), y: 1.82 (m)
Time: 6.68 (s), x: -3.08 (m), y: 1.89 (m)
Time: 6.78 (s), x: -3.02 (m), y: 1.99 (m)
Time: 6.88 (s), x: -2.97 (m), y: 2.07 (m)
Time: 6.98 (s), x: -2.93 (m), y: 2.17 (m)
Time: 7.09 (s), x: -2.90 (m), y: 2.27 (m)
Time: 7.19 (s), x: -2.87 (m), y: 2.37 (m)
Time: 7.29 (s), x: -2.86 (m), y: 2.47 (m)
Time: 7.39 (s), x: -2.85 (m), y: 2.57 (m)
Time: 7.49 (s), x: -2.85 (m), y: 2.66 (m)
Time: 7.60 (s), x: -2.85 (m), y: 2.75 (m)
Time: 7.70 (s), x: -2.86 (m), y: 2.86 (m)
Time: 7.80 (s), x: -2.87 (m), y: 2.96 (m)
Time: 7.91 (s), x: -2.89 (m), y: 3.07 (m)
Time: 8.02 (s), x: -2.91 (m), y: 3.16 (m)
Time: 8.12 (s), x: -2.92 (m), y: 3.25 (m)
Time: 8.23 (s), x: -2.94 (m), y: 3.37 (m)
Time: 8.34 (s), x: -2.96 (m), y: 3.47 (m)
Time: 8.44 (s), x: -2.98 (m), y: 3.57 (m)
Time: 8.54 (s), x: -2.99 (m), y: 3.67 (m)
Time: 8.64 (s), x: -3.01 (m), y: 3.77 (m)
Time: 8.74 (s), x: -3.02 (m), y: 3.86 (m)
