🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_teb_w222.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_222.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.21 (m)
Time: 0.22 (s), x: -2.25 (m), y: 3.33 (m)
Time: 0.33 (s), x: -2.26 (m), y: 3.47 (m)
Time: 0.43 (s), x: -2.26 (m), y: 3.59 (m)
Time: 0.54 (s), x: -2.26 (m), y: 3.68 (m)
Time: 0.64 (s), x: -2.26 (m), y: 3.77 (m)
Time: 0.75 (s), x: -2.27 (m), y: 3.85 (m)
Time: 0.85 (s), x: -2.27 (m), y: 3.91 (m)
Time: 0.96 (s), x: -2.28 (m), y: 3.97 (m)
Time: 1.07 (s), x: -2.27 (m), y: 4.05 (m)
Time: 1.17 (s), x: -2.25 (m), y: 4.14 (m)
Time: 1.28 (s), x: -2.22 (m), y: 4.24 (m)
Time: 1.38 (s), x: -2.18 (m), y: 4.35 (m)
Time: 1.48 (s), x: -2.14 (m), y: 4.45 (m)
Time: 1.58 (s), x: -2.07 (m), y: 4.55 (m)
Time: 1.68 (s), x: -2.00 (m), y: 4.62 (m)
Time: 1.79 (s), x: -1.95 (m), y: 4.67 (m)
Time: 1.89 (s), x: -1.91 (m), y: 4.70 (m)
Time: 1.99 (s), x: -1.84 (m), y: 4.72 (m)
Time: 2.10 (s), x: -1.77 (m), y: 4.76 (m)
Time: 2.20 (s), x: -1.68 (m), y: 4.79 (m)
Time: 2.31 (s), x: -1.59 (m), y: 4.84 (m)
Time: 2.42 (s), x: -1.48 (m), y: 4.91 (m)
Time: 2.53 (s), x: -1.37 (m), y: 4.99 (m)
Time: 2.63 (s), x: -1.25 (m), y: 5.09 (m)
Time: 2.74 (s), x: -1.15 (m), y: 5.22 (m)
Time: 2.84 (s), x: -1.08 (m), y: 5.34 (m)
Time: 2.95 (s), x: -1.04 (m), y: 5.47 (m)
Time: 3.06 (s), x: -1.04 (m), y: 5.63 (m)
Time: 3.16 (s), x: -1.05 (m), y: 5.75 (m)
Time: 3.27 (s), x: -1.09 (m), y: 5.85 (m)
Time: 3.38 (s), x: -1.13 (m), y: 5.93 (m)
Time: 3.48 (s), x: -1.15 (m), y: 5.98 (m)
Time: 3.58 (s), x: -1.17 (m), y: 6.00 (m)
Time: 3.69 (s), x: -1.16 (m), y: 6.00 (m)
Time: 3.80 (s), x: -1.16 (m), y: 5.99 (m)
Time: 3.90 (s), x: -1.16 (m), y: 5.99 (m)
Time: 4.01 (s), x: -1.16 (m), y: 5.98 (m)
Time: 4.12 (s), x: -1.17 (m), y: 6.01 (m)
Time: 4.22 (s), x: -1.19 (m), y: 6.04 (m)
Time: 4.33 (s), x: -1.22 (m), y: 6.10 (m)
Time: 4.44 (s), x: -1.26 (m), y: 6.18 (m)
Time: 4.55 (s), x: -1.31 (m), y: 6.28 (m)
Time: 4.65 (s), x: -1.37 (m), y: 6.41 (m)
Time: 4.75 (s), x: -1.43 (m), y: 6.54 (m)
Time: 4.85 (s), x: -1.48 (m), y: 6.68 (m)
Time: 4.96 (s), x: -1.55 (m), y: 6.83 (m)
Time: 5.06 (s), x: -1.62 (m), y: 6.97 (m)
Time: 5.17 (s), x: -1.70 (m), y: 7.11 (m)
Time: 5.28 (s), x: -1.77 (m), y: 7.23 (m)
Time: 5.38 (s), x: -1.83 (m), y: 7.36 (m)
Time: 5.48 (s), x: -1.88 (m), y: 7.50 (m)
Time: 5.58 (s), x: -1.90 (m), y: 7.64 (m)
Time: 5.68 (s), x: -1.89 (m), y: 7.76 (m)
Time: 5.79 (s), x: -1.87 (m), y: 7.87 (m)
