🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_teb_w258.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_258.world <<<<<<<<<<<<<<<<<<
[WARN] [1749852162.614182, 59.521000]: Inbound TCP/IP connection failed: timed out
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.21 (m)
Time: 0.22 (s), x: -2.25 (m), y: 3.35 (m)
Time: 0.33 (s), x: -2.25 (m), y: 3.50 (m)
Time: 0.43 (s), x: -2.24 (m), y: 3.66 (m)
Time: 0.53 (s), x: -2.24 (m), y: 3.81 (m)
Time: 0.64 (s), x: -2.24 (m), y: 3.96 (m)
Time: 0.74 (s), x: -2.23 (m), y: 4.11 (m)
Time: 0.84 (s), x: -2.23 (m), y: 4.27 (m)
Time: 0.95 (s), x: -2.22 (m), y: 4.42 (m)
Time: 1.05 (s), x: -2.22 (m), y: 4.58 (m)
Time: 1.16 (s), x: -2.21 (m), y: 4.73 (m)
Time: 1.26 (s), x: -2.18 (m), y: 4.89 (m)
Time: 1.37 (s), x: -2.14 (m), y: 5.04 (m)
Time: 1.47 (s), x: -2.10 (m), y: 5.18 (m)
Time: 1.58 (s), x: -2.06 (m), y: 5.33 (m)
Time: 1.68 (s), x: -2.02 (m), y: 5.48 (m)
Time: 1.78 (s), x: -1.99 (m), y: 5.63 (m)
Time: 1.89 (s), x: -1.97 (m), y: 5.77 (m)
Time: 1.99 (s), x: -1.95 (m), y: 5.88 (m)
Time: 2.09 (s), x: -1.92 (m), y: 5.95 (m)
Time: 2.20 (s), x: -1.90 (m), y: 5.98 (m)
Time: 2.30 (s), x: -1.89 (m), y: 5.97 (m)
Time: 2.40 (s), x: -1.88 (m), y: 5.95 (m)
Time: 2.50 (s), x: -1.86 (m), y: 5.92 (m)
Time: 2.61 (s), x: -1.85 (m), y: 5.91 (m)
Time: 2.71 (s), x: -1.84 (m), y: 5.90 (m)
Time: 2.82 (s), x: -1.85 (m), y: 5.92 (m)
Time: 2.92 (s), x: -1.85 (m), y: 5.92 (m)
Time: 3.02 (s), x: -1.85 (m), y: 5.94 (m)
Time: 3.13 (s), x: -1.86 (m), y: 5.95 (m)
Time: 3.23 (s), x: -1.87 (m), y: 5.97 (m)
Time: 3.34 (s), x: -1.88 (m), y: 5.99 (m)
Time: 3.44 (s), x: -1.90 (m), y: 5.99 (m)
Time: 3.54 (s), x: -1.91 (m), y: 6.01 (m)
Time: 3.64 (s), x: -1.93 (m), y: 6.02 (m)
Time: 3.74 (s), x: -1.95 (m), y: 6.03 (m)
Time: 3.84 (s), x: -1.96 (m), y: 6.06 (m)
Time: 3.95 (s), x: -1.96 (m), y: 6.08 (m)
Time: 4.05 (s), x: -1.95 (m), y: 6.11 (m)
Time: 4.16 (s), x: -1.96 (m), y: 6.10 (m)
Time: 4.27 (s), x: -1.96 (m), y: 6.11 (m)
Time: 4.37 (s), x: -1.94 (m), y: 6.14 (m)
Time: 4.48 (s), x: -1.91 (m), y: 6.18 (m)
Time: 4.58 (s), x: -1.88 (m), y: 6.23 (m)
Time: 4.69 (s), x: -1.85 (m), y: 6.27 (m)
Time: 4.79 (s), x: -1.84 (m), y: 6.29 (m)
Time: 4.89 (s), x: -1.84 (m), y: 6.29 (m)
Time: 4.99 (s), x: -1.84 (m), y: 6.29 (m)
Time: 5.10 (s), x: -1.84 (m), y: 6.27 (m)
Time: 5.20 (s), x: -1.84 (m), y: 6.25 (m)
Time: 5.30 (s), x: -1.84 (m), y: 6.22 (m)
Time: 5.41 (s), x: -1.84 (m), y: 6.18 (m)
Time: 5.51 (s), x: -1.84 (m), y: 6.14 (m)
Time: 5.62 (s), x: -1.84 (m), y: 6.12 (m)
Time: 5.72 (s), x: -1.83 (m), y: 6.11 (m)
Time: 5.83 (s), x: -1.84 (m), y: 6.12 (m)
Time: 5.93 (s), x: -1.85 (m), y: 6.15 (m)
Time: 6.04 (s), x: -1.85 (m), y: 6.16 (m)
Time: 6.15 (s), x: -1.85 (m), y: 6.17 (m)
Time: 6.25 (s), x: -1.85 (m), y: 6.18 (m)
Time: 6.36 (s), x: -1.86 (m), y: 6.20 (m)
Time: 6.46 (s), x: -1.87 (m), y: 6.21 (m)
Time: 6.56 (s), x: -1.87 (m), y: 6.22 (m)
Time: 6.66 (s), x: -1.88 (m), y: 6.21 (m)
