🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_applr_w223.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_223.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.00 (m), y: 3.11 (m)
Time: 0.11 (s), x: -2.00 (m), y: 3.20 (m)
Time: 0.22 (s), x: -2.00 (m), y: 3.29 (m)
Time: 0.32 (s), x: -2.00 (m), y: 3.39 (m)
Time: 0.42 (s), x: -2.00 (m), y: 3.50 (m)
Time: 0.52 (s), x: -2.01 (m), y: 3.62 (m)
Time: 0.62 (s), x: -2.03 (m), y: 3.77 (m)
Time: 0.73 (s), x: -2.06 (m), y: 3.92 (m)
Time: 0.83 (s), x: -2.12 (m), y: 4.07 (m)
Time: 0.94 (s), x: -2.19 (m), y: 4.20 (m)
Time: 1.04 (s), x: -2.24 (m), y: 4.28 (m)
Time: 1.15 (s), x: -2.29 (m), y: 4.31 (m)
Time: 1.25 (s), x: -2.34 (m), y: 4.32 (m)
Time: 1.35 (s), x: -2.39 (m), y: 4.33 (m)
Time: 1.46 (s), x: -2.44 (m), y: 4.34 (m)
Time: 1.56 (s), x: -2.49 (m), y: 4.35 (m)
Time: 1.66 (s), x: -2.54 (m), y: 4.38 (m)
Time: 1.76 (s), x: -2.59 (m), y: 4.40 (m)
Time: 1.86 (s), x: -2.63 (m), y: 4.42 (m)
Time: 1.96 (s), x: -2.67 (m), y: 4.44 (m)
Time: 2.06 (s), x: -2.71 (m), y: 4.46 (m)
Time: 2.16 (s), x: -2.74 (m), y: 4.49 (m)
Time: 2.27 (s), x: -2.77 (m), y: 4.52 (m)
Time: 2.38 (s), x: -2.79 (m), y: 4.55 (m)
Time: 2.48 (s), x: -2.80 (m), y: 4.58 (m)
Time: 2.58 (s), x: -2.82 (m), y: 4.60 (m)
Time: 2.68 (s), x: -2.83 (m), y: 4.63 (m)
Time: 2.78 (s), x: -2.85 (m), y: 4.67 (m)
Time: 2.89 (s), x: -2.86 (m), y: 4.70 (m)
Time: 2.99 (s), x: -2.87 (m), y: 4.73 (m)
Time: 3.10 (s), x: -2.88 (m), y: 4.75 (m)
Time: 3.20 (s), x: -2.89 (m), y: 4.77 (m)
Time: 3.30 (s), x: -2.89 (m), y: 4.78 (m)
Time: 3.41 (s), x: -2.90 (m), y: 4.79 (m)
Time: 3.51 (s), x: -2.90 (m), y: 4.79 (m)
Time: 3.61 (s), x: -2.90 (m), y: 4.79 (m)
Time: 3.72 (s), x: -2.90 (m), y: 4.79 (m)
Time: 3.82 (s), x: -2.90 (m), y: 4.79 (m)
Time: 3.92 (s), x: -2.90 (m), y: 4.79 (m)
Time: 4.03 (s), x: -2.90 (m), y: 4.79 (m)
Time: 4.14 (s), x: -2.90 (m), y: 4.79 (m)
Time: 4.24 (s), x: -2.90 (m), y: 4.79 (m)
Time: 4.34 (s), x: -2.90 (m), y: 4.79 (m)
Time: 4.44 (s), x: -2.90 (m), y: 4.79 (m)
Time: 4.55 (s), x: -2.90 (m), y: 4.79 (m)
Time: 4.65 (s), x: -2.90 (m), y: 4.79 (m)
Time: 4.76 (s), x: -2.90 (m), y: 4.79 (m)
Time: 4.86 (s), x: -2.90 (m), y: 4.79 (m)
Time: 4.96 (s), x: -2.90 (m), y: 4.79 (m)
Time: 5.06 (s), x: -2.90 (m), y: 4.79 (m)
Time: 5.16 (s), x: -2.90 (m), y: 4.79 (m)
Time: 5.27 (s), x: -2.90 (m), y: 4.79 (m)
Time: 5.37 (s), x: -2.90 (m), y: 4.79 (m)
Time: 5.48 (s), x: -2.90 (m), y: 4.79 (m)
Time: 5.59 (s), x: -2.90 (m), y: 4.79 (m)
Time: 5.69 (s), x: -2.90 (m), y: 4.79 (m)
Time: 5.80 (s), x: -2.90 (m), y: 4.79 (m)
Time: 5.90 (s), x: -2.90 (m), y: 4.79 (m)
Time: 6.00 (s), x: -2.90 (m), y: 4.79 (m)
Time: 6.11 (s), x: -2.90 (m), y: 4.79 (m)
Time: 6.21 (s), x: -2.90 (m), y: 4.79 (m)
Time: 6.32 (s), x: -2.90 (m), y: 4.79 (m)
Time: 6.42 (s), x: -2.90 (m), y: 4.79 (m)
Time: 6.52 (s), x: -2.90 (m), y: 4.79 (m)
Time: 6.63 (s), x: -2.90 (m), y: 4.79 (m)
Time: 6.74 (s), x: -2.90 (m), y: 4.79 (m)
Time: 6.84 (s), x: -2.90 (m), y: 4.79 (m)
Time: 6.94 (s), x: -2.90 (m), y: 4.79 (m)
Time: 7.05 (s), x: -2.90 (m), y: 4.79 (m)
Time: 7.15 (s), x: -2.90 (m), y: 4.79 (m)
Time: 7.26 (s), x: -2.90 (m), y: 4.79 (m)
Time: 7.36 (s), x: -2.90 (m), y: 4.79 (m)
Time: 7.47 (s), x: -2.90 (m), y: 4.79 (m)
Time: 7.57 (s), x: -2.90 (m), y: 4.79 (m)
Time: 7.68 (s), x: -2.90 (m), y: 4.79 (m)
Time: 7.79 (s), x: -2.90 (m), y: 4.79 (m)
Time: 7.89 (s), x: -2.90 (m), y: 4.79 (m)
Time: 7.99 (s), x: -2.90 (m), y: 4.79 (m)
Time: 8.09 (s), x: -2.90 (m), y: 4.79 (m)
Time: 8.20 (s), x: -2.90 (m), y: 4.79 (m)
Time: 8.30 (s), x: -2.90 (m), y: 4.79 (m)
Time: 8.40 (s), x: -2.90 (m), y: 4.79 (m)
Time: 8.51 (s), x: -2.90 (m), y: 4.79 (m)
Time: 8.62 (s), x: -2.90 (m), y: 4.79 (m)
Time: 8.72 (s), x: -2.90 (m), y: 4.79 (m)
Time: 8.82 (s), x: -2.90 (m), y: 4.79 (m)
Time: 8.92 (s), x: -2.90 (m), y: 4.79 (m)
Time: 9.03 (s), x: -2.90 (m), y: 4.79 (m)
