🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_e2e_w57.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_57.world <<<<<<<<<<<<<<<<<<
Time: 0.02 (s), x: -2.00 (m), y: 3.12 (m)
Time: 0.12 (s), x: -2.00 (m), y: 3.22 (m)
Time: 0.23 (s), x: -2.00 (m), y: 3.35 (m)
Time: 0.33 (s), x: -2.00 (m), y: 3.47 (m)
Time: 0.44 (s), x: -2.01 (m), y: 3.63 (m)
Time: 0.54 (s), x: -2.03 (m), y: 3.77 (m)
Time: 0.64 (s), x: -2.07 (m), y: 3.93 (m)
Time: 0.76 (s), x: -2.15 (m), y: 4.07 (m)
Time: 0.87 (s), x: -2.22 (m), y: 4.17 (m)
Time: 0.97 (s), x: -2.28 (m), y: 4.23 (m)
Time: 1.08 (s), x: -2.31 (m), y: 4.26 (m)
Time: 1.18 (s), x: -2.33 (m), y: 4.29 (m)
Time: 1.28 (s), x: -2.33 (m), y: 4.32 (m)
Time: 1.39 (s), x: -2.33 (m), y: 4.35 (m)
Time: 1.50 (s), x: -2.32 (m), y: 4.38 (m)
Time: 1.60 (s), x: -2.30 (m), y: 4.40 (m)
Time: 1.71 (s), x: -2.32 (m), y: 4.38 (m)
Time: 1.81 (s), x: -2.35 (m), y: 4.34 (m)
Time: 1.92 (s), x: -2.40 (m), y: 4.26 (m)
Time: 2.03 (s), x: -2.48 (m), y: 4.14 (m)
Time: 2.14 (s), x: -2.58 (m), y: 3.99 (m)
Time: 2.24 (s), x: -2.68 (m), y: 3.83 (m)
Time: 2.35 (s), x: -2.79 (m), y: 3.67 (m)
Time: 2.45 (s), x: -2.87 (m), y: 3.51 (m)
Time: 2.56 (s), x: -2.94 (m), y: 3.36 (m)
Time: 2.66 (s), x: -2.98 (m), y: 3.23 (m)
Time: 2.77 (s), x: -3.01 (m), y: 3.10 (m)
Time: 2.87 (s), x: -3.02 (m), y: 3.01 (m)
Time: 2.98 (s), x: -3.04 (m), y: 2.93 (m)
Time: 3.09 (s), x: -3.05 (m), y: 2.86 (m)
Time: 3.19 (s), x: -3.07 (m), y: 2.80 (m)
Time: 3.30 (s), x: -3.08 (m), y: 2.73 (m)
Time: 3.40 (s), x: -3.08 (m), y: 2.66 (m)
Time: 3.51 (s), x: -3.09 (m), y: 2.60 (m)
Time: 3.61 (s), x: -3.09 (m), y: 2.56 (m)
Time: 3.71 (s), x: -3.09 (m), y: 2.56 (m)
Time: 3.82 (s), x: -3.09 (m), y: 2.56 (m)
Time: 3.92 (s), x: -3.09 (m), y: 2.58 (m)
Time: 4.03 (s), x: -3.09 (m), y: 2.59 (m)
Time: 4.14 (s), x: -3.09 (m), y: 2.63 (m)
Time: 4.25 (s), x: -3.09 (m), y: 2.68 (m)
Time: 4.36 (s), x: -3.08 (m), y: 2.72 (m)
Time: 4.46 (s), x: -3.08 (m), y: 2.77 (m)
Time: 4.57 (s), x: -3.08 (m), y: 2.80 (m)
Time: 4.68 (s), x: -3.08 (m), y: 2.82 (m)
Time: 4.78 (s), x: -3.08 (m), y: 2.84 (m)
Time: 4.88 (s), x: -3.08 (m), y: 2.85 (m)
Time: 4.99 (s), x: -3.08 (m), y: 2.86 (m)
Time: 5.10 (s), x: -3.08 (m), y: 2.86 (m)
Time: 5.20 (s), x: -3.08 (m), y: 2.85 (m)
Time: 5.30 (s), x: -3.08 (m), y: 2.84 (m)
Time: 5.41 (s), x: -3.08 (m), y: 2.84 (m)
Time: 5.52 (s), x: -3.08 (m), y: 2.83 (m)
Time: 5.62 (s), x: -3.08 (m), y: 2.82 (m)
Time: 5.72 (s), x: -3.08 (m), y: 2.81 (m)
Time: 5.82 (s), x: -3.08 (m), y: 2.81 (m)
Time: 5.93 (s), x: -3.08 (m), y: 2.80 (m)
Time: 6.04 (s), x: -3.08 (m), y: 2.79 (m)
Time: 6.14 (s), x: -3.08 (m), y: 2.79 (m)
Time: 6.25 (s), x: -3.08 (m), y: 2.76 (m)
Time: 6.36 (s), x: -3.09 (m), y: 2.71 (m)
Time: 6.46 (s), x: -3.09 (m), y: 2.64 (m)
Time: 6.57 (s), x: -3.10 (m), y: 2.59 (m)
Time: 6.68 (s), x: -3.11 (m), y: 2.57 (m)
Time: 6.78 (s), x: -3.11 (m), y: 2.56 (m)
Time: 6.88 (s), x: -3.11 (m), y: 2.57 (m)
Time: 6.99 (s), x: -3.11 (m), y: 2.60 (m)
Time: 7.10 (s), x: -3.10 (m), y: 2.64 (m)
Time: 7.20 (s), x: -3.10 (m), y: 2.69 (m)
Time: 7.31 (s), x: -3.10 (m), y: 2.74 (m)
Time: 7.42 (s), x: -3.10 (m), y: 2.80 (m)
Time: 7.52 (s), x: -3.10 (m), y: 2.84 (m)
Time: 7.63 (s), x: -3.10 (m), y: 2.87 (m)
Time: 7.74 (s), x: -3.10 (m), y: 2.90 (m)
Time: 7.85 (s), x: -3.10 (m), y: 2.90 (m)
Time: 7.95 (s), x: -3.10 (m), y: 2.90 (m)
Time: 8.06 (s), x: -3.10 (m), y: 2.89 (m)
Time: 8.16 (s), x: -3.10 (m), y: 2.89 (m)
Time: 8.27 (s), x: -3.10 (m), y: 2.89 (m)
Time: 8.38 (s), x: -3.10 (m), y: 2.88 (m)
Time: 8.48 (s), x: -3.10 (m), y: 2.88 (m)
Time: 8.59 (s), x: -3.10 (m), y: 2.88 (m)
Time: 8.69 (s), x: -3.10 (m), y: 2.88 (m)
Time: 8.80 (s), x: -3.10 (m), y: 2.88 (m)
Time: 8.91 (s), x: -3.10 (m), y: 2.88 (m)
Time: 9.02 (s), x: -3.10 (m), y: 2.88 (m)
Time: 9.12 (s), x: -3.10 (m), y: 2.87 (m)
Time: 9.23 (s), x: -3.10 (m), y: 2.87 (m)
Time: 9.33 (s), x: -3.10 (m), y: 2.87 (m)
Time: 9.43 (s), x: -3.10 (m), y: 2.86 (m)
Time: 9.54 (s), x: -3.10 (m), y: 2.86 (m)
Time: 9.64 (s), x: -3.10 (m), y: 2.85 (m)
Time: 9.75 (s), x: -3.10 (m), y: 2.85 (m)
Time: 9.85 (s), x: -3.10 (m), y: 2.84 (m)
Time: 9.95 (s), x: -3.10 (m), y: 2.84 (m)
Time: 10.06 (s), x: -3.10 (m), y: 2.83 (m)
Time: 10.17 (s), x: -3.10 (m), y: 2.83 (m)
Time: 10.28 (s), x: -3.10 (m), y: 2.82 (m)
Time: 10.38 (s), x: -3.10 (m), y: 2.81 (m)
Time: 10.48 (s), x: -3.10 (m), y: 2.81 (m)
Time: 10.60 (s), x: -3.10 (m), y: 2.80 (m)
Time: 10.70 (s), x: -3.10 (m), y: 2.79 (m)
Time: 10.81 (s), x: -3.10 (m), y: 2.78 (m)
Time: 10.92 (s), x: -3.10 (m), y: 2.77 (m)
Time: 11.02 (s), x: -3.10 (m), y: 2.76 (m)
Time: 11.13 (s), x: -3.10 (m), y: 2.75 (m)
Time: 11.24 (s), x: -3.10 (m), y: 2.73 (m)
Time: 11.34 (s), x: -3.10 (m), y: 2.72 (m)
Time: 11.45 (s), x: -3.10 (m), y: 2.70 (m)
Time: 11.55 (s), x: -3.10 (m), y: 2.68 (m)
Time: 11.65 (s), x: -3.10 (m), y: 2.66 (m)
Time: 11.76 (s), x: -3.10 (m), y: 2.65 (m)
Time: 11.87 (s), x: -3.10 (m), y: 2.63 (m)
Time: 11.97 (s), x: -3.10 (m), y: 2.60 (m)
Time: 12.07 (s), x: -3.10 (m), y: 2.56 (m)
Time: 12.17 (s), x: -3.10 (m), y: 2.53 (m)
Time: 12.27 (s), x: -3.11 (m), y: 2.49 (m)
Time: 12.39 (s), x: -3.11 (m), y: 2.44 (m)
Time: 12.49 (s), x: -3.12 (m), y: 2.38 (m)
Time: 12.60 (s), x: -3.12 (m), y: 2.32 (m)
Time: 12.71 (s), x: -3.13 (m), y: 2.26 (m)
Time: 12.81 (s), x: -3.14 (m), y: 2.20 (m)
Time: 12.91 (s), x: -3.15 (m), y: 2.13 (m)
Time: 13.01 (s), x: -3.16 (m), y: 2.05 (m)
Time: 13.12 (s), x: -3.18 (m), y: 1.96 (m)
Time: 13.22 (s), x: -3.20 (m), y: 1.87 (m)
Time: 13.33 (s), x: -3.24 (m), y: 1.75 (m)
Time: 13.43 (s), x: -3.30 (m), y: 1.62 (m)
Time: 13.54 (s), x: -3.36 (m), y: 1.48 (m)
Time: 13.65 (s), x: -3.44 (m), y: 1.31 (m)
Time: 13.75 (s), x: -3.52 (m), y: 1.16 (m)
Time: 13.85 (s), x: -3.62 (m), y: 0.99 (m)
Time: 13.96 (s), x: -3.73 (m), y: 0.82 (m)
Time: 14.06 (s), x: -3.85 (m), y: 0.64 (m)
Time: 14.17 (s), x: -3.98 (m), y: 0.46 (m)
Time: 14.28 (s), x: -4.06 (m), y: 0.41 (m)
Time: 14.38 (s), x: -4.13 (m), y: 0.39 (m)
Time: 14.49 (s), x: -4.14 (m), y: 0.38 (m)
Time: 14.59 (s), x: -4.14 (m), y: 0.38 (m)
