🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_lfh_w5.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_5.world <<<<<<<<<<<<<<<<<<
Time: 0.02 (s), x: -2.00 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.00 (m), y: 3.14 (m)
Time: 0.22 (s), x: -2.01 (m), y: 3.18 (m)
Time: 0.32 (s), x: -2.02 (m), y: 3.22 (m)
Time: 0.42 (s), x: -2.05 (m), y: 3.27 (m)
Time: 0.53 (s), x: -2.08 (m), y: 3.32 (m)
Time: 0.63 (s), x: -2.13 (m), y: 3.35 (m)
Time: 0.73 (s), x: -2.17 (m), y: 3.38 (m)
Time: 0.84 (s), x: -2.22 (m), y: 3.39 (m)
Time: 0.94 (s), x: -2.28 (m), y: 3.40 (m)
Time: 1.04 (s), x: -2.34 (m), y: 3.39 (m)
Time: 1.15 (s), x: -2.39 (m), y: 3.38 (m)
Time: 1.25 (s), x: -2.44 (m), y: 3.36 (m)
Time: 1.35 (s), x: -2.46 (m), y: 3.36 (m)
Time: 1.46 (s), x: -2.46 (m), y: 3.36 (m)
Time: 1.56 (s), x: -2.46 (m), y: 3.36 (m)
Time: 1.67 (s), x: -2.46 (m), y: 3.36 (m)
Time: 1.77 (s), x: -2.46 (m), y: 3.36 (m)
Time: 1.87 (s), x: -2.46 (m), y: 3.36 (m)
Time: 1.97 (s), x: -2.46 (m), y: 3.36 (m)
Time: 2.08 (s), x: -2.49 (m), y: 3.34 (m)
Time: 2.18 (s), x: -2.53 (m), y: 3.31 (m)
Time: 2.28 (s), x: -2.57 (m), y: 3.28 (m)
Time: 2.38 (s), x: -2.61 (m), y: 3.25 (m)
Time: 2.48 (s), x: -2.65 (m), y: 3.22 (m)
Time: 2.58 (s), x: -2.68 (m), y: 3.19 (m)
Time: 2.69 (s), x: -2.69 (m), y: 3.18 (m)
Time: 2.79 (s), x: -2.69 (m), y: 3.17 (m)
Time: 2.90 (s), x: -2.70 (m), y: 3.17 (m)
Time: 3.00 (s), x: -2.72 (m), y: 3.15 (m)
Time: 3.10 (s), x: -2.74 (m), y: 3.13 (m)
Time: 3.20 (s), x: -2.74 (m), y: 3.13 (m)
Time: 3.30 (s), x: -2.74 (m), y: 3.13 (m)
Time: 3.40 (s), x: -2.74 (m), y: 3.13 (m)
Time: 3.51 (s), x: -2.74 (m), y: 3.13 (m)
Time: 3.62 (s), x: -2.75 (m), y: 3.12 (m)
Time: 3.72 (s), x: -2.77 (m), y: 3.11 (m)
Time: 3.82 (s), x: -2.79 (m), y: 3.09 (m)
Time: 3.92 (s), x: -2.79 (m), y: 3.09 (m)
Time: 4.03 (s), x: -2.79 (m), y: 3.09 (m)
Time: 4.13 (s), x: -2.79 (m), y: 3.09 (m)
Time: 4.24 (s), x: -2.79 (m), y: 3.09 (m)
Time: 4.34 (s), x: -2.79 (m), y: 3.09 (m)
Time: 4.45 (s), x: -2.80 (m), y: 3.09 (m)
Time: 4.55 (s), x: -2.80 (m), y: 3.08 (m)
Time: 4.65 (s), x: -2.79 (m), y: 3.08 (m)
Time: 4.75 (s), x: -2.78 (m), y: 3.06 (m)
Time: 4.86 (s), x: -2.77 (m), y: 3.05 (m)
Time: 4.96 (s), x: -2.77 (m), y: 3.03 (m)
Time: 5.07 (s), x: -2.78 (m), y: 3.02 (m)
Time: 5.17 (s), x: -2.80 (m), y: 3.02 (m)
Time: 5.27 (s), x: -2.82 (m), y: 3.02 (m)
Time: 5.37 (s), x: -2.83 (m), y: 3.02 (m)
Time: 5.47 (s), x: -2.84 (m), y: 3.02 (m)
Time: 5.57 (s), x: -2.85 (m), y: 3.01 (m)
Time: 5.68 (s), x: -2.86 (m), y: 3.02 (m)
