🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_lfh_w69.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_69.world <<<<<<<<<<<<<<<<<<
[WARN] [1749863080.018393, 0.000000]: wait_for_service(/gazebo/get_model_state): failed to contact, will keep trying
[INFO] [1749863085.160918, 0.143000]: wait_for_service(/gazebo/get_model_state): finally were able to contact [rosrpc://turan-TULPAR-T5-V20-3:47275]
Time: 0.01 (s), x: -1.97 (m), y: 3.10 (m)
Time: 0.11 (s), x: -1.93 (m), y: 3.11 (m)
Time: 0.21 (s), x: -1.89 (m), y: 3.12 (m)
Time: 0.31 (s), x: -1.88 (m), y: 3.13 (m)
Time: 0.41 (s), x: -1.88 (m), y: 3.13 (m)
Time: 0.51 (s), x: -1.88 (m), y: 3.13 (m)
Time: 0.61 (s), x: -1.88 (m), y: 3.13 (m)
Time: 0.71 (s), x: -1.88 (m), y: 3.13 (m)
Time: 0.82 (s), x: -1.88 (m), y: 3.13 (m)
Time: 0.92 (s), x: -1.88 (m), y: 3.13 (m)
Time: 1.02 (s), x: -1.88 (m), y: 3.13 (m)
Time: 1.12 (s), x: -1.88 (m), y: 3.13 (m)
Time: 1.22 (s), x: -1.88 (m), y: 3.13 (m)
Time: 1.32 (s), x: -1.88 (m), y: 3.13 (m)
Time: 1.42 (s), x: -1.88 (m), y: 3.13 (m)
Time: 1.52 (s), x: -1.88 (m), y: 3.13 (m)
Time: 1.62 (s), x: -1.88 (m), y: 3.13 (m)
Time: 1.72 (s), x: -1.88 (m), y: 3.13 (m)
Time: 1.82 (s), x: -1.88 (m), y: 3.13 (m)
Time: 1.92 (s), x: -1.88 (m), y: 3.13 (m)
Time: 2.02 (s), x: -1.88 (m), y: 3.13 (m)
Time: 2.13 (s), x: -1.88 (m), y: 3.13 (m)
Time: 2.23 (s), x: -1.88 (m), y: 3.13 (m)
Time: 2.33 (s), x: -1.88 (m), y: 3.13 (m)
Time: 2.43 (s), x: -1.88 (m), y: 3.13 (m)
Time: 2.53 (s), x: -1.88 (m), y: 3.13 (m)
Time: 2.63 (s), x: -1.88 (m), y: 3.13 (m)
Time: 2.73 (s), x: -1.88 (m), y: 3.13 (m)
Time: 2.83 (s), x: -1.88 (m), y: 3.13 (m)
Time: 2.93 (s), x: -1.88 (m), y: 3.13 (m)
Time: 3.03 (s), x: -1.88 (m), y: 3.12 (m)
Time: 3.13 (s), x: -1.87 (m), y: 3.13 (m)
Time: 3.23 (s), x: -1.87 (m), y: 3.15 (m)
Time: 3.34 (s), x: -1.87 (m), y: 3.16 (m)
Time: 3.45 (s), x: -1.86 (m), y: 3.18 (m)
Time: 3.56 (s), x: -1.84 (m), y: 3.20 (m)
Time: 3.66 (s), x: -1.83 (m), y: 3.21 (m)
