🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_sac_w283.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_283.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.11 (s), x: -2.25 (m), y: 3.16 (m)
Time: 0.21 (s), x: -2.25 (m), y: 3.21 (m)
Time: 0.31 (s), x: -2.25 (m), y: 3.26 (m)
Time: 0.41 (s), x: -2.25 (m), y: 3.31 (m)
Time: 0.51 (s), x: -2.24 (m), y: 3.36 (m)
Time: 0.61 (s), x: -2.24 (m), y: 3.41 (m)
Time: 0.72 (s), x: -2.23 (m), y: 3.46 (m)
Time: 0.83 (s), x: -2.22 (m), y: 3.51 (m)
Time: 0.93 (s), x: -2.21 (m), y: 3.55 (m)
Time: 1.04 (s), x: -2.20 (m), y: 3.61 (m)
Time: 1.15 (s), x: -2.19 (m), y: 3.66 (m)
Time: 1.25 (s), x: -2.20 (m), y: 3.72 (m)
Time: 1.35 (s), x: -2.20 (m), y: 3.78 (m)
Time: 1.46 (s), x: -2.22 (m), y: 3.84 (m)
Time: 1.57 (s), x: -2.23 (m), y: 3.89 (m)
Time: 1.67 (s), x: -2.23 (m), y: 3.94 (m)
Time: 1.77 (s), x: -2.23 (m), y: 3.99 (m)
Time: 1.87 (s), x: -2.23 (m), y: 4.04 (m)
Time: 1.98 (s), x: -2.23 (m), y: 4.09 (m)
Time: 2.08 (s), x: -2.22 (m), y: 4.15 (m)
Time: 2.18 (s), x: -2.20 (m), y: 4.21 (m)
Time: 2.28 (s), x: -2.19 (m), y: 4.26 (m)
Time: 2.38 (s), x: -2.18 (m), y: 4.31 (m)
Time: 2.49 (s), x: -2.17 (m), y: 4.35 (m)
Time: 2.59 (s), x: -2.16 (m), y: 4.39 (m)
Time: 2.69 (s), x: -2.14 (m), y: 4.44 (m)
Time: 2.79 (s), x: -2.13 (m), y: 4.48 (m)
Time: 2.90 (s), x: -2.11 (m), y: 4.51 (m)
Time: 3.00 (s), x: -2.09 (m), y: 4.54 (m)
Time: 3.10 (s), x: -2.07 (m), y: 4.57 (m)
Time: 3.20 (s), x: -2.05 (m), y: 4.60 (m)
Time: 3.30 (s), x: -2.05 (m), y: 4.62 (m)
Time: 3.41 (s), x: -2.05 (m), y: 4.63 (m)
Time: 3.51 (s), x: -2.04 (m), y: 4.64 (m)
Time: 3.61 (s), x: -2.02 (m), y: 4.66 (m)
Time: 3.71 (s), x: -2.01 (m), y: 4.68 (m)
Time: 3.82 (s), x: -1.99 (m), y: 4.70 (m)
Time: 3.92 (s), x: -1.98 (m), y: 4.71 (m)
Time: 4.02 (s), x: -1.96 (m), y: 4.73 (m)
Time: 4.12 (s), x: -1.95 (m), y: 4.74 (m)
