🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_teb_w286.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_286.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.22 (m)
Time: 0.23 (s), x: -2.25 (m), y: 3.37 (m)
Time: 0.33 (s), x: -2.25 (m), y: 3.52 (m)
Time: 0.44 (s), x: -2.25 (m), y: 3.68 (m)
Time: 0.54 (s), x: -2.27 (m), y: 3.83 (m)
Time: 0.65 (s), x: -2.30 (m), y: 3.98 (m)
Time: 0.75 (s), x: -2.35 (m), y: 4.08 (m)
Time: 0.85 (s), x: -2.40 (m), y: 4.19 (m)
Time: 0.96 (s), x: -2.46 (m), y: 4.32 (m)
Time: 1.06 (s), x: -2.52 (m), y: 4.46 (m)
Time: 1.17 (s), x: -2.59 (m), y: 4.61 (m)
Time: 1.27 (s), x: -2.64 (m), y: 4.75 (m)
Time: 1.38 (s), x: -2.66 (m), y: 4.90 (m)
Time: 1.48 (s), x: -2.66 (m), y: 5.04 (m)
Time: 1.59 (s), x: -2.66 (m), y: 5.18 (m)
Time: 1.69 (s), x: -2.66 (m), y: 5.32 (m)
Time: 1.79 (s), x: -2.65 (m), y: 5.46 (m)
Time: 1.89 (s), x: -2.66 (m), y: 5.61 (m)
Time: 2.00 (s), x: -2.68 (m), y: 5.76 (m)
Time: 2.10 (s), x: -2.70 (m), y: 5.89 (m)
Time: 2.20 (s), x: -2.72 (m), y: 6.04 (m)
Time: 2.31 (s), x: -2.75 (m), y: 6.17 (m)
Time: 2.41 (s), x: -2.75 (m), y: 6.30 (m)
Time: 2.51 (s), x: -2.75 (m), y: 6.43 (m)
Time: 2.62 (s), x: -2.74 (m), y: 6.53 (m)
Time: 2.72 (s), x: -2.74 (m), y: 6.60 (m)
Time: 2.82 (s), x: -2.73 (m), y: 6.65 (m)
Time: 2.92 (s), x: -2.70 (m), y: 6.71 (m)
Time: 3.03 (s), x: -2.68 (m), y: 6.74 (m)
Time: 3.13 (s), x: -2.64 (m), y: 6.78 (m)
Time: 3.24 (s), x: -2.62 (m), y: 6.80 (m)
Time: 3.34 (s), x: -2.61 (m), y: 6.79 (m)
Time: 3.45 (s), x: -2.59 (m), y: 6.77 (m)
Time: 3.56 (s), x: -2.58 (m), y: 6.76 (m)
Time: 3.66 (s), x: -2.57 (m), y: 6.74 (m)
Time: 3.76 (s), x: -2.57 (m), y: 6.72 (m)
Time: 3.87 (s), x: -2.57 (m), y: 6.71 (m)
Time: 3.97 (s), x: -2.57 (m), y: 6.71 (m)
