🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_lfh_w59.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_59.world <<<<<<<<<<<<<<<<<<
Time: 0.02 (s), x: -2.00 (m), y: 3.10 (m)
Time: 0.12 (s), x: -2.00 (m), y: 3.14 (m)
Time: 0.22 (s), x: -2.01 (m), y: 3.18 (m)
Time: 0.33 (s), x: -2.02 (m), y: 3.23 (m)
Time: 0.44 (s), x: -2.05 (m), y: 3.27 (m)
Time: 0.54 (s), x: -2.08 (m), y: 3.32 (m)
Time: 0.64 (s), x: -2.12 (m), y: 3.35 (m)
Time: 0.74 (s), x: -2.17 (m), y: 3.38 (m)
Time: 0.84 (s), x: -2.22 (m), y: 3.39 (m)
Time: 0.94 (s), x: -2.29 (m), y: 3.40 (m)
Time: 1.05 (s), x: -2.34 (m), y: 3.40 (m)
Time: 1.15 (s), x: -2.40 (m), y: 3.39 (m)
Time: 1.25 (s), x: -2.46 (m), y: 3.38 (m)
Time: 1.35 (s), x: -2.51 (m), y: 3.36 (m)
Time: 1.45 (s), x: -2.56 (m), y: 3.35 (m)
Time: 1.55 (s), x: -2.61 (m), y: 3.34 (m)
Time: 1.65 (s), x: -2.66 (m), y: 3.33 (m)
Time: 1.75 (s), x: -2.71 (m), y: 3.31 (m)
Time: 1.85 (s), x: -2.75 (m), y: 3.30 (m)
Time: 1.96 (s), x: -2.79 (m), y: 3.29 (m)
Time: 2.06 (s), x: -2.83 (m), y: 3.28 (m)
Time: 2.16 (s), x: -2.87 (m), y: 3.27 (m)
Time: 2.26 (s), x: -2.91 (m), y: 3.26 (m)
Time: 2.36 (s), x: -2.94 (m), y: 3.25 (m)
Time: 2.46 (s), x: -2.97 (m), y: 3.23 (m)
Time: 2.56 (s), x: -3.00 (m), y: 3.22 (m)
Time: 2.66 (s), x: -3.03 (m), y: 3.22 (m)
Time: 2.76 (s), x: -3.06 (m), y: 3.21 (m)
Time: 2.86 (s), x: -3.08 (m), y: 3.20 (m)
Time: 2.96 (s), x: -3.10 (m), y: 3.20 (m)
Time: 3.07 (s), x: -3.12 (m), y: 3.19 (m)
Time: 3.17 (s), x: -3.14 (m), y: 3.19 (m)
Time: 3.27 (s), x: -3.16 (m), y: 3.19 (m)
Time: 3.37 (s), x: -3.18 (m), y: 3.18 (m)
Time: 3.47 (s), x: -3.19 (m), y: 3.18 (m)
Time: 3.57 (s), x: -3.21 (m), y: 3.18 (m)
Time: 3.67 (s), x: -3.22 (m), y: 3.17 (m)
Time: 3.77 (s), x: -3.23 (m), y: 3.17 (m)
Time: 3.87 (s), x: -3.24 (m), y: 3.17 (m)
Time: 3.97 (s), x: -3.25 (m), y: 3.17 (m)
Time: 4.08 (s), x: -3.26 (m), y: 3.17 (m)
Time: 4.18 (s), x: -3.26 (m), y: 3.16 (m)
Time: 4.28 (s), x: -3.27 (m), y: 3.16 (m)
Time: 4.38 (s), x: -3.27 (m), y: 3.16 (m)
Time: 4.48 (s), x: -3.28 (m), y: 3.16 (m)
Time: 4.59 (s), x: -3.28 (m), y: 3.16 (m)
Time: 4.70 (s), x: -3.28 (m), y: 3.16 (m)
Time: 4.80 (s), x: -3.27 (m), y: 3.14 (m)
Time: 4.90 (s), x: -3.26 (m), y: 3.08 (m)
Time: 5.01 (s), x: -3.24 (m), y: 2.98 (m)
Time: 5.12 (s), x: -3.22 (m), y: 2.85 (m)
Time: 5.22 (s), x: -3.19 (m), y: 2.72 (m)
Time: 5.33 (s), x: -3.17 (m), y: 2.59 (m)
Time: 5.43 (s), x: -3.15 (m), y: 2.46 (m)
Time: 5.53 (s), x: -3.14 (m), y: 2.33 (m)
Time: 5.63 (s), x: -3.14 (m), y: 2.17 (m)
Time: 5.74 (s), x: -3.14 (m), y: 2.00 (m)
Time: 5.84 (s), x: -3.15 (m), y: 1.86 (m)
Time: 5.94 (s), x: -3.18 (m), y: 1.73 (m)
Time: 6.04 (s), x: -3.21 (m), y: 1.63 (m)
Time: 6.15 (s), x: -3.23 (m), y: 1.55 (m)
Time: 6.26 (s), x: -3.26 (m), y: 1.47 (m)
Time: 6.36 (s), x: -3.28 (m), y: 1.40 (m)
Time: 6.46 (s), x: -3.30 (m), y: 1.34 (m)
Time: 6.57 (s), x: -3.32 (m), y: 1.28 (m)
Time: 6.67 (s), x: -3.34 (m), y: 1.22 (m)
Time: 6.77 (s), x: -3.37 (m), y: 1.17 (m)
Time: 6.88 (s), x: -3.40 (m), y: 1.15 (m)
Time: 6.98 (s), x: -3.41 (m), y: 1.17 (m)
Time: 7.09 (s), x: -3.42 (m), y: 1.21 (m)
Time: 7.20 (s), x: -3.43 (m), y: 1.28 (m)
Time: 7.30 (s), x: -3.45 (m), y: 1.40 (m)
Time: 7.40 (s), x: -3.47 (m), y: 1.52 (m)
Time: 7.51 (s), x: -3.50 (m), y: 1.69 (m)
Time: 7.61 (s), x: -3.53 (m), y: 1.84 (m)
Time: 7.71 (s), x: -3.56 (m), y: 1.98 (m)
Time: 7.82 (s), x: -3.59 (m), y: 2.11 (m)
Time: 7.92 (s), x: -3.62 (m), y: 2.23 (m)
Time: 8.03 (s), x: -3.65 (m), y: 2.35 (m)
Time: 8.13 (s), x: -3.67 (m), y: 2.43 (m)
Time: 8.24 (s), x: -3.69 (m), y: 2.53 (m)
Time: 8.35 (s), x: -3.72 (m), y: 2.64 (m)
Time: 8.45 (s), x: -3.74 (m), y: 2.73 (m)
Time: 8.55 (s), x: -3.76 (m), y: 2.82 (m)
Time: 8.65 (s), x: -3.78 (m), y: 2.93 (m)
Time: 8.76 (s), x: -3.80 (m), y: 3.00 (m)
Time: 8.86 (s), x: -3.81 (m), y: 3.07 (m)
Time: 8.97 (s), x: -3.83 (m), y: 3.14 (m)
Time: 9.07 (s), x: -3.84 (m), y: 3.21 (m)
Time: 9.17 (s), x: -3.85 (m), y: 3.26 (m)
Time: 9.27 (s), x: -3.87 (m), y: 3.32 (m)
Time: 9.38 (s), x: -3.88 (m), y: 3.39 (m)
Time: 9.49 (s), x: -3.88 (m), y: 3.45 (m)
Time: 9.59 (s), x: -3.89 (m), y: 3.53 (m)
Time: 9.70 (s), x: -3.90 (m), y: 3.60 (m)
Time: 9.81 (s), x: -3.90 (m), y: 3.67 (m)
Time: 9.91 (s), x: -3.91 (m), y: 3.74 (m)
Time: 10.02 (s), x: -3.91 (m), y: 3.81 (m)
Time: 10.12 (s), x: -3.91 (m), y: 3.88 (m)
Time: 10.23 (s), x: -3.92 (m), y: 3.94 (m)
Time: 10.33 (s), x: -3.92 (m), y: 4.02 (m)
Time: 10.43 (s), x: -3.92 (m), y: 4.09 (m)
Time: 10.54 (s), x: -3.91 (m), y: 4.16 (m)
Time: 10.64 (s), x: -3.91 (m), y: 4.24 (m)
Time: 10.75 (s), x: -3.91 (m), y: 4.34 (m)
Time: 10.85 (s), x: -3.90 (m), y: 4.45 (m)
Time: 10.96 (s), x: -3.90 (m), y: 4.60 (m)
Time: 11.06 (s), x: -3.90 (m), y: 4.69 (m)
Time: 11.16 (s), x: -3.91 (m), y: 4.75 (m)
Time: 11.27 (s), x: -3.91 (m), y: 4.80 (m)
Time: 11.37 (s), x: -3.88 (m), y: 4.88 (m)
Time: 11.47 (s), x: -3.82 (m), y: 5.00 (m)
Time: 11.58 (s), x: -3.76 (m), y: 5.14 (m)
Time: 11.68 (s), x: -3.69 (m), y: 5.29 (m)
Time: 11.78 (s), x: -3.63 (m), y: 5.43 (m)
Time: 11.88 (s), x: -3.59 (m), y: 5.56 (m)
Time: 11.99 (s), x: -3.57 (m), y: 5.69 (m)
Time: 12.09 (s), x: -3.57 (m), y: 5.74 (m)
>>>>>>>>>>>>>>>>>> Test finished! <<<<<<<<<<<<<<<<<<
Navigation collided with time 12.0910 (s)
Navigation metric: 0.0000
