🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_lfh_w70.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_70.world <<<<<<<<<<<<<<<<<<
[WARN] [1749863337.082477, 0.000000]: wait_for_service(/gazebo/get_model_state): failed to contact, will keep trying
[INFO] [1749863345.905132, 0.041000]: wait_for_service(/gazebo/get_model_state): finally were able to contact [rosrpc://turan-TULPAR-T5-V20-3:34233]
Time: 0.02 (s), x: -2.00 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.00 (m), y: 3.14 (m)
Time: 0.22 (s), x: -2.00 (m), y: 3.18 (m)
Time: 0.32 (s), x: -2.02 (m), y: 3.23 (m)
Time: 0.43 (s), x: -2.05 (m), y: 3.28 (m)
Time: 0.54 (s), x: -2.08 (m), y: 3.32 (m)
Time: 0.64 (s), x: -2.12 (m), y: 3.35 (m)
Time: 0.74 (s), x: -2.13 (m), y: 3.37 (m)
Time: 0.84 (s), x: -2.13 (m), y: 3.37 (m)
Time: 0.94 (s), x: -2.13 (m), y: 3.37 (m)
Time: 1.04 (s), x: -2.13 (m), y: 3.37 (m)
Time: 1.14 (s), x: -2.15 (m), y: 3.37 (m)
Time: 1.25 (s), x: -2.19 (m), y: 3.38 (m)
Time: 1.35 (s), x: -2.23 (m), y: 3.38 (m)
Time: 1.46 (s), x: -2.26 (m), y: 3.38 (m)
Time: 1.56 (s), x: -2.27 (m), y: 3.38 (m)
Time: 1.66 (s), x: -2.28 (m), y: 3.37 (m)
Time: 1.77 (s), x: -2.28 (m), y: 3.37 (m)
Time: 1.87 (s), x: -2.28 (m), y: 3.37 (m)
Time: 1.97 (s), x: -2.28 (m), y: 3.37 (m)
Time: 2.07 (s), x: -2.28 (m), y: 3.37 (m)
Time: 2.17 (s), x: -2.28 (m), y: 3.37 (m)
Time: 2.28 (s), x: -2.28 (m), y: 3.37 (m)
Time: 2.38 (s), x: -2.28 (m), y: 3.37 (m)
Time: 2.48 (s), x: -2.28 (m), y: 3.37 (m)
Time: 2.58 (s), x: -2.28 (m), y: 3.37 (m)
Time: 2.68 (s), x: -2.28 (m), y: 3.37 (m)
Time: 2.78 (s), x: -2.28 (m), y: 3.37 (m)
Time: 2.89 (s), x: -2.28 (m), y: 3.37 (m)
Time: 2.99 (s), x: -2.28 (m), y: 3.37 (m)
Time: 3.10 (s), x: -2.32 (m), y: 3.37 (m)
Time: 3.20 (s), x: -2.39 (m), y: 3.38 (m)
Time: 3.30 (s), x: -2.50 (m), y: 3.39 (m)
Time: 3.40 (s), x: -2.60 (m), y: 3.40 (m)
Time: 3.50 (s), x: -2.71 (m), y: 3.40 (m)
Time: 3.60 (s), x: -2.82 (m), y: 3.39 (m)
Time: 3.70 (s), x: -2.91 (m), y: 3.37 (m)
Time: 3.81 (s), x: -3.01 (m), y: 3.34 (m)
Time: 3.92 (s), x: -3.07 (m), y: 3.31 (m)
Time: 4.02 (s), x: -3.13 (m), y: 3.27 (m)
Time: 4.12 (s), x: -3.18 (m), y: 3.23 (m)
Time: 4.22 (s), x: -3.23 (m), y: 3.19 (m)
Time: 4.32 (s), x: -3.26 (m), y: 3.13 (m)
Time: 4.43 (s), x: -3.31 (m), y: 3.05 (m)
Time: 4.54 (s), x: -3.36 (m), y: 2.98 (m)
Time: 4.64 (s), x: -3.41 (m), y: 2.91 (m)
Time: 4.74 (s), x: -3.45 (m), y: 2.83 (m)
Time: 4.84 (s), x: -3.49 (m), y: 2.75 (m)
Time: 4.95 (s), x: -3.54 (m), y: 2.64 (m)
Time: 5.05 (s), x: -3.58 (m), y: 2.55 (m)
Time: 5.16 (s), x: -3.62 (m), y: 2.47 (m)
Time: 5.26 (s), x: -3.65 (m), y: 2.41 (m)
Time: 5.36 (s), x: -3.67 (m), y: 2.35 (m)
Time: 5.46 (s), x: -3.69 (m), y: 2.28 (m)
Time: 5.57 (s), x: -3.72 (m), y: 2.22 (m)
Time: 5.67 (s), x: -3.72 (m), y: 2.17 (m)
Time: 5.78 (s), x: -3.72 (m), y: 2.14 (m)
Time: 5.89 (s), x: -3.73 (m), y: 2.09 (m)
Time: 6.00 (s), x: -3.72 (m), y: 2.05 (m)
Time: 6.10 (s), x: -3.71 (m), y: 2.00 (m)
Time: 6.20 (s), x: -3.70 (m), y: 1.95 (m)
Time: 6.30 (s), x: -3.70 (m), y: 1.89 (m)
Time: 6.41 (s), x: -3.71 (m), y: 1.84 (m)
Time: 6.51 (s), x: -3.74 (m), y: 1.82 (m)
Time: 6.61 (s), x: -3.77 (m), y: 1.81 (m)
Time: 6.72 (s), x: -3.81 (m), y: 1.81 (m)
Time: 6.82 (s), x: -3.83 (m), y: 1.81 (m)
Time: 6.92 (s), x: -3.85 (m), y: 1.83 (m)
Time: 7.03 (s), x: -3.85 (m), y: 1.84 (m)
Time: 7.14 (s), x: -3.84 (m), y: 1.85 (m)
Time: 7.24 (s), x: -3.83 (m), y: 1.85 (m)
Time: 7.34 (s), x: -3.82 (m), y: 1.84 (m)
Time: 7.45 (s), x: -3.81 (m), y: 1.83 (m)
Time: 7.55 (s), x: -3.80 (m), y: 1.81 (m)
Time: 7.66 (s), x: -3.80 (m), y: 1.81 (m)
Time: 7.76 (s), x: -3.79 (m), y: 1.81 (m)
Time: 7.86 (s), x: -3.78 (m), y: 1.80 (m)
Time: 7.97 (s), x: -3.78 (m), y: 1.81 (m)
Time: 8.07 (s), x: -3.77 (m), y: 1.81 (m)
Time: 8.17 (s), x: -3.77 (m), y: 1.83 (m)
Time: 8.28 (s), x: -3.78 (m), y: 1.88 (m)
Time: 8.38 (s), x: -3.78 (m), y: 1.96 (m)
Time: 8.48 (s), x: -3.79 (m), y: 2.07 (m)
Time: 8.58 (s), x: -3.80 (m), y: 2.19 (m)
Time: 8.69 (s), x: -3.81 (m), y: 2.30 (m)
Time: 8.79 (s), x: -3.82 (m), y: 2.42 (m)
Time: 8.89 (s), x: -3.83 (m), y: 2.53 (m)
Time: 9.00 (s), x: -3.84 (m), y: 2.64 (m)
Time: 9.10 (s), x: -3.85 (m), y: 2.75 (m)
Time: 9.21 (s), x: -3.87 (m), y: 2.86 (m)
Time: 9.31 (s), x: -3.88 (m), y: 2.96 (m)
Time: 9.41 (s), x: -3.89 (m), y: 3.06 (m)
Time: 9.52 (s), x: -3.90 (m), y: 3.15 (m)
Time: 9.62 (s), x: -3.91 (m), y: 3.22 (m)
Time: 9.72 (s), x: -3.92 (m), y: 3.29 (m)
Time: 9.83 (s), x: -3.93 (m), y: 3.37 (m)
Time: 9.94 (s), x: -3.94 (m), y: 3.45 (m)
Time: 10.04 (s), x: -3.95 (m), y: 3.53 (m)
Time: 10.14 (s), x: -3.95 (m), y: 3.61 (m)
Time: 10.24 (s), x: -3.96 (m), y: 3.69 (m)
Time: 10.35 (s), x: -3.96 (m), y: 3.77 (m)
Time: 10.45 (s), x: -3.97 (m), y: 3.84 (m)
Time: 10.55 (s), x: -3.97 (m), y: 3.92 (m)
Time: 10.65 (s), x: -3.98 (m), y: 4.00 (m)
Time: 10.76 (s), x: -3.98 (m), y: 4.09 (m)
Time: 10.86 (s), x: -3.99 (m), y: 4.17 (m)
Time: 10.96 (s), x: -3.99 (m), y: 4.26 (m)
Time: 11.07 (s), x: -4.00 (m), y: 4.35 (m)
Time: 11.17 (s), x: -4.00 (m), y: 4.43 (m)
Time: 11.27 (s), x: -4.00 (m), y: 4.50 (m)
Time: 11.37 (s), x: -4.00 (m), y: 4.57 (m)
Time: 11.47 (s), x: -4.00 (m), y: 4.65 (m)
