🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_sac_w52.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_52.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.17 (m)
Time: 0.23 (s), x: -2.25 (m), y: 3.22 (m)
Time: 0.33 (s), x: -2.25 (m), y: 3.27 (m)
Time: 0.43 (s), x: -2.26 (m), y: 3.33 (m)
Time: 0.54 (s), x: -2.26 (m), y: 3.38 (m)
Time: 0.65 (s), x: -2.27 (m), y: 3.43 (m)
Time: 0.75 (s), x: -2.28 (m), y: 3.48 (m)
Time: 0.85 (s), x: -2.29 (m), y: 3.54 (m)
Time: 0.96 (s), x: -2.29 (m), y: 3.59 (m)
Time: 1.06 (s), x: -2.30 (m), y: 3.64 (m)
Time: 1.16 (s), x: -2.31 (m), y: 3.69 (m)
Time: 1.26 (s), x: -2.32 (m), y: 3.74 (m)
Time: 1.37 (s), x: -2.33 (m), y: 3.78 (m)
Time: 1.47 (s), x: -2.35 (m), y: 3.84 (m)
Time: 1.57 (s), x: -2.36 (m), y: 3.89 (m)
Time: 1.67 (s), x: -2.37 (m), y: 3.94 (m)
Time: 1.77 (s), x: -2.38 (m), y: 3.99 (m)
Time: 1.88 (s), x: -2.40 (m), y: 4.04 (m)
Time: 1.98 (s), x: -2.41 (m), y: 4.08 (m)
Time: 2.09 (s), x: -2.42 (m), y: 4.13 (m)
Time: 2.19 (s), x: -2.43 (m), y: 4.18 (m)
Time: 2.29 (s), x: -2.45 (m), y: 4.22 (m)
Time: 2.39 (s), x: -2.46 (m), y: 4.27 (m)
Time: 2.50 (s), x: -2.47 (m), y: 4.31 (m)
Time: 2.60 (s), x: -2.48 (m), y: 4.34 (m)
Time: 2.70 (s), x: -2.50 (m), y: 4.38 (m)
Time: 2.80 (s), x: -2.51 (m), y: 4.42 (m)
Time: 2.91 (s), x: -2.52 (m), y: 4.47 (m)
Time: 3.01 (s), x: -2.54 (m), y: 4.51 (m)
Time: 3.11 (s), x: -2.55 (m), y: 4.54 (m)
Time: 3.21 (s), x: -2.56 (m), y: 4.58 (m)
Time: 3.31 (s), x: -2.57 (m), y: 4.60 (m)
Time: 3.41 (s), x: -2.57 (m), y: 4.62 (m)
Time: 3.52 (s), x: -2.58 (m), y: 4.65 (m)
Time: 3.62 (s), x: -2.59 (m), y: 4.68 (m)
Time: 3.72 (s), x: -2.61 (m), y: 4.71 (m)
Time: 3.83 (s), x: -2.62 (m), y: 4.74 (m)
Time: 3.93 (s), x: -2.63 (m), y: 4.77 (m)
Time: 4.04 (s), x: -2.64 (m), y: 4.80 (m)
Time: 4.14 (s), x: -2.65 (m), y: 4.82 (m)
