🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_applr_w22.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_22.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -1.99 (m), y: 3.10 (m)
Time: 0.12 (s), x: -1.99 (m), y: 3.12 (m)
Time: 0.22 (s), x: -1.99 (m), y: 3.15 (m)
Time: 0.33 (s), x: -2.00 (m), y: 3.17 (m)
Time: 0.44 (s), x: -2.01 (m), y: 3.19 (m)
Time: 0.54 (s), x: -2.02 (m), y: 3.21 (m)
Time: 0.64 (s), x: -2.03 (m), y: 3.23 (m)
Time: 0.74 (s), x: -2.04 (m), y: 3.24 (m)
Time: 0.85 (s), x: -2.05 (m), y: 3.25 (m)
Time: 0.95 (s), x: -2.06 (m), y: 3.26 (m)
Time: 1.06 (s), x: -2.08 (m), y: 3.28 (m)
Time: 1.16 (s), x: -2.09 (m), y: 3.29 (m)
Time: 1.26 (s), x: -2.11 (m), y: 3.31 (m)
Time: 1.37 (s), x: -2.14 (m), y: 3.34 (m)
Time: 1.48 (s), x: -2.18 (m), y: 3.37 (m)
Time: 1.58 (s), x: -2.21 (m), y: 3.40 (m)
Time: 1.68 (s), x: -2.24 (m), y: 3.43 (m)
Time: 1.78 (s), x: -2.27 (m), y: 3.46 (m)
Time: 1.88 (s), x: -2.30 (m), y: 3.49 (m)
Time: 1.98 (s), x: -2.34 (m), y: 3.52 (m)
Time: 2.08 (s), x: -2.37 (m), y: 3.55 (m)
Time: 2.18 (s), x: -2.41 (m), y: 3.58 (m)
Time: 2.28 (s), x: -2.44 (m), y: 3.60 (m)
Time: 2.38 (s), x: -2.46 (m), y: 3.63 (m)
Time: 2.48 (s), x: -2.47 (m), y: 3.65 (m)
Time: 2.59 (s), x: -2.48 (m), y: 3.68 (m)
Time: 2.69 (s), x: -2.50 (m), y: 3.70 (m)
Time: 2.79 (s), x: -2.52 (m), y: 3.72 (m)
Time: 2.90 (s), x: -2.54 (m), y: 3.73 (m)
Time: 3.00 (s), x: -2.56 (m), y: 3.75 (m)
Time: 3.11 (s), x: -2.58 (m), y: 3.75 (m)
Time: 3.21 (s), x: -2.60 (m), y: 3.76 (m)
Time: 3.32 (s), x: -2.60 (m), y: 3.76 (m)
Time: 3.42 (s), x: -2.60 (m), y: 3.76 (m)
Time: 3.52 (s), x: -2.60 (m), y: 3.76 (m)
Time: 3.63 (s), x: -2.60 (m), y: 3.76 (m)
Time: 3.74 (s), x: -2.60 (m), y: 3.76 (m)
Time: 3.84 (s), x: -2.60 (m), y: 3.76 (m)
Time: 3.94 (s), x: -2.60 (m), y: 3.76 (m)
Time: 4.04 (s), x: -2.60 (m), y: 3.76 (m)
Time: 4.15 (s), x: -2.60 (m), y: 3.76 (m)
Time: 4.25 (s), x: -2.60 (m), y: 3.76 (m)
Time: 4.35 (s), x: -2.60 (m), y: 3.76 (m)
Time: 4.45 (s), x: -2.60 (m), y: 3.76 (m)
Time: 4.56 (s), x: -2.60 (m), y: 3.76 (m)
Time: 4.66 (s), x: -2.60 (m), y: 3.76 (m)
Time: 4.77 (s), x: -2.60 (m), y: 3.76 (m)
Time: 4.87 (s), x: -2.60 (m), y: 3.76 (m)
Time: 4.98 (s), x: -2.60 (m), y: 3.76 (m)
Time: 5.08 (s), x: -2.60 (m), y: 3.76 (m)
Time: 5.18 (s), x: -2.60 (m), y: 3.76 (m)
Time: 5.28 (s), x: -2.60 (m), y: 3.76 (m)
Time: 5.39 (s), x: -2.60 (m), y: 3.76 (m)
Time: 5.49 (s), x: -2.60 (m), y: 3.76 (m)
Time: 5.59 (s), x: -2.60 (m), y: 3.76 (m)
Time: 5.69 (s), x: -2.60 (m), y: 3.76 (m)
Time: 5.80 (s), x: -2.60 (m), y: 3.76 (m)
Time: 5.91 (s), x: -2.60 (m), y: 3.76 (m)
Time: 6.01 (s), x: -2.60 (m), y: 3.76 (m)
Time: 6.11 (s), x: -2.60 (m), y: 3.76 (m)
Time: 6.21 (s), x: -2.60 (m), y: 3.76 (m)
Time: 6.32 (s), x: -2.60 (m), y: 3.76 (m)
Time: 6.43 (s), x: -2.60 (m), y: 3.76 (m)
Time: 6.54 (s), x: -2.60 (m), y: 3.76 (m)
Time: 6.64 (s), x: -2.60 (m), y: 3.76 (m)
