🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_dwa_w119.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_119.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.17 (m)
Time: 0.23 (s), x: -2.25 (m), y: 3.23 (m)
Time: 0.33 (s), x: -2.26 (m), y: 3.28 (m)
Time: 0.43 (s), x: -2.26 (m), y: 3.34 (m)
Time: 0.54 (s), x: -2.26 (m), y: 3.40 (m)
Time: 0.64 (s), x: -2.26 (m), y: 3.45 (m)
Time: 0.75 (s), x: -2.26 (m), y: 3.51 (m)
Time: 0.85 (s), x: -2.27 (m), y: 3.57 (m)
Time: 0.95 (s), x: -2.27 (m), y: 3.62 (m)
Time: 1.06 (s), x: -2.28 (m), y: 3.68 (m)
Time: 1.17 (s), x: -2.28 (m), y: 3.74 (m)
Time: 1.27 (s), x: -2.29 (m), y: 3.80 (m)
Time: 1.38 (s), x: -2.29 (m), y: 3.86 (m)
Time: 1.48 (s), x: -2.30 (m), y: 3.92 (m)
Time: 1.58 (s), x: -2.30 (m), y: 3.97 (m)
Time: 1.69 (s), x: -2.31 (m), y: 4.03 (m)
Time: 1.79 (s), x: -2.31 (m), y: 4.08 (m)
Time: 1.90 (s), x: -2.32 (m), y: 4.14 (m)
Time: 2.00 (s), x: -2.33 (m), y: 4.20 (m)
Time: 2.11 (s), x: -2.33 (m), y: 4.26 (m)
Time: 2.21 (s), x: -2.34 (m), y: 4.32 (m)
Time: 2.32 (s), x: -2.35 (m), y: 4.37 (m)
Time: 2.42 (s), x: -2.35 (m), y: 4.42 (m)
Time: 2.52 (s), x: -2.36 (m), y: 4.47 (m)
Time: 2.63 (s), x: -2.36 (m), y: 4.52 (m)
Time: 2.73 (s), x: -2.37 (m), y: 4.57 (m)
Time: 2.83 (s), x: -2.37 (m), y: 4.63 (m)
Time: 2.93 (s), x: -2.38 (m), y: 4.68 (m)
Time: 3.04 (s), x: -2.38 (m), y: 4.73 (m)
Time: 3.14 (s), x: -2.39 (m), y: 4.78 (m)
Time: 3.25 (s), x: -2.40 (m), y: 4.83 (m)
Time: 3.36 (s), x: -2.41 (m), y: 4.88 (m)
Time: 3.47 (s), x: -2.41 (m), y: 4.93 (m)
Time: 3.57 (s), x: -2.42 (m), y: 4.98 (m)
Time: 3.67 (s), x: -2.43 (m), y: 5.02 (m)
Time: 3.77 (s), x: -2.43 (m), y: 5.06 (m)
Time: 3.88 (s), x: -2.44 (m), y: 5.09 (m)
Time: 3.99 (s), x: -2.44 (m), y: 5.11 (m)
Time: 4.09 (s), x: -2.44 (m), y: 5.13 (m)
Time: 4.19 (s), x: -2.45 (m), y: 5.15 (m)
Time: 4.30 (s), x: -2.45 (m), y: 5.17 (m)
Time: 4.40 (s), x: -2.45 (m), y: 5.18 (m)
Time: 4.51 (s), x: -2.45 (m), y: 5.19 (m)
Time: 4.61 (s), x: -2.46 (m), y: 5.20 (m)
Time: 4.71 (s), x: -2.46 (m), y: 5.21 (m)
Time: 4.82 (s), x: -2.47 (m), y: 5.22 (m)
