🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_e2e_w89.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_89.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.00 (m), y: 3.12 (m)
Time: 0.12 (s), x: -2.00 (m), y: 3.23 (m)
Time: 0.23 (s), x: -2.00 (m), y: 3.36 (m)
Time: 0.34 (s), x: -2.00 (m), y: 3.50 (m)
Time: 0.45 (s), x: -2.01 (m), y: 3.64 (m)
Time: 0.55 (s), x: -2.04 (m), y: 3.79 (m)
Time: 0.66 (s), x: -2.08 (m), y: 3.95 (m)
Time: 0.77 (s), x: -2.18 (m), y: 4.11 (m)
Time: 0.87 (s), x: -2.30 (m), y: 4.23 (m)
Time: 0.98 (s), x: -2.41 (m), y: 4.31 (m)
Time: 1.08 (s), x: -2.49 (m), y: 4.36 (m)
Time: 1.19 (s), x: -2.56 (m), y: 4.40 (m)
Time: 1.31 (s), x: -2.59 (m), y: 4.44 (m)
Time: 1.41 (s), x: -2.61 (m), y: 4.47 (m)
Time: 1.51 (s), x: -2.62 (m), y: 4.46 (m)
Time: 1.62 (s), x: -2.63 (m), y: 4.44 (m)
Time: 1.72 (s), x: -2.64 (m), y: 4.38 (m)
Time: 1.82 (s), x: -2.66 (m), y: 4.28 (m)
Time: 1.93 (s), x: -2.69 (m), y: 4.13 (m)
Time: 2.04 (s), x: -2.72 (m), y: 3.99 (m)
Time: 2.14 (s), x: -2.75 (m), y: 3.87 (m)
Time: 2.25 (s), x: -2.77 (m), y: 3.76 (m)
Time: 2.35 (s), x: -2.79 (m), y: 3.65 (m)
Time: 2.46 (s), x: -2.81 (m), y: 3.58 (m)
Time: 2.57 (s), x: -2.82 (m), y: 3.52 (m)
Time: 2.67 (s), x: -2.83 (m), y: 3.47 (m)
Time: 2.78 (s), x: -2.84 (m), y: 3.42 (m)
Time: 2.88 (s), x: -2.85 (m), y: 3.37 (m)
Time: 2.99 (s), x: -2.87 (m), y: 3.29 (m)
Time: 3.10 (s), x: -2.89 (m), y: 3.19 (m)
Time: 3.20 (s), x: -2.90 (m), y: 3.12 (m)
Time: 3.30 (s), x: -2.91 (m), y: 3.02 (m)
Time: 3.40 (s), x: -2.92 (m), y: 2.95 (m)
Time: 3.51 (s), x: -2.93 (m), y: 2.87 (m)
Time: 3.61 (s), x: -2.94 (m), y: 2.79 (m)
Time: 3.72 (s), x: -2.95 (m), y: 2.70 (m)
Time: 3.83 (s), x: -2.96 (m), y: 2.63 (m)
Time: 3.93 (s), x: -2.97 (m), y: 2.54 (m)
Time: 4.04 (s), x: -2.98 (m), y: 2.47 (m)
Time: 4.14 (s), x: -3.00 (m), y: 2.39 (m)
Time: 4.24 (s), x: -3.01 (m), y: 2.32 (m)
Time: 4.35 (s), x: -3.03 (m), y: 2.25 (m)
Time: 4.46 (s), x: -3.07 (m), y: 2.17 (m)
Time: 4.56 (s), x: -3.13 (m), y: 2.06 (m)
Time: 4.67 (s), x: -3.20 (m), y: 1.90 (m)
Time: 4.78 (s), x: -3.28 (m), y: 1.74 (m)
Time: 4.88 (s), x: -3.37 (m), y: 1.56 (m)
Time: 5.00 (s), x: -3.47 (m), y: 1.38 (m)
Time: 5.10 (s), x: -3.60 (m), y: 1.23 (m)
Time: 5.21 (s), x: -3.74 (m), y: 1.07 (m)
Time: 5.31 (s), x: -3.88 (m), y: 0.92 (m)
Time: 5.42 (s), x: -4.02 (m), y: 0.76 (m)
Time: 5.52 (s), x: -4.04 (m), y: 0.64 (m)
>>>>>>>>>>>>>>>>>> Test finished! <<<<<<<<<<<<<<<<<<
Navigation collided with time 5.5220 (s)
Navigation metric: 0.0000
