🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_eband_w244.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_244.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.24 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.15 (m)
Time: 0.22 (s), x: -2.26 (m), y: 3.20 (m)
Time: 0.32 (s), x: -2.27 (m), y: 3.25 (m)
Time: 0.43 (s), x: -2.28 (m), y: 3.30 (m)
Time: 0.53 (s), x: -2.29 (m), y: 3.34 (m)
Time: 0.63 (s), x: -2.31 (m), y: 3.39 (m)
Time: 0.74 (s), x: -2.32 (m), y: 3.43 (m)
Time: 0.84 (s), x: -2.34 (m), y: 3.48 (m)
Time: 0.94 (s), x: -2.35 (m), y: 3.52 (m)
Time: 1.04 (s), x: -2.37 (m), y: 3.56 (m)
Time: 1.15 (s), x: -2.38 (m), y: 3.61 (m)
Time: 1.25 (s), x: -2.39 (m), y: 3.66 (m)
Time: 1.36 (s), x: -2.40 (m), y: 3.71 (m)
Time: 1.46 (s), x: -2.40 (m), y: 3.75 (m)
Time: 1.56 (s), x: -2.41 (m), y: 3.80 (m)
Time: 1.67 (s), x: -2.43 (m), y: 3.85 (m)
Time: 1.78 (s), x: -2.45 (m), y: 3.90 (m)
Time: 1.88 (s), x: -2.46 (m), y: 3.94 (m)
Time: 1.99 (s), x: -2.49 (m), y: 3.97 (m)
Time: 2.09 (s), x: -2.51 (m), y: 4.02 (m)
Time: 2.19 (s), x: -2.53 (m), y: 4.06 (m)
Time: 2.29 (s), x: -2.54 (m), y: 4.11 (m)
Time: 2.39 (s), x: -2.55 (m), y: 4.15 (m)
Time: 2.50 (s), x: -2.56 (m), y: 4.20 (m)
Time: 2.61 (s), x: -2.55 (m), y: 4.23 (m)
Time: 2.71 (s), x: -2.55 (m), y: 4.26 (m)
Time: 2.81 (s), x: -2.55 (m), y: 4.31 (m)
Time: 2.91 (s), x: -2.56 (m), y: 4.36 (m)
Time: 3.01 (s), x: -2.57 (m), y: 4.40 (m)
Time: 3.12 (s), x: -2.60 (m), y: 4.44 (m)
Time: 3.22 (s), x: -2.62 (m), y: 4.47 (m)
Time: 3.32 (s), x: -2.65 (m), y: 4.50 (m)
Time: 3.42 (s), x: -2.67 (m), y: 4.53 (m)
Time: 3.53 (s), x: -2.70 (m), y: 4.57 (m)
Time: 3.63 (s), x: -2.72 (m), y: 4.62 (m)
Time: 3.74 (s), x: -2.73 (m), y: 4.66 (m)
Time: 3.84 (s), x: -2.73 (m), y: 4.71 (m)
Time: 3.94 (s), x: -2.73 (m), y: 4.76 (m)
Time: 4.04 (s), x: -2.73 (m), y: 4.81 (m)
Time: 4.14 (s), x: -2.74 (m), y: 4.86 (m)
Time: 4.25 (s), x: -2.73 (m), y: 4.91 (m)
