🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_lfh_w117.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_117.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.00 (m), y: 3.10 (m)
Time: 0.12 (s), x: -2.00 (m), y: 3.16 (m)
Time: 0.22 (s), x: -2.00 (m), y: 3.21 (m)
Time: 0.33 (s), x: -2.01 (m), y: 3.27 (m)
Time: 0.44 (s), x: -2.02 (m), y: 3.33 (m)
Time: 0.54 (s), x: -2.03 (m), y: 3.38 (m)
Time: 0.64 (s), x: -2.04 (m), y: 3.44 (m)
Time: 0.74 (s), x: -2.06 (m), y: 3.49 (m)
Time: 0.85 (s), x: -2.07 (m), y: 3.52 (m)
Time: 0.95 (s), x: -2.09 (m), y: 3.54 (m)
Time: 1.06 (s), x: -2.10 (m), y: 3.55 (m)
Time: 1.16 (s), x: -2.10 (m), y: 3.56 (m)
Time: 1.26 (s), x: -2.10 (m), y: 3.56 (m)
Time: 1.37 (s), x: -2.10 (m), y: 3.58 (m)
Time: 1.47 (s), x: -2.10 (m), y: 3.60 (m)
Time: 1.57 (s), x: -2.09 (m), y: 3.62 (m)
Time: 1.68 (s), x: -2.09 (m), y: 3.62 (m)
Time: 1.78 (s), x: -2.09 (m), y: 3.63 (m)
Time: 1.88 (s), x: -2.08 (m), y: 3.63 (m)
Time: 1.99 (s), x: -2.07 (m), y: 3.64 (m)
Time: 2.09 (s), x: -2.07 (m), y: 3.64 (m)
Time: 2.19 (s), x: -2.07 (m), y: 3.64 (m)
Time: 2.29 (s), x: -2.07 (m), y: 3.64 (m)
Time: 2.39 (s), x: -2.07 (m), y: 3.64 (m)
Time: 2.49 (s), x: -2.06 (m), y: 3.64 (m)
Time: 2.59 (s), x: -2.05 (m), y: 3.65 (m)
Time: 2.70 (s), x: -2.05 (m), y: 3.67 (m)
Time: 2.80 (s), x: -2.05 (m), y: 3.69 (m)
Time: 2.91 (s), x: -2.04 (m), y: 3.71 (m)
Time: 3.01 (s), x: -2.04 (m), y: 3.74 (m)
Time: 3.11 (s), x: -2.04 (m), y: 3.77 (m)
Time: 3.21 (s), x: -2.05 (m), y: 3.78 (m)
Time: 3.31 (s), x: -2.06 (m), y: 3.79 (m)
Time: 3.42 (s), x: -2.06 (m), y: 3.79 (m)
Time: 3.53 (s), x: -2.09 (m), y: 3.77 (m)
Time: 3.63 (s), x: -2.15 (m), y: 3.73 (m)
Time: 3.73 (s), x: -2.23 (m), y: 3.66 (m)
Time: 3.84 (s), x: -2.36 (m), y: 3.57 (m)
Time: 3.95 (s), x: -2.49 (m), y: 3.46 (m)
Time: 4.05 (s), x: -2.62 (m), y: 3.37 (m)
Time: 4.15 (s), x: -2.74 (m), y: 3.27 (m)
Time: 4.26 (s), x: -2.87 (m), y: 3.18 (m)
Time: 4.36 (s), x: -2.97 (m), y: 3.09 (m)
Time: 4.46 (s), x: -3.08 (m), y: 3.02 (m)
Time: 4.56 (s), x: -3.14 (m), y: 2.97 (m)
Time: 4.67 (s), x: -3.20 (m), y: 2.91 (m)
Time: 4.78 (s), x: -3.25 (m), y: 2.86 (m)
Time: 4.88 (s), x: -3.30 (m), y: 2.81 (m)
Time: 4.98 (s), x: -3.35 (m), y: 2.74 (m)
Time: 5.08 (s), x: -3.40 (m), y: 2.67 (m)
Time: 5.18 (s), x: -3.45 (m), y: 2.58 (m)
