🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_lfh_w49.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_49.world <<<<<<<<<<<<<<<<<<
[WARN] [1749860104.716351, 0.000000]: wait_for_service(/gazebo/get_model_state): failed to contact, will keep trying
[INFO] [1749860111.696294, 0.001000]: wait_for_service(/gazebo/get_model_state): finally were able to contact [rosrpc://turan-TULPAR-T5-V20-3:48911]
Time: 0.00 (s), x: -2.00 (m), y: 3.17 (m)
Time: 0.10 (s), x: -2.00 (m), y: 3.22 (m)
Time: 0.20 (s), x: -2.00 (m), y: 3.27 (m)
Time: 0.30 (s), x: -2.01 (m), y: 3.33 (m)
Time: 0.40 (s), x: -2.02 (m), y: 3.38 (m)
Time: 0.51 (s), x: -2.03 (m), y: 3.43 (m)
Time: 0.61 (s), x: -2.04 (m), y: 3.48 (m)
Time: 0.71 (s), x: -2.05 (m), y: 3.52 (m)
Time: 0.81 (s), x: -2.06 (m), y: 3.57 (m)
Time: 0.92 (s), x: -2.07 (m), y: 3.63 (m)
Time: 1.02 (s), x: -2.09 (m), y: 3.68 (m)
Time: 1.12 (s), x: -2.10 (m), y: 3.73 (m)
Time: 1.22 (s), x: -2.11 (m), y: 3.77 (m)
Time: 1.32 (s), x: -2.12 (m), y: 3.82 (m)
Time: 1.43 (s), x: -2.14 (m), y: 3.87 (m)
Time: 1.53 (s), x: -2.14 (m), y: 3.87 (m)
Time: 1.63 (s), x: -2.14 (m), y: 3.87 (m)
Time: 1.73 (s), x: -2.14 (m), y: 3.87 (m)
Time: 1.83 (s), x: -2.14 (m), y: 3.87 (m)
Time: 1.94 (s), x: -2.14 (m), y: 3.87 (m)
Time: 2.04 (s), x: -2.15 (m), y: 3.89 (m)
Time: 2.14 (s), x: -2.16 (m), y: 3.92 (m)
Time: 2.25 (s), x: -2.17 (m), y: 3.95 (m)
Time: 2.35 (s), x: -2.17 (m), y: 3.96 (m)
Time: 2.45 (s), x: -2.17 (m), y: 3.96 (m)
Time: 2.56 (s), x: -2.17 (m), y: 3.96 (m)
Time: 2.66 (s), x: -2.17 (m), y: 3.96 (m)
Time: 2.76 (s), x: -2.17 (m), y: 3.96 (m)
Time: 2.86 (s), x: -2.17 (m), y: 3.96 (m)
Time: 2.96 (s), x: -2.17 (m), y: 3.96 (m)
Time: 3.06 (s), x: -2.17 (m), y: 3.96 (m)
Time: 3.17 (s), x: -2.17 (m), y: 3.96 (m)
Time: 3.27 (s), x: -2.17 (m), y: 3.96 (m)
Time: 3.37 (s), x: -2.17 (m), y: 3.96 (m)
Time: 3.47 (s), x: -2.17 (m), y: 3.96 (m)
Time: 3.58 (s), x: -2.17 (m), y: 3.96 (m)
Time: 3.68 (s), x: -2.17 (m), y: 3.96 (m)
Time: 3.79 (s), x: -2.17 (m), y: 3.96 (m)
Time: 3.89 (s), x: -2.17 (m), y: 3.96 (m)
Time: 4.00 (s), x: -2.17 (m), y: 3.96 (m)
Time: 4.11 (s), x: -2.18 (m), y: 3.96 (m)
Time: 4.21 (s), x: -2.18 (m), y: 3.98 (m)
Time: 4.31 (s), x: -2.20 (m), y: 4.03 (m)
Time: 4.41 (s), x: -2.23 (m), y: 4.11 (m)
Time: 4.52 (s), x: -2.26 (m), y: 4.22 (m)
Time: 4.62 (s), x: -2.30 (m), y: 4.34 (m)
Time: 4.72 (s), x: -2.35 (m), y: 4.46 (m)
Time: 4.83 (s), x: -2.41 (m), y: 4.60 (m)
Time: 4.93 (s), x: -2.49 (m), y: 4.76 (m)
Time: 5.03 (s), x: -2.57 (m), y: 4.94 (m)
Time: 5.14 (s), x: -2.64 (m), y: 5.08 (m)
Time: 5.24 (s), x: -2.69 (m), y: 5.18 (m)
Time: 5.35 (s), x: -2.73 (m), y: 5.28 (m)
Time: 5.45 (s), x: -2.77 (m), y: 5.38 (m)
Time: 5.56 (s), x: -2.80 (m), y: 5.44 (m)
Time: 5.66 (s), x: -2.82 (m), y: 5.50 (m)
Time: 5.76 (s), x: -2.84 (m), y: 5.55 (m)
Time: 5.86 (s), x: -2.85 (m), y: 5.60 (m)
Time: 5.96 (s), x: -2.86 (m), y: 5.66 (m)
Time: 6.06 (s), x: -2.87 (m), y: 5.72 (m)
Time: 6.17 (s), x: -2.88 (m), y: 5.78 (m)
Time: 6.27 (s), x: -2.89 (m), y: 5.82 (m)
Time: 6.37 (s), x: -2.90 (m), y: 5.86 (m)
Time: 6.47 (s), x: -2.90 (m), y: 5.90 (m)
Time: 6.57 (s), x: -2.91 (m), y: 5.94 (m)
Time: 6.67 (s), x: -2.90 (m), y: 6.00 (m)
Time: 6.78 (s), x: -2.90 (m), y: 6.08 (m)
Time: 6.88 (s), x: -2.89 (m), y: 6.18 (m)
Time: 6.98 (s), x: -2.88 (m), y: 6.28 (m)
Time: 7.09 (s), x: -2.86 (m), y: 6.39 (m)
Time: 7.19 (s), x: -2.85 (m), y: 6.48 (m)
Time: 7.29 (s), x: -2.84 (m), y: 6.55 (m)
Time: 7.39 (s), x: -2.82 (m), y: 6.60 (m)
Time: 7.50 (s), x: -2.82 (m), y: 6.62 (m)
Time: 7.60 (s), x: -2.81 (m), y: 6.63 (m)
Time: 7.71 (s), x: -2.81 (m), y: 6.61 (m)
Time: 7.81 (s), x: -2.82 (m), y: 6.59 (m)
Time: 7.91 (s), x: -2.82 (m), y: 6.57 (m)
Time: 8.01 (s), x: -2.82 (m), y: 6.55 (m)
Time: 8.12 (s), x: -2.83 (m), y: 6.53 (m)
Time: 8.22 (s), x: -2.83 (m), y: 6.51 (m)
Time: 8.32 (s), x: -2.84 (m), y: 6.49 (m)
Time: 8.42 (s), x: -2.85 (m), y: 6.47 (m)
