🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_sac_w156.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_156.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.11 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.16 (m)
Time: 0.22 (s), x: -2.25 (m), y: 3.22 (m)
Time: 0.33 (s), x: -2.25 (m), y: 3.27 (m)
Time: 0.44 (s), x: -2.25 (m), y: 3.32 (m)
Time: 0.54 (s), x: -2.24 (m), y: 3.38 (m)
Time: 0.65 (s), x: -2.23 (m), y: 3.43 (m)
Time: 0.75 (s), x: -2.23 (m), y: 3.48 (m)
Time: 0.86 (s), x: -2.22 (m), y: 3.53 (m)
Time: 0.96 (s), x: -2.21 (m), y: 3.59 (m)
Time: 1.07 (s), x: -2.20 (m), y: 3.64 (m)
Time: 1.18 (s), x: -2.20 (m), y: 3.69 (m)
Time: 1.28 (s), x: -2.19 (m), y: 3.74 (m)
Time: 1.39 (s), x: -2.18 (m), y: 3.80 (m)
Time: 1.49 (s), x: -2.17 (m), y: 3.85 (m)
Time: 1.60 (s), x: -2.16 (m), y: 3.89 (m)
Time: 1.71 (s), x: -2.15 (m), y: 3.94 (m)
Time: 1.81 (s), x: -2.15 (m), y: 3.99 (m)
Time: 1.92 (s), x: -2.14 (m), y: 4.03 (m)
Time: 2.03 (s), x: -2.13 (m), y: 4.07 (m)
Time: 2.13 (s), x: -2.12 (m), y: 4.13 (m)
Time: 2.24 (s), x: -2.10 (m), y: 4.18 (m)
Time: 2.35 (s), x: -2.09 (m), y: 4.23 (m)
Time: 2.45 (s), x: -2.08 (m), y: 4.27 (m)
Time: 2.56 (s), x: -2.07 (m), y: 4.31 (m)
Time: 2.67 (s), x: -2.06 (m), y: 4.35 (m)
Time: 2.77 (s), x: -2.05 (m), y: 4.40 (m)
Time: 2.88 (s), x: -2.04 (m), y: 4.44 (m)
Time: 2.99 (s), x: -2.03 (m), y: 4.46 (m)
Time: 3.09 (s), x: -2.02 (m), y: 4.50 (m)
Time: 3.20 (s), x: -2.01 (m), y: 4.53 (m)
Time: 3.30 (s), x: -2.01 (m), y: 4.55 (m)
Time: 3.41 (s), x: -2.00 (m), y: 4.58 (m)
Time: 3.51 (s), x: -1.99 (m), y: 4.60 (m)
Time: 3.62 (s), x: -1.99 (m), y: 4.61 (m)
Time: 3.73 (s), x: -1.98 (m), y: 4.62 (m)
Time: 3.83 (s), x: -1.98 (m), y: 4.64 (m)
Time: 3.94 (s), x: -1.97 (m), y: 4.66 (m)
Time: 4.04 (s), x: -1.97 (m), y: 4.69 (m)
Time: 4.15 (s), x: -1.96 (m), y: 4.70 (m)
Time: 4.25 (s), x: -1.96 (m), y: 4.70 (m)
Time: 4.36 (s), x: -1.95 (m), y: 4.70 (m)
Time: 4.47 (s), x: -1.95 (m), y: 4.71 (m)
Time: 4.58 (s), x: -1.94 (m), y: 4.73 (m)
Time: 4.68 (s), x: -1.93 (m), y: 4.76 (m)
Time: 4.79 (s), x: -1.93 (m), y: 4.78 (m)
Time: 4.89 (s), x: -1.92 (m), y: 4.80 (m)
Time: 5.00 (s), x: -1.92 (m), y: 4.81 (m)
Time: 5.10 (s), x: -1.91 (m), y: 4.82 (m)
Time: 5.21 (s), x: -1.91 (m), y: 4.83 (m)
Time: 5.32 (s), x: -1.92 (m), y: 4.84 (m)
Time: 5.42 (s), x: -1.92 (m), y: 4.84 (m)
Time: 5.53 (s), x: -1.91 (m), y: 4.85 (m)
Time: 5.64 (s), x: -1.91 (m), y: 4.86 (m)
Time: 5.75 (s), x: -1.90 (m), y: 4.87 (m)
Time: 5.85 (s), x: -1.90 (m), y: 4.88 (m)
Time: 5.96 (s), x: -1.90 (m), y: 4.89 (m)
Time: 6.07 (s), x: -1.89 (m), y: 4.89 (m)
Time: 6.17 (s), x: -1.89 (m), y: 4.90 (m)
Time: 6.28 (s), x: -1.89 (m), y: 4.90 (m)
Time: 6.38 (s), x: -1.89 (m), y: 4.91 (m)
Time: 6.48 (s), x: -1.89 (m), y: 4.92 (m)
Time: 6.59 (s), x: -1.88 (m), y: 4.94 (m)
Time: 6.69 (s), x: -1.87 (m), y: 4.96 (m)
Time: 6.79 (s), x: -1.85 (m), y: 4.98 (m)
Time: 6.90 (s), x: -1.84 (m), y: 4.99 (m)
Time: 7.01 (s), x: -1.83 (m), y: 5.02 (m)
Time: 7.11 (s), x: -1.82 (m), y: 5.04 (m)
Time: 7.22 (s), x: -1.79 (m), y: 5.08 (m)
Time: 7.33 (s), x: -1.77 (m), y: 5.12 (m)
Time: 7.44 (s), x: -1.74 (m), y: 5.17 (m)
Time: 7.54 (s), x: -1.71 (m), y: 5.21 (m)
Time: 7.65 (s), x: -1.69 (m), y: 5.26 (m)
Time: 7.75 (s), x: -1.67 (m), y: 5.31 (m)
Time: 7.86 (s), x: -1.65 (m), y: 5.36 (m)
Time: 7.96 (s), x: -1.64 (m), y: 5.41 (m)
Time: 8.07 (s), x: -1.63 (m), y: 5.47 (m)
Time: 8.18 (s), x: -1.62 (m), y: 5.52 (m)
Time: 8.29 (s), x: -1.61 (m), y: 5.57 (m)
Time: 8.39 (s), x: -1.60 (m), y: 5.62 (m)
Time: 8.50 (s), x: -1.59 (m), y: 5.68 (m)
Time: 8.61 (s), x: -1.58 (m), y: 5.73 (m)
Time: 8.71 (s), x: -1.58 (m), y: 5.79 (m)
Time: 8.82 (s), x: -1.57 (m), y: 5.84 (m)
Time: 8.93 (s), x: -1.57 (m), y: 5.89 (m)
Time: 9.04 (s), x: -1.57 (m), y: 5.95 (m)
Time: 9.14 (s), x: -1.56 (m), y: 6.00 (m)
Time: 9.25 (s), x: -1.56 (m), y: 6.05 (m)
Time: 9.36 (s), x: -1.56 (m), y: 6.11 (m)
Time: 9.46 (s), x: -1.56 (m), y: 6.16 (m)
Time: 9.57 (s), x: -1.56 (m), y: 6.21 (m)
Time: 9.68 (s), x: -1.56 (m), y: 6.27 (m)
Time: 9.78 (s), x: -1.56 (m), y: 6.32 (m)
Time: 9.88 (s), x: -1.56 (m), y: 6.37 (m)
Time: 9.99 (s), x: -1.56 (m), y: 6.42 (m)
Time: 10.10 (s), x: -1.56 (m), y: 6.46 (m)
Time: 10.20 (s), x: -1.56 (m), y: 6.50 (m)
Time: 10.31 (s), x: -1.56 (m), y: 6.55 (m)
Time: 10.42 (s), x: -1.56 (m), y: 6.60 (m)
Time: 10.53 (s), x: -1.57 (m), y: 6.66 (m)
Time: 10.63 (s), x: -1.57 (m), y: 6.71 (m)
Time: 10.74 (s), x: -1.56 (m), y: 6.76 (m)
Time: 10.85 (s), x: -1.56 (m), y: 6.82 (m)
Time: 10.96 (s), x: -1.55 (m), y: 6.86 (m)
Time: 11.06 (s), x: -1.55 (m), y: 6.91 (m)
Time: 11.17 (s), x: -1.54 (m), y: 6.95 (m)
Time: 11.28 (s), x: -1.54 (m), y: 7.00 (m)
Time: 11.39 (s), x: -1.53 (m), y: 7.05 (m)
Time: 11.49 (s), x: -1.53 (m), y: 7.09 (m)
Time: 11.60 (s), x: -1.52 (m), y: 7.13 (m)
Time: 11.71 (s), x: -1.51 (m), y: 7.16 (m)
