🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_sac_w300.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with DynaBARN/world_0.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: 10.93 (m), y: 0.08 (m)
Time: 0.11 (s), x: 10.90 (m), y: 0.08 (m)
Time: 0.22 (s), x: 10.88 (m), y: 0.07 (m)
Time: 0.32 (s), x: 10.85 (m), y: 0.06 (m)
Time: 0.42 (s), x: 10.83 (m), y: 0.04 (m)
Time: 0.53 (s), x: 10.81 (m), y: 0.02 (m)
Time: 0.63 (s), x: 10.80 (m), y: -0.00 (m)
Time: 0.73 (s), x: 10.79 (m), y: -0.03 (m)
Time: 0.83 (s), x: 10.79 (m), y: -0.06 (m)
Time: 0.94 (s), x: 10.79 (m), y: -0.09 (m)
Time: 1.04 (s), x: 10.80 (m), y: -0.11 (m)
Time: 1.14 (s), x: 10.81 (m), y: -0.14 (m)
Time: 1.25 (s), x: 10.83 (m), y: -0.16 (m)
Time: 1.35 (s), x: 10.86 (m), y: -0.17 (m)
Time: 1.45 (s), x: 10.89 (m), y: -0.18 (m)
Time: 1.55 (s), x: 10.91 (m), y: -0.18 (m)
Time: 1.66 (s), x: 10.94 (m), y: -0.18 (m)
Time: 1.76 (s), x: 10.97 (m), y: -0.17 (m)
Time: 1.86 (s), x: 10.99 (m), y: -0.16 (m)
Time: 1.97 (s), x: 11.02 (m), y: -0.14 (m)
Time: 2.07 (s), x: 11.03 (m), y: -0.12 (m)
Time: 2.17 (s), x: 11.04 (m), y: -0.09 (m)
Time: 2.27 (s), x: 11.05 (m), y: -0.06 (m)
Time: 2.38 (s), x: 11.04 (m), y: -0.04 (m)
Time: 2.48 (s), x: 11.04 (m), y: -0.01 (m)
Time: 2.58 (s), x: 11.03 (m), y: 0.01 (m)
Time: 2.69 (s), x: 11.03 (m), y: 0.01 (m)
Time: 2.79 (s), x: 11.03 (m), y: 0.01 (m)
Time: 2.89 (s), x: 11.03 (m), y: 0.01 (m)
Time: 2.99 (s), x: 11.03 (m), y: 0.01 (m)
Time: 3.10 (s), x: 11.03 (m), y: 0.01 (m)
Time: 3.20 (s), x: 11.03 (m), y: 0.01 (m)
Time: 3.30 (s), x: 11.03 (m), y: 0.01 (m)
Time: 3.41 (s), x: 11.03 (m), y: 0.01 (m)
Time: 3.51 (s), x: 11.03 (m), y: 0.01 (m)
Time: 3.61 (s), x: 11.03 (m), y: 0.01 (m)
Time: 3.72 (s), x: 11.03 (m), y: 0.01 (m)
Time: 3.82 (s), x: 11.03 (m), y: 0.01 (m)
Time: 3.92 (s), x: 11.03 (m), y: 0.01 (m)
Time: 4.03 (s), x: 11.03 (m), y: 0.01 (m)
Time: 4.13 (s), x: 11.03 (m), y: 0.01 (m)
Time: 4.23 (s), x: 11.03 (m), y: 0.01 (m)
Time: 4.34 (s), x: 11.03 (m), y: 0.01 (m)
Time: 4.44 (s), x: 11.03 (m), y: 0.01 (m)
Time: 4.54 (s), x: 11.03 (m), y: 0.01 (m)
Time: 4.64 (s), x: 11.03 (m), y: 0.01 (m)
Time: 4.75 (s), x: 11.03 (m), y: 0.01 (m)
Time: 4.85 (s), x: 11.03 (m), y: 0.01 (m)
Time: 4.95 (s), x: 11.03 (m), y: 0.01 (m)
Time: 5.06 (s), x: 11.03 (m), y: 0.01 (m)
Time: 5.16 (s), x: 11.03 (m), y: 0.01 (m)
Time: 5.26 (s), x: 11.03 (m), y: 0.01 (m)
Time: 5.37 (s), x: 11.03 (m), y: 0.01 (m)
Time: 5.47 (s), x: 11.03 (m), y: 0.01 (m)
Time: 5.57 (s), x: 11.03 (m), y: 0.01 (m)
Time: 5.67 (s), x: 11.03 (m), y: 0.01 (m)
Time: 5.78 (s), x: 11.03 (m), y: 0.01 (m)
Time: 5.88 (s), x: 11.03 (m), y: 0.01 (m)
Time: 5.98 (s), x: 11.03 (m), y: 0.01 (m)
Time: 6.09 (s), x: 11.03 (m), y: 0.01 (m)
Time: 6.19 (s), x: 11.03 (m), y: 0.01 (m)
Time: 6.29 (s), x: 11.03 (m), y: 0.01 (m)
Time: 6.40 (s), x: 11.03 (m), y: 0.01 (m)
Time: 6.50 (s), x: 11.03 (m), y: 0.01 (m)
Time: 6.60 (s), x: 11.03 (m), y: 0.01 (m)
Time: 6.71 (s), x: 11.03 (m), y: 0.01 (m)
Time: 6.81 (s), x: 11.03 (m), y: 0.01 (m)
Time: 6.91 (s), x: 11.03 (m), y: 0.01 (m)
Time: 7.02 (s), x: 11.03 (m), y: 0.01 (m)
Time: 7.12 (s), x: 11.03 (m), y: 0.01 (m)
Time: 7.22 (s), x: 11.03 (m), y: 0.01 (m)
Time: 7.32 (s), x: 11.03 (m), y: 0.01 (m)
Time: 7.43 (s), x: 11.03 (m), y: 0.01 (m)
Time: 7.53 (s), x: 11.03 (m), y: 0.01 (m)
Time: 7.63 (s), x: 11.03 (m), y: 0.01 (m)
Time: 7.74 (s), x: 11.03 (m), y: 0.01 (m)
Time: 7.84 (s), x: 11.03 (m), y: 0.01 (m)
Time: 7.94 (s), x: 11.03 (m), y: 0.01 (m)
Time: 8.05 (s), x: 11.03 (m), y: 0.01 (m)
Time: 8.15 (s), x: 11.03 (m), y: 0.01 (m)
Time: 8.25 (s), x: 11.03 (m), y: 0.01 (m)
Time: 8.36 (s), x: 11.03 (m), y: 0.01 (m)
Time: 8.46 (s), x: 11.03 (m), y: 0.01 (m)
Time: 8.56 (s), x: 11.03 (m), y: 0.01 (m)
Time: 8.66 (s), x: 11.03 (m), y: 0.01 (m)
Time: 8.77 (s), x: 11.03 (m), y: 0.01 (m)
Time: 8.87 (s), x: 11.03 (m), y: 0.01 (m)
Time: 8.97 (s), x: 11.03 (m), y: 0.01 (m)
Time: 9.08 (s), x: 11.03 (m), y: 0.01 (m)
Time: 9.18 (s), x: 11.03 (m), y: 0.01 (m)
Time: 9.28 (s), x: 11.03 (m), y: 0.01 (m)
Time: 9.39 (s), x: 11.03 (m), y: 0.01 (m)
Time: 9.49 (s), x: 11.03 (m), y: 0.01 (m)
Time: 9.59 (s), x: 11.03 (m), y: 0.01 (m)
Time: 9.70 (s), x: 11.03 (m), y: 0.01 (m)
Time: 9.80 (s), x: 11.03 (m), y: 0.01 (m)
Time: 9.90 (s), x: 11.03 (m), y: 0.01 (m)
Time: 10.00 (s), x: 11.03 (m), y: 0.01 (m)
Time: 10.11 (s), x: 11.03 (m), y: 0.01 (m)
Time: 10.21 (s), x: 11.03 (m), y: 0.01 (m)
Time: 10.31 (s), x: 11.03 (m), y: 0.01 (m)
Time: 10.42 (s), x: 11.03 (m), y: 0.01 (m)
Time: 10.52 (s), x: 11.03 (m), y: 0.01 (m)
Time: 10.62 (s), x: 11.03 (m), y: 0.01 (m)
Time: 10.72 (s), x: 11.03 (m), y: 0.01 (m)
Time: 10.83 (s), x: 11.03 (m), y: 0.01 (m)
Time: 10.93 (s), x: 11.03 (m), y: 0.01 (m)
Time: 11.03 (s), x: 11.03 (m), y: 0.01 (m)
Time: 11.14 (s), x: 11.03 (m), y: 0.01 (m)
Time: 11.24 (s), x: 11.03 (m), y: 0.01 (m)
Time: 11.34 (s), x: 11.03 (m), y: 0.01 (m)
Time: 11.45 (s), x: 11.03 (m), y: 0.01 (m)
Time: 11.55 (s), x: 11.03 (m), y: 0.01 (m)
Time: 11.65 (s), x: 11.03 (m), y: 0.01 (m)
Time: 11.75 (s), x: 11.03 (m), y: 0.01 (m)
Time: 11.86 (s), x: 11.03 (m), y: 0.01 (m)
Time: 11.96 (s), x: 11.03 (m), y: 0.01 (m)
Time: 12.06 (s), x: 11.03 (m), y: 0.01 (m)
Time: 12.17 (s), x: 11.03 (m), y: 0.01 (m)
Time: 12.27 (s), x: 11.03 (m), y: 0.01 (m)
Time: 12.37 (s), x: 11.03 (m), y: 0.01 (m)
Time: 12.47 (s), x: 11.03 (m), y: 0.01 (m)
Time: 12.58 (s), x: 11.03 (m), y: 0.02 (m)
Time: 12.68 (s), x: 11.02 (m), y: 0.02 (m)
Time: 12.78 (s), x: 11.01 (m), y: 0.03 (m)
Time: 12.89 (s), x: 11.00 (m), y: 0.04 (m)
Time: 12.99 (s), x: 10.98 (m), y: 0.05 (m)
Time: 13.09 (s), x: 10.96 (m), y: 0.05 (m)
Time: 13.20 (s), x: 10.94 (m), y: 0.05 (m)
Time: 13.30 (s), x: 10.92 (m), y: 0.04 (m)
Time: 13.40 (s), x: 10.90 (m), y: 0.02 (m)
Time: 13.50 (s), x: 10.88 (m), y: 0.00 (m)
Time: 13.61 (s), x: 10.87 (m), y: -0.02 (m)
Time: 13.71 (s), x: 10.86 (m), y: -0.05 (m)
Time: 13.81 (s), x: 10.85 (m), y: -0.08 (m)
Time: 13.91 (s), x: 10.85 (m), y: -0.10 (m)
Time: 14.02 (s), x: 10.86 (m), y: -0.13 (m)
Time: 14.12 (s), x: 10.88 (m), y: -0.15 (m)
Time: 14.22 (s), x: 10.90 (m), y: -0.18 (m)
Time: 14.32 (s), x: 10.92 (m), y: -0.19 (m)
Time: 14.43 (s), x: 10.95 (m), y: -0.20 (m)
Time: 14.53 (s), x: 10.97 (m), y: -0.21 (m)
Time: 14.63 (s), x: 11.00 (m), y: -0.21 (m)
Time: 14.74 (s), x: 11.03 (m), y: -0.20 (m)
