🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_teb_w288.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with BARN/world_288.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: -2.25 (m), y: 3.12 (m)
Time: 0.12 (s), x: -2.25 (m), y: 3.22 (m)
Time: 0.23 (s), x: -2.25 (m), y: 3.37 (m)
Time: 0.33 (s), x: -2.25 (m), y: 3.52 (m)
Time: 0.44 (s), x: -2.26 (m), y: 3.69 (m)
Time: 0.55 (s), x: -2.27 (m), y: 3.85 (m)
Time: 0.66 (s), x: -2.30 (m), y: 4.01 (m)
Time: 0.77 (s), x: -2.32 (m), y: 4.16 (m)
Time: 0.88 (s), x: -2.33 (m), y: 4.32 (m)
Time: 0.98 (s), x: -2.33 (m), y: 4.48 (m)
Time: 1.09 (s), x: -2.32 (m), y: 4.63 (m)
Time: 1.20 (s), x: -2.27 (m), y: 4.78 (m)
Time: 1.30 (s), x: -2.21 (m), y: 4.90 (m)
Time: 1.41 (s), x: -2.15 (m), y: 4.97 (m)
Time: 1.52 (s), x: -2.09 (m), y: 5.02 (m)
Time: 1.62 (s), x: -2.03 (m), y: 5.06 (m)
Time: 1.73 (s), x: -1.97 (m), y: 5.09 (m)
Time: 1.84 (s), x: -1.93 (m), y: 5.12 (m)
Time: 1.95 (s), x: -1.91 (m), y: 5.15 (m)
Time: 2.06 (s), x: -1.90 (m), y: 5.17 (m)
Time: 2.17 (s), x: -1.89 (m), y: 5.19 (m)
Time: 2.27 (s), x: -1.88 (m), y: 5.22 (m)
Time: 2.38 (s), x: -1.88 (m), y: 5.24 (m)
Time: 2.49 (s), x: -1.88 (m), y: 5.26 (m)
Time: 2.59 (s), x: -1.89 (m), y: 5.27 (m)
Time: 2.70 (s), x: -1.90 (m), y: 5.28 (m)
Time: 2.81 (s), x: -1.91 (m), y: 5.30 (m)
Time: 2.92 (s), x: -1.92 (m), y: 5.32 (m)
Time: 3.03 (s), x: -1.92 (m), y: 5.32 (m)
Time: 3.13 (s), x: -1.91 (m), y: 5.32 (m)
Time: 3.24 (s), x: -1.93 (m), y: 5.33 (m)
Time: 3.35 (s), x: -1.95 (m), y: 5.34 (m)
Time: 3.46 (s), x: -1.97 (m), y: 5.34 (m)
Time: 3.57 (s), x: -1.96 (m), y: 5.33 (m)
Time: 3.68 (s), x: -1.96 (m), y: 5.32 (m)
Time: 3.79 (s), x: -1.96 (m), y: 5.31 (m)
Time: 3.89 (s), x: -1.97 (m), y: 5.30 (m)
Time: 4.00 (s), x: -1.96 (m), y: 5.29 (m)
Time: 4.11 (s), x: -1.95 (m), y: 5.28 (m)
Time: 4.22 (s), x: -1.94 (m), y: 5.27 (m)
Time: 4.33 (s), x: -1.91 (m), y: 5.27 (m)
Time: 4.43 (s), x: -1.86 (m), y: 5.26 (m)
Time: 4.54 (s), x: -1.80 (m), y: 5.25 (m)
Time: 4.65 (s), x: -1.74 (m), y: 5.24 (m)
Time: 4.76 (s), x: -1.67 (m), y: 5.24 (m)
Time: 4.86 (s), x: -1.57 (m), y: 5.24 (m)
Time: 4.97 (s), x: -1.45 (m), y: 5.25 (m)
Time: 5.08 (s), x: -1.32 (m), y: 5.28 (m)
