🔁 Terminal çıktısı hem terminale hem dosyaya kaydediliyor: /home/turan/3v3/experiments/terminal_logs/run_teb_w300.txt
>>>>>>>>>>>>>>>>>> Loading Gazebo Simulation with DynaBARN/world_0.world <<<<<<<<<<<<<<<<<<
Time: 0.01 (s), x: 10.95 (m), y: 0.09 (m)
Time: 0.11 (s), x: 10.93 (m), y: 0.10 (m)
Time: 0.22 (s), x: 10.92 (m), y: 0.11 (m)
Time: 0.32 (s), x: 10.90 (m), y: 0.11 (m)
Time: 0.42 (s), x: 10.88 (m), y: 0.11 (m)
Time: 0.52 (s), x: 10.87 (m), y: 0.11 (m)
Time: 0.62 (s), x: 10.85 (m), y: 0.11 (m)
Time: 0.73 (s), x: 10.83 (m), y: 0.11 (m)
Time: 0.83 (s), x: 10.81 (m), y: 0.10 (m)
Time: 0.93 (s), x: 10.80 (m), y: 0.09 (m)
Time: 1.03 (s), x: 10.78 (m), y: 0.08 (m)
Time: 1.13 (s), x: 10.77 (m), y: 0.07 (m)
Time: 1.24 (s), x: 10.76 (m), y: 0.05 (m)
Time: 1.34 (s), x: 10.75 (m), y: 0.04 (m)
Time: 1.44 (s), x: 10.75 (m), y: 0.02 (m)
Time: 1.54 (s), x: 10.74 (m), y: 0.00 (m)
Time: 1.64 (s), x: 10.74 (m), y: -0.02 (m)
Time: 1.75 (s), x: 10.74 (m), y: -0.03 (m)
Time: 1.85 (s), x: 10.75 (m), y: -0.05 (m)
Time: 1.95 (s), x: 10.75 (m), y: -0.07 (m)
Time: 2.05 (s), x: 10.76 (m), y: -0.09 (m)
Time: 2.16 (s), x: 10.77 (m), y: -0.10 (m)
Time: 2.26 (s), x: 10.78 (m), y: -0.11 (m)
Time: 2.36 (s), x: 10.80 (m), y: -0.12 (m)
Time: 2.46 (s), x: 10.81 (m), y: -0.13 (m)
Time: 2.56 (s), x: 10.83 (m), y: -0.14 (m)
Time: 2.67 (s), x: 10.85 (m), y: -0.14 (m)
Time: 2.77 (s), x: 10.87 (m), y: -0.15 (m)
Time: 2.87 (s), x: 10.88 (m), y: -0.15 (m)
Time: 2.97 (s), x: 10.90 (m), y: -0.14 (m)
Time: 3.07 (s), x: 10.92 (m), y: -0.14 (m)
Time: 3.18 (s), x: 10.94 (m), y: -0.13 (m)
Time: 3.28 (s), x: 10.95 (m), y: -0.12 (m)
Time: 3.38 (s), x: 10.97 (m), y: -0.11 (m)
Time: 3.48 (s), x: 10.98 (m), y: -0.10 (m)
Time: 3.59 (s), x: 10.99 (m), y: -0.08 (m)
Time: 3.69 (s), x: 10.99 (m), y: -0.06 (m)
Time: 3.79 (s), x: 11.00 (m), y: -0.05 (m)
Time: 3.89 (s), x: 11.00 (m), y: -0.03 (m)
Time: 3.99 (s), x: 11.00 (m), y: -0.01 (m)
Time: 4.10 (s), x: 11.00 (m), y: -0.00 (m)
Time: 4.20 (s), x: 11.00 (m), y: 0.01 (m)
Time: 4.30 (s), x: 11.00 (m), y: 0.02 (m)
Time: 4.40 (s), x: 11.00 (m), y: 0.02 (m)
Time: 4.50 (s), x: 11.00 (m), y: 0.02 (m)
Time: 4.61 (s), x: 11.00 (m), y: 0.02 (m)
Time: 4.71 (s), x: 11.00 (m), y: 0.02 (m)
Time: 4.81 (s), x: 11.00 (m), y: 0.02 (m)
Time: 4.91 (s), x: 11.00 (m), y: 0.02 (m)
Time: 5.02 (s), x: 11.00 (m), y: 0.02 (m)
Time: 5.12 (s), x: 11.00 (m), y: 0.02 (m)
Time: 5.22 (s), x: 11.00 (m), y: 0.02 (m)
Time: 5.32 (s), x: 11.00 (m), y: 0.02 (m)
Time: 5.42 (s), x: 11.00 (m), y: 0.02 (m)
Time: 5.53 (s), x: 11.00 (m), y: 0.02 (m)
Time: 5.63 (s), x: 11.00 (m), y: 0.02 (m)
Time: 5.73 (s), x: 11.00 (m), y: 0.02 (m)
Time: 5.83 (s), x: 11.00 (m), y: 0.02 (m)
Time: 5.94 (s), x: 11.00 (m), y: 0.02 (m)
Time: 6.04 (s), x: 11.00 (m), y: 0.02 (m)
Time: 6.14 (s), x: 11.00 (m), y: 0.02 (m)
Time: 6.24 (s), x: 11.00 (m), y: 0.02 (m)
Time: 6.34 (s), x: 11.00 (m), y: 0.02 (m)
Time: 6.45 (s), x: 11.00 (m), y: 0.02 (m)
Time: 6.55 (s), x: 11.00 (m), y: 0.02 (m)
Time: 6.65 (s), x: 11.00 (m), y: 0.02 (m)
Time: 6.75 (s), x: 11.00 (m), y: 0.02 (m)
Time: 6.86 (s), x: 11.00 (m), y: 0.02 (m)
Time: 6.96 (s), x: 11.00 (m), y: 0.02 (m)
Time: 7.06 (s), x: 11.00 (m), y: 0.02 (m)
Time: 7.16 (s), x: 11.00 (m), y: 0.02 (m)
Time: 7.26 (s), x: 11.00 (m), y: 0.02 (m)
Time: 7.37 (s), x: 11.00 (m), y: 0.02 (m)
Time: 7.47 (s), x: 11.00 (m), y: 0.02 (m)
Time: 7.57 (s), x: 11.00 (m), y: 0.02 (m)
Time: 7.67 (s), x: 11.00 (m), y: 0.02 (m)
Time: 7.78 (s), x: 11.00 (m), y: 0.02 (m)
Time: 7.88 (s), x: 11.00 (m), y: 0.02 (m)
Time: 7.98 (s), x: 11.00 (m), y: 0.02 (m)
Time: 8.08 (s), x: 11.00 (m), y: 0.02 (m)
Time: 8.18 (s), x: 11.00 (m), y: 0.02 (m)
Time: 8.29 (s), x: 11.00 (m), y: 0.02 (m)
Time: 8.39 (s), x: 11.00 (m), y: 0.02 (m)
Time: 8.49 (s), x: 11.00 (m), y: 0.02 (m)
Time: 8.59 (s), x: 11.00 (m), y: 0.02 (m)
Time: 8.70 (s), x: 11.00 (m), y: 0.02 (m)
Time: 8.80 (s), x: 11.00 (m), y: 0.02 (m)
Time: 8.90 (s), x: 11.00 (m), y: 0.02 (m)
Time: 9.00 (s), x: 11.00 (m), y: 0.02 (m)
Time: 9.10 (s), x: 11.00 (m), y: 0.02 (m)
Time: 9.21 (s), x: 11.00 (m), y: 0.02 (m)
Time: 9.31 (s), x: 11.00 (m), y: 0.02 (m)
Time: 9.41 (s), x: 11.00 (m), y: 0.02 (m)
Time: 9.51 (s), x: 11.00 (m), y: 0.02 (m)
Time: 9.62 (s), x: 11.00 (m), y: 0.02 (m)
Time: 9.72 (s), x: 11.00 (m), y: 0.02 (m)
Time: 9.82 (s), x: 11.00 (m), y: 0.02 (m)
Time: 9.92 (s), x: 11.00 (m), y: 0.02 (m)
Time: 10.02 (s), x: 11.00 (m), y: 0.02 (m)
Time: 10.13 (s), x: 11.00 (m), y: 0.02 (m)
Time: 10.23 (s), x: 11.00 (m), y: 0.02 (m)
Time: 10.33 (s), x: 11.00 (m), y: 0.02 (m)
Time: 10.43 (s), x: 11.00 (m), y: 0.02 (m)
Time: 10.54 (s), x: 11.00 (m), y: 0.02 (m)
Time: 10.64 (s), x: 11.00 (m), y: 0.02 (m)
Time: 10.74 (s), x: 11.00 (m), y: 0.02 (m)
Time: 10.84 (s), x: 11.00 (m), y: 0.02 (m)
Time: 10.95 (s), x: 11.00 (m), y: 0.02 (m)
